Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Ascocoryne sarcoides,(Jacq.) J.W. Groves & D.E. Wilson,,purple gel,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Gelatinodiscaceae,,,Ascocoryne,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-11-19,Kevin Toomer,https://www.inaturalist.org/observations/8866418,,49075,FUN
Aureoboletus mirabilis,,,admirable bolete,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Boletales,,,Boletaceae,Xerocomoideae,,Aureoboletus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2013-10-26,Ian Guthrie,http://www.inaturalist.org/observations/4208484,reported as Boletus mirabilis. Berch,790782,FUN
Auriscalpium vulgare,Gray,,pinecone earpick,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Auriscalpiaceae,,,Auriscalpium,,,confirmed,observed,2017-05,Kent Brothers,VMS,,,2017-12-10,Kevin Toomer,https://www.inaturalist.org/observations/9117056,,55175,FUN
Bolbitius titubans,(Bull.) Fries,,sunny side up,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Bolbitiaceae,,,Bolbitius,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2018-10-07,Kevin Toomer,https://www.inaturalist.org/observations/17320562,"reported as Bolbitius vitellinus (Pers.) Fr., now considered synonymous with B. titubans (Bull.) Fries",55474,FUN
Byssomerulius corium,(Pers.) Parmasto,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Irpicaceae,,,Byssomerulius,,,confirmed,observed,2010-04,Kent Brothers,VMS,,,2021-09-05,bradva73,https://www.inaturalist.org/observations/93746648,,118073,FUN
Calocera cornea,(Batsch) Fr.,,yellow hair,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,Calocera,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-11-03,Kevin Toomer,https://www.inaturalist.org/observations/8671129,,118027,FUN
Calocera viscosa,(Pers.) Fr.,,staghorn jelly fungus,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,Calocera,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-05-19,Andrew Simon,https://www.inaturalist.org/observations/9199637,,63405,FUN
Caloscypha fulgens,(Pers.) Boud.,,spring orange peel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Caloscyphaceae,,,Caloscypha,,,confirmed,observed,2009-05-16,Kent Brothers,VMS,,,2016-03-22,Tyson Ehlers,http://www.inaturalist.org/observations/2889716,,153035,FUN
Calycina citrina,,,yellow fairy cups,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Helotiaceae,,,Calycina,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2016-10-12,Andrew Simon,http://www.inaturalist.org/observations/4337526,,955949,FUN
Cantharellus formosus,Corner,,pacific golden chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Cantharellaceae,,,Cantharellus,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2018-11-05,Larissa Marie,https://www.inaturalist.org/observations/18154444,,120443,FUN
Cantharellus subalbidus,A.H. Sm. & Morse,,white chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Cantharellaceae,,,Cantharellus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-10-12,Andrew Simon,http://www.inaturalist.org/observations/4337478,,54132,FUN
Cerioporus leptocephalus,,,blackfoot polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Cerioporus,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22080,,2020-10-06,Adrian Levine,https://www.inaturalist.org/observations/62340845,reported as Polyporus elegans,928232,FUN
Chlorophyllum olivieri,(Barla) Vellinga,,dark parasol,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,Chlorophyllum,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-10-23,Kevin Toomer,https://www.inaturalist.org/observations/8522806,,424530,FUN
Chondrostereum purpureum,(Pers.) Pouzar,,silver leaf,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Cyphellaceae,,,Chondrostereum,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2021-11-03,Andrew Simon,https://www.inaturalist.org/observations/100206030,,118036,FUN
Chrysomphalina aurantiaca,(Peck) Redhead,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Hygrophorineae,,Hygrophoraceae,,,Chrysomphalina,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2021-10-17,"Dave “Zeuss"" Cochrane",https://www.inaturalist.org/observations/98599994,,343259,FUN
Clavaria fragilis var. fragilis,,,fairy fingers,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Clavariineae,,Clavariaceae,,,Clavaria,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-11-11,Kevin Toomer,https://www.inaturalist.org/observations/8808267,Clavaria vermicularis reported,53885,FUN
Clavariadelphus truncatus,(Quél.) Donk,,flat-topped club coral,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Gomphales,,,Clavariadelphaceae,,,Clavariadelphus,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2013-10-26,Ian Guthrie,http://www.inaturalist.org/observations/4207744,,55160,FUN
Clavulina coralloides,,,crested coral fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Clavulinaceae,,,Clavulina,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2016-10-28,Sarah Tweedale,http://inaturalist.ca/observations/4451994,syn. Clavulina coralloides reported,63260,FUN
Clavulina rugosa,(Bull.) J. Schröt.,,wrinkled coral fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Clavulinaceae,,,Clavulina,,,confirmed,observed,2010-04,Paul Kroeger,UBC,F22069,,2019-01-27,Andrew Simon,https://www.inaturalist.org/observations/19917599,,81961,FUN
Clavulinopsis fusiformis,(Sowerby) Corner,,spindle-shaped yellow coral,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Clavariineae,,Clavariaceae,,,Clavulinopsis,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-12-29,Nancy Tamblyn,https://www.inaturalist.org/observations/37078837,,55272,FUN
Coccomyces dentatus,(J.C. Schmidt & Kunze) Sacc.,,Oregon grape leaf fungus,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,Rhytismataceae,,,Coccomyces,,,confirmed,observed,2009-05-16,Kent Brothers,VMS,,,2018-10-21,Andrew Simon,https://www.inaturalist.org/observations/17730056,,464803,FUN
Coprinellus micaceus,"(Bull.) Vilgalys, Hopple & Jacq. Johnson",,glistening inky-cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,Coprinellus,,,confirmed,observed,2012-05,Kent Brothers,VMS,,,2018-04-23,Kevin Toomer,https://www.inaturalist.org/observations/11467970,,56318,FUN
Coprinopsis lagopus,"(Fr.) Redhead, Vilgalys & Moncalvo",,harefoot mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,Coprinopsis,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2018-09-25,Kevin Toomer,https://www.inaturalist.org/observations/17218096,species complex that needs work (pers. comm. Shannon Berch),55605,FUN
Coprinus comatus,(O.F. Müll.) Pers.,,shaggy mane,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,Coprinus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2014-10-13,Jemma Lee,http://inaturalist.ca/observations/2701067,,47392,FUN
Craterellus tubaeformis,(Fr.) Quél.,,winter chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Cantharellales,,,Cantharellaceae,,,Craterellus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-12-07,Richard Ward,https://www.inaturalist.org/observations/36453668,"reported as Cantharellus infundibuliformis (Scop.) Fr.; is ours the so-called Craterellus sp.02? (pers. comm., Shannon Berch); see: https://www.mushroomexpert.com/craterellus_species_02.html",350511,FUN
Crepidotus applanatus,(Pers.) P. Kumm.,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Crepidotaceae,,,Crepidotus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-08-19,Caitlin Robinson,https://www.inaturalist.org/observations/31163513,,350514,FUN
Cryptoporus volvatus,(Peck) Shear,,cryptic globe fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Cryptoporus,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22064,,2016-03-12,Andrew Simon,http://www.inaturalist.org/observations/2775963,,118051,FUN
Cudonia circinans,(Pers.) Fr.,,common cudonia,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,Cudoniaceae,,,Cudonia,,,confirmed,observed,2009-05-16,Kent Brothers,VMS,,,2016-03-24,Tyson Ehlers,https://www.inaturalist.org/observations/8920371,,183199,FUN
Cyanosporus caesius,(Schrad.) McGinty,,blue cheese polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,Cyanosporus,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2020-10-20,Flora Lake,https://www.inaturalist.org/observations/68354716,reported as Oligoporus caesius,959237,FUN
Cystoderma carcharias var. fallax,(A.H. Sm. & Singer) I. Saar,,deceptive cystoderma,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Squamanitaceae,,,Cystoderma,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2018-11-11,Adam Huggins,https://www.inaturalist.org/observations/18364194,,475632,FUN
Cystodermella granulosa,(Batsch) Harmaja,,pure cystoderma,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,Cystodermella,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2018-10-31,Christopher Heffley,https://www.inaturalist.org/observations/17991158,,338133,FUN
Dacrymyces chrysospermus,Berk. & M.A. Curtis,,witch’s butter,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,Dacrymyces,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-02-23,Andrew Simon,https://www.inaturalist.org/observations/5165789,,118028,FUN
Dacrymyces stillatus,Nees,,jelly fungus,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,Dacrymyces,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-01-13,Kevin Toomer,https://www.inaturalist.org/observations/19622764,"plausible report but questionable photo, ID would really benefit from microscopy (Shannon Berch)",53276,FUN
Deconica montana,(Pers.) P. Kumm.,,mountain moss psilocybe,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Deconica,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22062,,2018-03-18,Andrew Simon,https://www.inaturalist.org/observations/10306416,reported as Psilocybe montana,498078,FUN
Fomes fomentarius,(L.) Fr.,,hoof fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Fomes,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-10-23,Kevin Toomer,https://www.inaturalist.org/observations/8520602,,127510,FUN
Fomitopsis mounceae,J.-E. Haight & Nakasone,,red-banded polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,Fomitopsis,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2016-07-14,Andrew Simon,http://www.inaturalist.org/observations/3680363,reported as Fomitopsis pinicola; see Haight et al. 2019,877361,FUN
Galerina marginata,(Batsch) Kühner,,deadly galerina,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Hymenogastraceae,,,Galerina,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-10-28,Marty Moser,https://www.inaturalist.org/observations/8597245,reported as Galerina autumnalis (Peck) A.H. Sm.& Singer,154735,FUN
Ganoderma applanatum,(Pers.) Pat.,,artist's conk,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Ganoderma,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-08-14,Andrew Simon,http://www.inaturalist.org/observations/3890889,,48473,FUN
Ganoderma oregonense,Murrill,,Oregon varnished conk,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Ganoderma,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2013-09-29,Ian Guthrie,http://www.inaturalist.org/observations/4208201,"separation from G. tsugae is problematic and may need microscopy (Shannon Berch, pers. comm.); but according to a study cited on the following link, G. tsugae + G. oregonense do not appear to coexist on the west coast. See: https://www.mushroomexpert.com/ganoderma_tsugae.html",118062,FUN
Ganoderma tsugae,Murrill,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Ganoderma,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-09-08,Caitlin Robsin,https://www.inaturalist.org/observations/32393547,"separation from G. oregonense is problematic and may need microscopy (Shannon Berch, pers. comm.); but according to a study cited on the following link, G. tsugae + G. oregonense do not appear to coexist on the west coast. See: https://www.mushroomexpert.com/ganoderma_tsugae.html",63274,FUN
Gomphidius oregonensis,Peck,,insidious gomphidius,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Boletales,,,Gomphidiaceae,,,Gomphidius,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-11-22,Kevin Toomer,https://www.inaturalist.org/observations/8908014,,64097,FUN
Gomphidius subroseus,Kauffman,,rosy gomphidius,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Boletales,,,Gomphidiaceae,,,Gomphidius,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2020-10-06,Adrian Levine,https://www.inaturalist.org/observations/62313375,,48428,FUN
Guepiniopsis alpina,(Earle) Brasf.,,golden jelly cone,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,Guepiniopsis,,,confirmed,observed,2009-05,Kent Brothers,VMS,,,2019-01-11,Andrew Simon,https://www.inaturalist.org/observations/19596586,,118032,FUN
Gymnopilus junonius,(Fr.) P.D. Orton,,spectacular rustgill,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Gymnopilus,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-10-23,Graham Barber,http://inaturalist.ca/observations/4428045,reported as Gymnopilus spectabilis,83196,FUN
Gymnopilus sapineus,(Fr.) Murrill,,scaly rustgill,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Gymnopilus,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2016-11-03,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/4491221,,118302,FUN
Gyromitra ancilis,(Pers.) Kreisel,,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Discinaceae,,,Gyromitra,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2018-04-09,Kevin Toomer,https://www.inaturalist.org/observations/10822697,reported as Discina ancilis,950530,FUN
Gyromitra esculenta,(Pers.) Fr.,,false morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Discinaceae,,,Gyromitra,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2015-03-25,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2573928,,85120,FUN
Gyromitra infula,(Schaeff.) Quél.),,saddle-shaped false morel,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Discinaceae,,,Gyromitra,,,confirmed,observed,2007-04-05,Oluna Ceska,UBC,F29204,,2017-11-19,Kevin Toomer,https://www.inaturalist.org/observations/8865816,,117994,FUN
Hebeloma crustuliniforme,(Bull.) Quél.,,poison pie,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Hymenogastraceae,,,Hebeloma,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22076,,,,,,194307,FUN
Helvella compressa,(Snyder) N.S. Weber,,compressed elfin saddle,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Helvellaceae,,,Helvella,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2016-03-22,Tyson Ehlers,https://www.inaturalist.org/observations/8946029,,117997,FUN
Helvella vespertina,N.H. Nguyen & Velling,,western black elfin saddle,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Helvellaceae,,,Helvella,,,confirmed,observed,2011-10-29,Kent Brothers,VMS,,,2016-11-01,Andrew Simon,https://www.inaturalist.org/observations/4479895,"Helvella lacunosa, a European species only known to eastern NA on the continent, erroneously reported",423950,FUN
Hericium abietis,(Weir ex Hubert) K.A. Harrison,,bear’s head,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Hericiaceae,,,Hericium,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2018-10-28,Karen Elisabeth Harris,https://www.inaturalist.org/observations/17918884,,55187,FUN
Hericium erinaceus,(Bull.) Persoon,,lion’s mane mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Hericiaceae,,,Hericium,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2018-07-30,Tyson Ehlers,https://www.inaturalist.org/observations/15113648,,49158,FUN
Humaria hemisphaerica,(F.H. Wigg.) Fuckel,,brown-haired white cup,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pyronemataceae,,,Humaria,,,confirmed,observed,2011-10-29,Kent Brothers,VMS,,,2016-10-29,Sarah Tweedale,http://www.inaturalist.org/observations/4472367,,58687,FUN
Hydnellum peckii,,,Bleeding Hydnellum,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Thelephorales,,,Bankeraceae,,,Hydnellum,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2020-10-01,Adrian Levine,https://www.inaturalist.org/observations/62312449,,154949,FUN
Hygrocybe conica,,,witch’s hat,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Hygrophorineae,,Hygrophoraceae,,,Hygrocybe,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2013-10-26,Ian Guthrie,http://www.inaturalist.org/observations/4209891,,51872,FUN
Hygrocybe flavescens,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Hygrophorineae,,Hygrophoraceae,,,Hygrocybe,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2015-02-12,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2565145,,53475,FUN
Hygrocybe miniata,(Fr.) P. Kumm.,,vermillion waxcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Hygrophorineae,,Hygrophoraceae,,,Hygrocybe,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-11-11,Sarah Tweedale,http://inaturalist.ca/observations/4535424,,194659,FUN
Hygrophoropsis aurantiaca,(Wulfen) Maire,,false chanterelle,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Boletales,,,Hygrophoropsidaceae,,,Hygrophoropsis,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2018-10-29,Christopher Heffley,https://www.inaturalist.org/observations/17946919,,63538,FUN
Hypholoma capnoides,,,smoky-gilled hypholoma,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Hypholoma,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2016-10-12,Andrew Simon,http://www.inaturalist.org/observations/4342913,,64071,FUN
Hypholoma fasciculare,,,sulphur tuft,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Hypholoma,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2016-10-18,Adam Huggins,http://www.inaturalist.org/observations/4390428,,48767,FUN
Hypomyces cervinigenus,Rogerson & Simms,,elfin saddle-eater,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,,,Hypocreales,,,Hypocreaceae,,,Hypomyces,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2013-11-01,Ian Guthrie,http://www.inaturalist.org/observations/4210331,,118004,FUN
