"Taxon","Matched.Taxon","Critical.Note"
"Castilleja miniata","Castilleja miniata var. dixonii",""
"Castilleja miniata dixonii","Castilleja miniata var. dixonii",""
"Centarium erythraea","Centaurium erythraea",""
"Cerastium arvense","Cerastium arvense ssp. strictum",""
"Cerastium arvense strictum","Cerastium arvense ssp. strictum",""
"Cerastium fontanum","Cerastium fontanum ssp. vulgare",""
"Chimaphila umbellata","Chimaphila umbellata ssp. umbellata",""
"Circaea alpina pacifica","Circaea alpina ssp. pacifica",""
"Clarkia amoena","Clarkia amoena ssp. caurina",""
"Clarkia amoena caurina","Clarkia amoena ssp. caurina",""
"Clarkia amoena caurina","Clarkia amoena ssp. caurina",""
"Clarkia amoena lindleyi","Clarkia amoena ssp. lindleyi",""
"Clarkia amoena lindleyi","Clarkia amoena ssp. lindleyi",""
"Clarkia amoena var. caurina","Clarkia amoena ssp. caurina",""
"Clarkia amoena var. lindleyi","Clarkia amoena ssp. lindleyi",""
"Claytonia exigua exigua","Claytonia exigua ssp. exigua",""
"Claytonia exigua glauca","Claytonia exigua ssp. glauca",""
"Claytonia rubra","Claytonia rubra ssp. depressa",""
"Claytonia rubra depressa","Claytonia rubra ssp. depressa",""
"Claytonia spathulata","Claytonia exigua ssp. exigua",""
"Consolida ambigua","Delphinium ajacis",""
"Convolvulus sepium","Calystegia sepium ssp. sepium",""
"Conyza canadensis","Erigeron canadensis",""
"Corallorhiza maculata maculata","Corallorhiza maculata var. maculata",""
"Corallorhiza maculata occidentalis","Corallorhiza maculata var. occidentalis",""
"Corallorhiza maculata ozettensis","Corallorhiza maculata var. ozettensis",""
"Corallorhiza striata","Corallorhiza striata var. striata",""
"Corallorhiza striata striata","Corallorhiza striata var. striata",""
"Cornus sericea","Cornus sericea ssp. occidentalis",""
"Cornus sericea occidentalis","Cornus sericea ssp. occidentalis",""
"Cornus stolonifera","Cornus sericea ssp. occidentalis",""
"Corylus cornuta","Corylus cornuta ssp. californica",""
"Corylus cornuta californica","Corylus cornuta ssp. californica",""
"Cotoneaster Dielsianus","Cotoneaster simonsii",""
"Cotoneaster lacteus","Cotoneaster coriaceus",""
"Crassula connata var connata","Crassula connata",""
"Crataegus monogyna","Crataegus monogyna var. monogyna",""
"Crataegus monogyna monogyna","Crataegus monogyna var. monogyna",""
"Cuscuta pacifica","Cuscuta pacifica var. pacifica",""
"Danthonia decumbens x californica","Danthonia decumbens",""
"Daucus carrota","Daucus carota",""
"Dodecatheon hendersonii","Primula hendersonii",""
"Dodecatheon pulchellum","Primula pauciflora var. pauciflora",""
"Elymus glaucus","Elymus glaucus ssp. glaucus",""
"Elymus glaucus glaucus","Elymus glaucus ssp. glaucus",""
"Epilobium angustifolium","Chamaenerion angustifolium",""
"Epilobium ciliatum ssp. ciliatum","Epilobium ciliatum",""
"Epilobium ciliatum ssp. Watsonii","Epilobium ciliatum",""
"Epilobium foliosum","Epilobium ravenii",""
"Equisetum hyemale","Equisetum hyemale ssp. affine",""
"Equisetum hyemale affine","Equisetum hyemale ssp. affine",""
"Equisetum telmateia","Equisetum telmateia ssp. braunii",""
"Equisetum telmateia braunii","Equisetum telmateia ssp. braunii",""
"Eriophorum angustifolium","Eriophorum gracile",""
"Eriophyllum lanatum","Eriophyllum lanatum var. leucophyllum",""
"Eriophyllum lanatum integrifolium","Eriophyllum lanatum var. leucophyllum",""
"Eriophyllum lanatum leucophyllum","Eriophyllum lanatum var. leucophyllum",""
"Erodium cicutarium","Erodium cicutarium ssp. cicutarium",""
"Erodium cicutarium cicutarium","Erodium cicutarium ssp. cicutarium",""
"Erysimum cheianthoides","Erysimum cheiranthoides",""
"Erythranthe guttata","Erythranthe cf guttata",""
"Erythranthe guttatus","Erythranthe cf guttata",""
"Erythranthe moschata","Erythranthe ptilota",""
"Erythranthe moschatus","Erythranthe ptilota",""
"Festuca arundinaceae","Lolium arundinaceum",""
"Festuca idahoensis var. roemeri","Festuca roemeri var. roemeri",""
"Festuca microstachys","Festuca microstachys var. pauciflora",""
"Festuca microstachys pauciflora","Festuca microstachys var. pauciflora",""
"Festuca pratensis","Lolium pratense",""
"Festuca roemeri","Festuca roemeri var. roemeri",""
"Festuca roemeri roemeri","Festuca roemeri var. roemeri",""
"Festuca rubra","Festuca rubra ssp. pruinosa",""
"Festuca rubra","Festuca rubra ssp. rubra",""
"Festuca rubra aucta","Festuca rubra ssp. rubra",""
"Festuca rubra pruinosa","Festuca rubra ssp. pruinosa",""
"Festuca rubra pruinosa","Festuca rubra ssp. pruinosa",""
"Festuca rubra rubra","Festuca rubra ssp. rubra",""
"Festuca rubra sens. lat.","Festuca rubra ssp. rubra",""
"Festuca rubra ssp. aucta","Festuca rubra ssp. rubra",""
"Filago vulgaris","Filago germanica",""
"Fragaria vesca","Fragaria vesca ssp. bracteata",""
"Fragaria vesca bracteata","Fragaria vesca ssp. bracteata",""
"Fritillaria affinis affinis","Fritillaria affinis",""
"G. dissectum","Geranium dissectum",""
"G. leptostachya","Glyceria leptostachya",""
"G. palustre","Gnaphalium palustre",""
"G. purpureum","Gamochaeta ustulata",""
"G. pusillum","Geranium pusillum",""
"G. robertianum","Geranium robertianum",""
"G. squarrosa","Grindelia squarrosa",""
"G. striata","Glyceria striata",""
"G. uliginosum","Gnaphalium uliginosum",""
"Gallium trifidum","Galium trifidum",""
"Gallium triflorum","Galium triflorum",""
"Geranium bicknelii","Geranium bicknellii",""
"Geranium carolinanum","Geranium carolinianum",""
"Geum macrophyllum macrophyllum","Geum macrophyllum",""
"Glaux maritima","Lysimachia maritima",""
"Glecoma hederacea","Glechoma hederacea",""
"Grindelia hirsutula","Grindelia hirsutula var. hirsutula",""
"Grindelia hirsutula","Grindelia hirsutula var. hirsutula",""
"Grindelia integrifolia","Grindelia stricta",""
"Grindelia stricta var. stricta","Grindelia stricta",""
"H. calycinium","Hypericum calycinum",""
"H. murinum","Hordeum murinum ssp. murinum",""
"H. perforatum","Hypericum perforatum",""
"Heuchera micrantha","Heuchera micrantha var. diversifolia",""
"Heuchera micrantha diversifolia","Heuchera micrantha var. diversifolia",""
"Holodiscus discolor","Holodiscus discolor var. discolor",""
"Holodiscus discolor discolor","Holodiscus discolor var. discolor",""
"Hordeum brachyantherum","Hordeum brachyantherum ssp. brachyantherum",""
"Hordeum brachyantherum brachyantherum","Hordeum brachyantherum ssp. brachyantherum",""
"Hordeum murinum","Hordeum murinum ssp. murinum",""
"Hordeum murinum murinum","Hordeum murinum ssp. murinum",""
"Hypopitys monotropa","Monotropa hypopitys",""
"J. articulatus","Juncus articulatus",""
"J. balticus","Juncus balticus",""
"J. bolanderi","Juncus bolanderi",""
"J. bufonius","Juncus bufonius",""
"J. ensifolius","Juncus ensifolius",""
"J. oxymeris","Juncus oxymeris",""
"J. tenuis","Juncus tenuis",""
"Juncus arcticus","Juncus arcticus ssp. alaskanus",""
"Juncus arcticus alaskanus","Juncus arcticus ssp. alaskanus",""
"Juncus bufonius","Juncus bufonius var. bufonius",""
"Juncus bufonius bufonius","Juncus bufonius var. bufonius",""
"Juncus effusus effusus","Juncus effusus ssp. effusus",""
"Juncus effusus pacificus","Juncus effusus ssp. pacificus",""
"Kalmia microphylla","Kalmia microphylla var. occidentalis",""
"Kalmia microphylla occidentalis","Kalmia microphylla var. occidentalis",""
"Kalmia occidentalis","Kalmia microphylla var. occidentalis",""
"Kalmia polifolia","Kalmia microphylla var. occidentalis",""
"Kalmia polifolia ssp. microphylla","Kalmia microphylla var. occidentalis",""
"L. denticulatus","Acmispon denticulatus",""
"L. latifolius","Lathyrus latifolius",""
"L. nevadensis","Lathyrus nevadensis var. pilosellus",""
"L. nudicaulis","Leontodon saxatilis ssp. saxatilis",""
"L. polycarpus","Lupinus polycarpus",""
"L. polyphyllus","Lupinus polyphyllus var. polyphyllus",""
"L. purpurea","Linaria purpurea",""
"L. purpureum","Lamium purpureum",""
"L. serriola","Lactuca serriola",""
"L. trisulca","Lemna trisulca",""
"L. uniflorus","Lycopus uniflorus",""
"L. unifoliatus var unifoliatus","Acmispon americanus var. americanus",""
"L. utriculatum","Lomatium utriculatum",""
"Lactuca muralis","Mycelis muralis",""
"Lamium hybridum","Lamium purpureum var. hybridum",""
"Lamium purpureum purpureum","Lamium purpureum",""
"Lathyrus nevadensis","Lathyrus nevadensis var. pilosellus",""
"Lathyrus nevadensis pilosellus","Lathyrus nevadensis var. pilosellus",""
"Ledum groenlandicum","Rhododendron groenlandicum",""
"Lemna minor","Lemna minuta",""
"Leontodon saxatilis","Leontodon saxatilis ssp. saxatilis",""
"Leontodon saxatilis saxatilis","Leontodon saxatilis ssp. saxatilis",""
"Lepidium virginicum","Lepidium virginicum ssp. menziesii",""
"Lepidium virginicum menziesii","Lepidium virginicum ssp. menziesii",""
"Leptosiphon bicolor","Leptosiphon minimus",""
"Leptosiphon bicolor","Leptosiphon minimus",""
"Leymus mollis","Leymus mollis ssp. mollis",""
"Leymus mollis mollis","Leymus mollis ssp. mollis",""
"Linanthus bicolor","Leptosiphon minimus",""
"Linaria canadensis var. texana","Nuttallanthus texanus",""
"Linnaea borealis","Linnaea borealis ssp. longiflora",""
"Linnaea borealis longiflora","Linnaea borealis ssp. longiflora",""
"Linnaea borealis longiflora","Linnaea borealis ssp. longiflora",""
"Listera cordata","Neottia cordata",""
"Lithophragma parviflora","Lithophragma parviflorum",""
"Lomatium grayi","Lomatium papilioniferum",""
"Lomatium grayi var. grayi","Lomatium papilioniferum",""
"Lomatium grayii","Lomatium papilioniferum",""
"Lomatium nuticaule","Lomatium nudicaule",""
"Lotus micranthus","Acmispon parviflorus",""
"Luzula comosa laxa","Luzula comosa var. laxa",""
"Luzula multiflora","Luzula multiflora ssp. multiflora",""
"Luzula multiflora multiflora","Luzula multiflora ssp. multiflora",""
"Lychnis coronaria","Silene coronaria",""
"Lyschiton americanum","Lysichiton americanus",""
"Lysichiton americanum","Lysichiton americanus",""
"Lysimachia europaea","Lysimachia europaea ssp. arctica",""
"Lysimachia europaea arctica","Lysimachia europaea ssp. arctica",""
"M. glomerata","Madia glomerata",""
"M. gracilis","Madia gracilis",""
"M. laxa","Myosotis laxa",""
"M. linearis","Montia linearis",""
"M. madioides","Anisocarpus madioides",""
"M. moschatus","Erythranthe ptilota",""
"M. neglecta","Malva neglecta",""
"M. parvifolia","Montia parvifolia",""
"M. pumila","Malus domestica",""
"M. sativa","Madia sativa",""
"M. scorpioides","Myosotis scorpioides",""
"M. smithii","Melica smithii",""
"M. suaveolens","Mentha suaveolens",""
"M. verticillatum","Myriophyllum spicatum",""
"Madia madioides","Anisocarpus madioides",""
"Mahonia aquifolium","Berberis aquifolium",""
"Mahonia aquilifolium","Berberis aquifolium",""
"Mahonia nervosa","Berberis nervosa",""
"Maianthemum dilatum","Maianthemum dilatatum",""
"Maianthemum racemosum amplexicaule","Maianthemum racemosum ssp. amplexicaule",""
"Malus domestica","Malus pumila",""
"Malus x domestica","Malus domestica",""
"Malus x_domestica","Malus domestica",""
"Matricaria matricarioides","Matricaria discoidea",""
"Melica smithii x subulata","Melica smithii × subulata",""
"Melilotus alba","Melilotus albus",""
"Mentha arvensis","Mentha canadensis",""
"Microseris lindleyi","Uropappus lindleyi",""
"Mimulus alsinoides","Erythranthe alsinoides",""
"Mimulus guttatus","Erythranthe cf guttata",""
"Mimulus moschatus","Erythranthe ptilota",""
"Mimulus moschatus","Erythranthe moschata",""
"Montia parvifolia parvifolia","Montia parvifolia",""
"Myriophyllum","Myriophyllum sp.",""
"Myriophyllum ","Myriophyllum sp.",""
"Myriophyllum verticillatum","Myriophyllum sp.",""
"N. pedunculata","Nemophila pedunculata",""
"Nastertium officinale","Nasturtium officinale",""
"Nasturtium microphyllum","Nasturtium officinale",""
"Nemophila parviflora var. parviflora","Nemophila parviflora",""
"Nuphar polysepalum","Nuphar polysepala",""
"Orobanche californica","Aphyllon californicum ssp. californicum",""
"Orobanche uniflora","Aphyllon purpureum",""
"Orthocarpus pusillus","Triphysaria pusilla",""
"Osmorhiza chilensis","Osmorhiza berteroi",""
"Oxycoccus oxycoccos","Vaccinium oxycoccos",""
"P. amphibium","Persicaria amphibia",""
"P. aviculare","Polygonum aviculare",""
"P. brectholdii","Potamogeton berchtoldii",""
"P. compressa","Poa compressa",""
"P. convolvulus","Fallopia convolvulus",""
"P. elegans","Platanthera elongata",""
"P. fowleri","Polygonum fowleri",""
"P. howellii","Poa howellii",""
"P. japonica","Petasites japonicus",""
"P. macrocera","Plectritis macrocera",""
"P. major","Plantago major",""
"P. maritima","Plantago maritima",""
"P. monticola","Pinus monticola",""
"P. natans","Potamogeton natans",""
"P. norvegica","Potentilla norvegica",""
"P. nuttalliana","Puccinellia nuttalliana",""
"P. palustris","Poa palustris",""
"P. persicaria","Persicaria maculosa",""
"P. picta","Pyrola picta",""
"P. ponderosa","Pinus ponderosa var. ponderosa",""
"P. pumila","Puccinellia pumila",""
"P. pusillus","Potamogeton pusillus",""
"P. secunda","Poa secunda",""
"P. spergulariaeforme","Polygonum spergulariiforme",""
"P. tenellus","Plagiobothrys tenellus",""
"P. tremuloides","Populus tremuloides",""
"P. trivialis","Poa trivialis",""
"P. unalaschensis","Platanthera unalascensis",""
"Pachistima myrsinites","Paxistima myrsinites",""
"Parentucellia viscosa","Bellardia viscosa",""
"Pentagramma triangularis","Pentagramma triangularis ssp. triangularis",""
"Pentagramma triangularis triangularis","Pentagramma triangularis ssp. triangularis",""
"Perideridia montana","Perideridia gairdneri",""
"Persicaria amphibia stipulacea","Persicaria amphibia",""
"Petasites frigidus","Petasites frigidus var. palmatus",""
"Petasites frigidus palmatus","Petasites frigidus var. palmatus",""
"Philadelphus lewesii","Philadelphus lewisii",""
"Phlox gracilis","Microsteris gracilis",""
"Phlox gracilis ssp. gracilis","Microsteris gracilis",""
"Phragmites communis","Phragmites australis ssp. americanus",""
"Pinus contorta","Pinus contorta ssp. contorta",""
"Pinus contorta contorta","Pinus contorta ssp. contorta",""
"Pinus contorta contorta","Pinus contorta ssp. contorta",""
"Pinus contorta var. contorta","Pinus contorta ssp. contorta",""
"Pinus ponderosa","Pinus ponderosa var. ponderosa",""
"Pinus ponderosa ponderosa","Pinus ponderosa var. ponderosa",""
"Piperia elegans","Platanthera elongata",""
"Piperia elegans (inc. maritima)","Platanthera elongata",""
"Piperia unalascensis","Platanthera unalascensis",""
"Plantago maritima juncoides","Plantago maritima",""
"Plectritis brachystemon","Plectritis congesta ssp. brachystemon",""
"Plectritis congesta","Plectritis congesta ssp. congesta",""
"Plectritis congesta brachystemon","Plectritis congesta ssp. congesta",""
"Plectritis congesta congesta","Plectritis congesta ssp. congesta",""
"Poa bulbosa vivipara","Poa bulbosa",""
"Poa secunda","Poa secunda",""
"Poa secunda secunda","Poa secunda",""
"Poa secunda ssp. secunda","Poa secunda",""
"Polygonum amphibium","Persicaria amphibia",""
"Populus balsamifera ssp. trichocarpa","Populus trichocarpa",""
"Populus tremuloides var. vancouveriana","Populus tremuloides",""
"Potentilla anserina var. pacifica","Argentina pacifica",""
"Potentilla egedii","Potentilla pacifica",""
"Potentilla palustris","Comarum palustre",""
"Prunella vulgaris","Prunella vulgaris var. vulgaris",""
"Prunella vulgaris vulgaris","Prunella vulgaris var. vulgaris",""
"Prunus emarginata","Prunus emarginata var. emarginata",""
"Prunus emarginata emarginata","Prunus emarginata var. emarginata",""
"Prunus x pugetensis","Prunus × pugetensis",""
"Pseudotsuga menziesii","Pseudotsuga menziesii var. menziesii",""
"Pseudotsuga menziesii menziesii","Pseudotsuga menziesii var. menziesii",""
"Pseudotsuga menziesii ssp. menziesii","Pseudotsuga menziesii var. menziesii",""
"Pteridium aquilinum","Pteridium aquilinum ssp. pubescens",""
"Pteridium aquilinum pubescens","Pteridium aquilinum ssp. pubescens",""
"Pyrola aphylla (asarifolia)","Pyrola aphylla",""
"Quercus garryana","Quercus garryana var. garryana",""
"Quercus garryana garryana","Quercus garryana var. garryana",""
"R. aquatilis","Ranunculus aquatilis",""
"R. conglomeratus","Rumex conglomeratus",""
"R. crispus","Rumex crispus",""
"R. flammula","Ranunculus flammula",""
"R. gymnocarpa","Rosa gymnocarpa",""
"R. islandica","Rorippa palustris ssp. palustris",""
"R. laciniatus","Rubus laciniatus",""
"R. lobbii","Ribes lobbii",""
"R. obtusifolius","Rumex obtusifolius",""
"R. parviflorus","Rubus parviflorus",""
"R. repens","Ranunculus repens",""
"R. salicifolius","Rumex transitorius",""
"R. sardous","Ranunculus sardous",""
"R. sativus","Raphanus raphanistrum ssp. sativus",""
"R. spectabilis","Rubus spectabilis",""
"R. uncinatus","Ranunculus uncinatus",""
"Ranunculus flammula","Ranunculus flammula var. reptans",""
"Ranunculus flammula reptans","Ranunculus flammula var. reptans",""
"Ranunculus occidentalis","Ranunculus occidentalis var. occidentalis",""
"Ranunculus occidentalis occidentalis","Ranunculus occidentalis var. occidentalis",""
"Raphanus raphanistrum sativus","Raphanus raphanistrum ssp. sativus",""
"Raphanus sativus","Raphanus raphanistrum ssp. sativus",""
"Rhamnus purshiana","Frangula purshiana",""
"Rhinanthus minor minor","Rhinanthus minor",""
"Rhinanthus minor ssp. minor","Rhinanthus minor",""
"Rhus diversiloba","Toxicodendron diversilobum",""
"Ribes divaricatum","Ribes divaricatum var. divaricatum",""
"Ribes divaricatum divaricatum","Ribes divaricatum var. divaricatum",""
"Rorippa islandica","Rorippa palustris ssp. palustris",""
"Rosa eglanteria","Rosa rubiginosa",""
"Rosa gymnocarpa gymnocarpa","Rosa gymnocarpa",""
"Rosa nutkana","Rosa nutkana ssp. nutkana",""
"Rosa nutkana nutkana","Rosa nutkana ssp. nutkana",""
"Rubus armeniacus","Rubus bifrons",""
"Rubus discolor","Rubus bifrons",""
"Rubus spectabilis spectabilis","Rubus spectabilis",""
"Rumex salicifolius","Rumex transitorius",""
"S. album","Sedum album",""
"S. cooleyae","Stachys chamissonis var. cooleyae",""
"S. crassicaulis","Sanicula crassicaulis var. crassicaulis",""
"S. crispa","Stellaria crispa",""
"S. cucubalus","Silene vulgaris",""
"S. decumbens ssp. occidentalis","Sagina decumbens ssp. occidentalis",""
"S. integrifolia","Micranthes integrifolia",""
"S. lanceolatum var. nesioticum","Sedum lanceolatum var. nesioticum",""
"S. lucida","Salix lasiandra var. lasiandra",""
"S. marina","Spergularia marina",""
"S. maritimus var. paludosus","Bolboschoenus maritimus ssp. paludosus",""
"S. microcarpus","Scirpus microcarpus",""
"S. mollis","Symphoricarpos mollis",""
"S. natans","Sparganium natans",""
"S. procumbens","Sagina procumbens",""
"S. reflexum","Petrosedum rupestre",""
"S. sarrachoides","Solanum sarrachoides",""
"S. sitchensis","Salix sitchensis",""
"S. spathulifolium","Sedum spathulifolium",""
"S. sylvaticus","Senecio sylvaticus",""
"S. vulgaris","Senecio vulgaris",""
"Sagina decumbens","Sagina decumbens ssp. occidentalis",""
"Sagina decumbens occidentalis","Sagina decumbens ssp. occidentalis",""
"Salicornia pacifica","Salicornia pacifica",""
"Salicornia perennis","Salicornia pacifica",""
"Salicornia virginica","Salicornia pacifica",""
"Salix lasiandra","Salix lasiandra var. lasiandra",""
"Salix lasiandra lasiandra","Salix lasiandra var. lasiandra",""
"Sambucus racemosa","Sambucus racemosa var. arborescens",""
"Sambucus racemosa arborescens","Sambucus racemosa var. arborescens",""
"Sambucus racemosa racemosa","Sambucus racemosa var. arborescens",""
"Sambucus racemosa ssp. pubens","Sambucus racemosa var. arborescens",""
"Sanguisorba minor ssp. muricata","Sanguisorba minor",""
"Sanicula crassicaulis","Sanicula crassicaulis var. crassicaulis",""
"Sanicula crassicaulis crassicaulis","Sanicula crassicaulis var. crassicaulis",""
"Sanicula crassicaulis tripartita","Sanicula crassicaulis var. tripartita",""
"Satureja douglasii","Clinopodium douglasii",""
"Saxifraga caespitosa","Saxifraga cespitosa",""
"Scilla nonscripta","Hyacinthoides × massartiana",""
"Scirpus acutus","Schoenoplectus acutus",""
"Scirpus validus","Schoenoplectus acutus",""
"Sedum lanceolatum","Sedum lanceolatum var. nesioticum",""
"Sedum lanceolatum nesioticum","Sedum lanceolatum var. nesioticum",""
"Sedum lanceolatum nesioticum","Sedum lanceolatum var. nesioticum",""
"Sedum rupestre","Petrosedum rupestre",""
"Sellaria nitens","Stellaria nitens",""
"Senecio jacobaea","Jacobaea vulgaris",""
"Silene alba","Silene latifolia",""
"Sisyrinchium idahoense","Sisyrinchium idahoense var. idahoense",""
"Sisyrinchium idahoense idahoense","Sisyrinchium idahoense var. idahoense",""
"Sisyrinchium idahoensis","Sisyrinchium idahoense var. idahoense",""
"Smilicina racemosa","Maianthemum racemosum ssp. amplexicaule",""
"Solanum americanum var. nodiflorum","Solanum americanum",""
"Sonchus arvensis","Sonchus arvensis ssp. arvensis",""
"Sonchus arvensis arvensis","Sonchus arvensis ssp. arvensis",""
"Spergularia canadensis","Spergularia canadensis var. occidentalis",""
"Spergularia canadensis occidentalis","Spergularia canadensis var. occidentalis",""
"Spergularia macrotheca","Spergularia macrotheca var. macrotheca",""
"Spergularia macrotheca macrotheca","Spergularia macrotheca var. macrotheca",""
"Spergularia salina","Spergularia marina",""
"Spiraea douglasii","Spiraea douglasii var. douglasii",""
"Spiraea douglasii douglasii","Spiraea douglasii var. douglasii",""
"Spirea douglasii spp. douglasii","Spiraea douglasii var. douglasii",""
"Stachys chamissonis","Stachys chamissonis var. cooleyae",""
"Stachys chamissonis cooleyae","Stachys chamissonis var. cooleyae",""
"Stachys cooleyae","Stachys chamissonis var. cooleyae",""
"Stellaria borealis","Stellaria borealis ssp. sitchana",""
"Stellaria borealis sitchana","Stellaria borealis ssp. sitchana",""
"Stellaria borealis sitchana","Stellaria borealis ssp. sitchana",""
"Stellaria calycantha","Stellaria borealis ssp. sitchana",""
"Stipa lemmonnii","Eriocoma lemmonii",""
"Symphoricarpos albus","Symphoricarpos albus var. laevigatus",""
"Symphoricarpos albus albus","Symphoricarpos albus var. laevigatus",""
"Symphoricarpos albus laevigatus","Symphoricarpos albus var. laevigatus",""
"Symphoricarpos mollis hesperius","Symphoricarpos mollis",""
"T. dichotomum","Trifolium dichotomum",""
"T. incarnatum","Trifolium incarnatum",""
"T. maritimum","Triglochin maritima",""
"T. microcephalum","Trifolium microcephalum",""
"T. microdon","Trifolium microdon",""
"T. pratense","Trifolium pratense",""
"T. subterraneum","Trifolium subterraneum",""
"T. vulgare","Tanacetum vulgare",""
"T. wormskjoldii","Trifolium wormskioldii",""
"Taraxacum erythrospermum","Taraxacum erythrospermum agg.",""
"Taraxacum laevigatum","Taraxacum erythrospermum agg.",""
"Taraxacum officinale","Taraxacum officinale agg.",""
"Tellima grandiflorum","Tellima grandiflora",""
"Thalspi arvense","Thlaspi arvense",""
"Tiarella trifoliata","Tiarella trifoliata var. trifoliata",""
"Tiarella trifoliata laciniata","Tiarella trifoliata var. laciniata",""
"Tiarella trifoliata trifoliata","Tiarella trifoliata var. trifoliata",""
"Torilis japonica (arvense?)","Torilis japonica",""
"Torreyochloa pallida pauciflora","Torreyochloa pallida var. pauciflora",""
