scientificName,Group,Abundance.Notes,recordedBy,eventDate,Notes
Phragmites communis,vascular plants,present,Harvey Janszen,1980-04-12,
Pinus monticola,vascular plants,present,Harvey Janszen,1980-04-12,
Polystichum munitum,vascular plants,present,Harvey Janszen,1980-04-12,
Pseudotsuga menziesii,vascular plants,present,Harvey Janszen,1980-04-12,
Pteridium aquilinum,vascular plants,present,Harvey Janszen,1980-04-12,
Rubus spectabilis,vascular plants,present,Harvey Janszen,1980-04-12,
Rubus ursinus,vascular plants,present,Harvey Janszen,1980-04-12,
Salix sitchensis,vascular plants,dominant,Harvey Janszen,1980-04-12,
Scirpus validus,vascular plants,dominant,Harvey Janszen,1980-04-12,
Spiraea douglasii,vascular plants,dominant,Harvey Janszen,1980-04-12,
Stachys cooleyae,vascular plants,present,Harvey Janszen,1980-04-12,
Thuja plicata,vascular plants,present,Harvey Janszen,1980-04-12,
Typha latifolia,vascular plants,present,Harvey Janszen,1980-04-12,
Vaccinium oxycoccus,vascular plants,present,Harvey Janszen,1980-04-12,
Cladina portentosa,lichens,present,Harvey Janszen,1980-04-12,
Hylocomium splendens,bryophytes,present,Harvey Janszen,1980-04-12,
Rhizomnium glabrescens,bryophytes,present,Harvey Janszen,1980-04-12,
Rhytidiadelphus triquetrus,bryophytes,present,Harvey Janszen,1980-04-12,
Agrostis gigantea,vascular plants,present,Hans Roemer,2000-06-12,
Alnus rubra,vascular plants,present,Hans Roemer,2000-06-12,
Athyrium filix-femina,vascular plants,present,Hans Roemer,2000-06-12,
Carex canescens,vascular plants,present,Hans Roemer,2000-06-12,
Carex cusickii,vascular plants,dominant,Hans Roemer,2000-06-12,
Carex echinata,vascular plants,present,Hans Roemer,2000-06-12,
Carex lasiocarpa,vascular plants,present,Hans Roemer,2000-06-12,
Carex leptalea,vascular plants,present,Hans Roemer,2000-06-12,
Carex livida,vascular plants,present,Hans Roemer,2000-06-12,
Carex obnupta,vascular plants,present,Hans Roemer,2000-06-12,
Carex sitchensis,vascular plants,present,Hans Roemer,2000-06-12,
Ceratophyllum echinatum,vascular plants,present,Hans Roemer,2000-06-12,
Cicuta douglasii,vascular plants,dominant,Hans Roemer,2000-06-12,
Comarum palustre,vascular plants,present,Hans Roemer,2000-06-12,
Drosera rotundifolia,vascular plants,present,Hans Roemer,2000-06-12,
Epilobium cf. ciliatum,vascular plants,present,Hans Roemer,2000-06-12,
Eriophorum angustifolium,vascular plants,present,Hans Roemer,2000-06-12,
Eriophorum chamissonis,vascular plants,present,Hans Roemer,2000-06-12,
Galium trifidum,vascular plants,present,Hans Roemer,2000-06-12,
Gaultheria shallon,vascular plants,present,Hans Roemer,2000-06-12,
Glyceria sp.,vascular plants,present,Hans Roemer,2000-06-12,
Juncus articulatus,vascular plants,present,Hans Roemer,2000-06-12,
Juncus effusus,vascular plants,present,Hans Roemer,2000-06-12,
Kalmia polifolia ssp. microphylla,vascular plants,present,Hans Roemer,2000-06-12,
Ledum groenlandicum,vascular plants,dominant,Hans Roemer,2000-06-12,
Lemna minor,vascular plants,dominant,Hans Roemer,2000-06-12,
Lemna trisulca,vascular plants,present,Hans Roemer,2000-06-12,
Ludwigia palustris,vascular plants,present,Hans Roemer,2000-06-12,
Lycopus uniflorus,vascular plants,present,Hans Roemer,2000-06-12,
Lysichiton americanum,vascular plants,present,Hans Roemer,2000-06-12,
Lysimachia thyrsiflora,vascular plants,present,Hans Roemer,2000-06-12,
Myosotis laxa,vascular plants,present,Hans Roemer,2000-06-12,
Myriophyllum verticillatum,vascular plants,present,Hans Roemer,2000-06-12,
Nuphar polysepalum,vascular plants,present,Hans Roemer,2000-06-12,
Oenanthe sarmentosa,vascular plants,present,Hans Roemer,2000-06-12,
Phalaris arundinacea,vascular plants,present,Hans Roemer,2000-06-12,
Phragmites communis,vascular plants,present,Hans Roemer,2000-06-12,
Pinus monticola,vascular plants,present,Hans Roemer,2000-06-12,
Polygonum amphibium,vascular plants,present,Hans Roemer,2000-06-12,
Potamogeton natans,vascular plants,present,Hans Roemer,2000-06-12,
Potamogeton pusillus,vascular plants,present,Hans Roemer,2000-06-12,
Pseudotsuga menziesii,vascular plants,present,Hans Roemer,2000-06-12,all seedlings in 2000
Rhynchospora alba,vascular plants,present,Hans Roemer,2000-06-12,
Rubus spectabilis,vascular plants,present,Hans Roemer,2000-06-12,
Rubus ursinus,vascular plants,present,Hans Roemer,2000-06-12,
Scirpus microcarpus,vascular plants,present,Hans Roemer,2000-06-12,
Scirpus validus,vascular plants,present,Hans Roemer,2000-06-12,
Sparganium emersum,vascular plants,present,Hans Roemer,2000-06-12,
Sparganium natans,vascular plants,present,Hans Roemer,2000-06-12,
Spiraea douglasii,vascular plants,dominant,Hans Roemer,2000-06-12,
Thuja plicata,vascular plants,present,Hans Roemer,2000-06-12,mostly seedlings in 2000
Trientalis arctica,vascular plants,present,Hans Roemer,2000-06-12,
Tsuga heterophylla,vascular plants,present,Hans Roemer,2000-06-12,
Typha latifolia,vascular plants,present,Hans Roemer,2000-06-12,
Utricularia vulgaris,vascular plants,present,Hans Roemer,2000-06-12,
Vaccinium oxycoccus,vascular plants,present,Hans Roemer,2000-06-12,
Veronica americana,vascular plants,present,Hans Roemer,2000-06-12,
Veronica scutellata,vascular plants,present,Hans Roemer,2000-06-12,
Viola macloskeyi,vascular plants,present,Hans Roemer,2000-06-12,
Aulacomnium palustre,bryophytes,present,Hans Roemer,2000-06-12,
Calliergon cf. giganteum,bryophytes,present,Hans Roemer,2000-06-12,
Cladina portentosa,lichens,dominant,Hans Roemer,2000-06-12,
Dicranum polysetum,bryophytes,present,Hans Roemer,2000-06-12,
Hylocomium splendens,bryophytes,present,Hans Roemer,2000-06-12,
Kindbergia oregana,bryophytes,present,Hans Roemer,2000-06-12,
Kindbergia praelonga,bryophytes,present,Hans Roemer,2000-06-12,
Mylia anomala,bryophytes,present,Hans Roemer,2000-06-12,reported as Mylia sp. by Hans Roemer (confirmed as Mylia anomala by Randal Mindell in Nov. 2021)
Nitella sp.,charophytes,present,Hans Roemer,2000-06-12,
Pleurozium schreberi,bryophytes,present,Hans Roemer,2000-06-12,
Rhizomnium glabrescens,bryophytes,present,Hans Roemer,2000-06-12,
Rhytidiadelphus triquetrus,bryophytes,present,Hans Roemer,2000-06-12,
Riccia fluitans,bryophytes,present,Hans Roemer,2000-06-12,
Sphagnum capillifolium,bryophytes,present,Hans Roemer,2000-06-12,
Sphagnum fuscum,bryophytes,dominant,Hans Roemer,2000-06-12,
Sphagnum pacificum,bryophytes,present,Hans Roemer,2000-06-12,
Sphagnum palustre,bryophytes,present,Hans Roemer,2000-06-12,
Sphagnum squarrosum,bryophytes,present,Hans Roemer,2000-06-12,
