"scientificName","records","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Achlys triphylla","no","(Sm.) DC.","","vanilla leaf","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Ranunculales","",,"Berberidaceae","Berberidoideae",,"Achlys","Achlys triphylla","","","","native","S5 (2019)",,"","","","",,"2019-05-11","kiahmunn","iNaturalist","https://www.inaturalist.org/observations/34570113",,,"new 2019","observed","",75263,"VAS"
"Phyllostachys aurea","no","Rivière & C. Rivière","","fishpole bamboo","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Bambusoideae",,"Phyllostachys","Phyllostachys aurea","","","","exotic","unlisted",,"","","","",,"2020-01-04","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/37285423",,,"new 2020","observed","iNat: needs i.d.",78563,"VAS"
"Huperzia miyoshiana","no","(Makino) Ching","","none","Plantae","Tracheophyta","",,"Lycopodiopsida","","","Lycopodiales","",,"Lycopodiaceae","Huperzioideae",,"Huperzia","Huperzia miyoshiana","","","","native","S4? (2015)",,"1974-06-07","Charles E. Beil","UBC","V176177",,"2015-07-11","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/38247095",,,"confirmed","observed","UBC:  Bowen Island",179422,"VAS"
"Symphyotrichum chilense","no","(Nees) G.L. Nesom","","Pacific aster","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Symphyotrichum","Symphyotrichum chilense","","","","native","S5 (2019)",,"","","","",,"2018-10-20","kebrauckmann","iNaturalist","https://www.inaturalist.org/observations/39213740",,,"new 2018","observed","iNat: needs i.d. S. chilense, S. subspicatum, S. eatonii and now S. novi-belgii are names suggested for what look similar to species in the Squamish Estuary",56861,"VAS"
"Dichanthelium sp.","no","(Hitchc. & Chase) Gould","","rosette grasses","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Panicoideae",,"Dichanthelium","Dichanthelium ","","","","","",,"","","","",,"2020-04-05","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/41484850",,,"new 2020","observed","iNat: needs i.d.",128807,"VAS"
"Muscari armeniacum","no","Leichtlin","","garden grape-hyacinth","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Asparagales","",,"Asparagaceae","Scilloideae",,"Muscari","Muscari armeniacum","","","","exotic","SNA",,"","","","",,"2020-04-10","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/41839372",,,"new 2020","observed","",57847,"VAS"
"Acer platanoides","no","L.","","Norway maple","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Sapindales","",,"Sapindaceae","",,"Acer","Acer platanoides","","","","exotic","SNA (2019)",,"","","","",,"2020-04-26","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/43773795",,,"new 2020","observed","",54763,"VAS"
"Hyacinthoides hispanica","no","(Mill.) Chouard ex Rothm.","","spanish bluebell","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Asparagales","",,"Asparagaceae","Scilloideae",,"Hyacinthoides","Hyacinthoides hispanica","","","","exotic","SNA (2019)",,"","","","",,"2020-05-06","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/45130121",,,"new 2020","observed","iNat: needs i.d.",57635,"VAS"
"Prunella vulgaris ssp. vulgaris","no","L.","","common selfheal","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Lamiales","",,"Lamiaceae","Nepetoideae",,"Prunella","Prunella vulgaris","","vulgaris","","exotic","SNA (2000)",,"","","","",,"2020-07-01","microbin","iNaturalist","https://www.inaturalist.org/observations/51662280",,,"new 2020","observed","",81287,"VAS"
"Oreopteris quelpaertensis","no","(Christ) Holub","","Queen's veil mountain fern","Plantae","Tracheophyta","",,"Polypodiopsida","Polypodiidae","","Polypodiales","",,"Thelypteridaceae","Thelypteridoideae",,"Oreopteris","Oreopteris quelpaertensis","","","","native","S4 (2019)",,"","","","",,"2018-08-06","Steve Ansell","iNaturalist","https://www.inaturalist.org/observations/54800910",,,"new 2018","observed","",503922,"VAS"
"Helianthus annuus","no","L.","","common sunflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Helianthus","Helianthus annuus","","","","exotic","SNA (2019)",,"","","","",,"2020-08-08","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/55880514",,,"new 2020","observed","",57983,"VAS"
"Lupinus lepidus var. lobbii","no","Douglas ex Lindl.","(A.Gray ex S.Watson) C.L.Hitchc.","lobb's lupine","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Fabales","",,"Fabaceae","Faboideae",,"Lupinus","Lupinus lepidus","","","lobbii","native","S4S5 (2019)",,"","","","",,"2020-08-16","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/56902031",,,"new 2020","observed","",81068,"VAS"
"Carex nardina","no","Fr.","","nard sedge","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Cyperaceae","Cyperoideae",,"Carex","Carex nardina","","","","native","S5 (2019)",,"","","","",,"2020-08-22","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/57459094",,,"new 2020","observed","iNat: needs i.d.",160034,"VAS"
"Arnica mollis","no","Hook.","","hairy arnica","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Arnica","Arnica mollis","","","","native","S5 (2015)",,"1938-08-08","John W. Eastham","UBC","V9215",,"2020-09-11","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/59543194",,,"confirmed","observed","",75575,"VAS"
"Cakile edentula","no","Bigelow) Hook.","","sea rocket","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Brassicales","",,"Brassicaceae","",,"Cakile","Cakile edentula","","","","exotic","SNA (2015)",,"","","","",,"2020-09-27","northvandad","iNaturalist","https://www.inaturalist.org/observations/61066212",,,"new 2020","observed","",52162,"VAS"
"Tropaeolum majus","no","L.","","nasturtium","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Brassicales","",,"Tropaeolaceae","",,"Tropaeolum","Tropaeolum majus","","","","exotic","unlisted",,"","","","",,"2020-11-16","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/65037331",,,"new 2020","observed","",54329,"VAS"
"Sagina maxima ssp. crassicaulis","no","A. Gray","(S.Watson) G.E.Crow","thick-stemmed pearlwort","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Caryophyllales","",,"Caryophyllaceae","",,"Sagina","Sagina maxima","","crassicaulis","","native","S5 (2000)",,"","","","",,"2015-06-06","Steve Ansell","iNaturalist","https://www.inaturalist.org/observations/66725760",,,"new 2015","observed","",80178,"VAS"
"Madia gracilis","no","(Sm.) D.D. Keck","","grassy tarweed","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Madia","Madia gracilis","","","","native","S5 (2019)",,"","","","",,"2015-06-06","steveansell","iNaturalist","https://www.inaturalist.org/observations/66764476",,,"new 2015","observed","iNat: needs i.d.",53135,"VAS"
"Madia sativa","no","Molina","","coast tarweed","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Madia","Madia sativa","","","","exotic","SNA (2019)",,"","","","",,"2020-12-22","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/66935852",,,"new 2020","observed","",53143,"VAS"
"Helleborus sp.","no","L.","","hellebore","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Ranunculales","",,"Ranunculaceae","Ranunculoideae",,"Helleborus","Helleborus ","","","","exotic","",,"","","","",,"2021-01-16","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/68166879",,,"new 2021","observed","",55842,"VAS"
"Penstemon procerus var. procerus","no","Douglas ex Graham","","Tolmie's beardtongue","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Lamiales","",,"Plantaginaceae","",,"Penstemon","Penstemon procerus","","","procerus","native","S5 (2000)",,"1958-07-25","V.C. Brink","UBC","V120477",,"2011-05-14","mzifkin","iNaturalist","https://www.inaturalist.org/observations/68868314",,,"confirmed","observed","UBC:  Garibaldi",78414,"VAS"
"Scilla sp.","no","","","squills","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Asparagales","",,"Asparagaceae","Scilloideae",,"Scilla","Scilla ","","","","exotic","",,"","","","",,"2021-03-19","ahusdon","iNaturalist","https://www.inaturalist.org/observations/71567384",,,"new 2021","observed","iNat: needs i.d.",49149,"VAS"
"Fumaria officinalis","no","L.","","common fumitory","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Ranunculales","",,"Papaveraceae","Fumarioideae",,"Fumaria","Fumaria officinalis","","","","exotic","SNA (2019)",,"","","","",,"2021-03-27","raduscurtescu","iNaturalist","https://www.inaturalist.org/observations/72236025",,,"new 2021","observed","",53785,"VAS"
"Yucca sp.","no","","","yucca","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Asparagales","",,"Asparagaceae","Agavoideae",,"Yucca","Yucca ","","","","exotic","unlisted",,"","","","",,"2021-04-04","raduscurtescu","iNaturalist","https://www.inaturalist.org/observations/72976540",,,"new 2021","observed","iNat: needs i.d.",47787,"VAS"
"Euonymus alatus","no","(Thunb.) Siebold","","winged euonymus","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Celastrales","",,"Celastraceae","",,"Euonymus","Euonymus alatus","","","","unlisted","unlisted",,"","","","",,"2021-05-08","roslynmohr","iNaturalist","https://www.inaturalist.org/observations/78768402",,,"new 2021","observed","",117433,"VAS"
"Erysimum sp.","no","L.","","wallflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Brassicales","",,"Brassicaceae","",,"Erysimum","Erysimum ","","","","exotic","",,"","","","",,"2021-05-18","elsemikkelsen","iNaturalist","https://www.inaturalist.org/observations/79700513",,,"new 2021","observed","",50630,"VAS"
"Limnanthes douglasii","no","R. Br.","","Douglas' meadowfoam","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Brassicales","",,"Limnanthaceae","",,"Limnanthes","Limnanthes douglasii","","","","native","unlisted",,"","","","",,"2021-05-18","rileyparsons","iNaturalist","https://www.inaturalist.org/observations/79717184",,,"new 2021","observed","iNat: needs i.d.",51336,"VAS"
"Artemisia vulgaris","no","L.","","common mugwort","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Artemisia","Artemisia vulgaris","","","","exotic","SNA (2019)",,"","","","",,"2021-05-21","raduscurtescu","iNaturalist","https://www.inaturalist.org/observations/79731787",,,"new 2021","observed","",52856,"VAS"
"Betula occidentalis","no","Hook.","","water birch","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Fagales","",,"Betulaceae","",,"Betula","Betula occidentalis","","","","native","S5 (2019)",,"","","","",,"2021-05-24","raduscurtescu","iNaturalist","https://www.inaturalist.org/observations/80190566",,,"new 2021","observed","",75764,"VAS"
"Schoenoplectus acutus","no","(Muhl. ex. Bigelow) A. Löve & D. Löve","","hardstem bulrush","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Cyperaceae","Cyperoideae",,"Schoenoplectus","Schoenoplectus acutus","","","","native","S5 (2019)",,"","","","",,"2017-08-07","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/8099262",,,"new 2017","observed","",59205,"VAS"
"Geranium pratense","no","L.","","meadow crane's-bill","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Geraniales","",,"Geraniaceae","",,"Geranium","Geranium pratense","","","","exotic","unlisted",,"","","","",,"2021-06-01","eschott","iNaturalist","https://www.inaturalist.org/observations/81660878",,,"new 2021","observed","",55722,"VAS"
"Trichophorum cespitosum","no","(L.) Hartm.","","tufted bulrush","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Cyperaceae","Cyperoideae",,"Trichophorum","Trichophorum cespitosum","","","","native","S5 (2019)",,"","","","",,"2021-06-20","raduscurtescu","iNaturalist","https://www.inaturalist.org/observations/83896302",,,"new 2021","observed","iNat: needs i.d.",204169,"VAS"
"Oenothera glazioviana","no","Micheli","","large-flowered evening-primrose","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Myrtales","",,"Onagraceae","",,"Oenothera","Oenothera glazioviana","","","","exotic","SNA (2019)",,"","","","",,"2021-06-21","eyungwirth","iNaturalist","https://www.inaturalist.org/observations/83959508",,,"new 2021","observed","",62208,"VAS"
"Castanea sativa","no","Mill.","","sweet chestnut","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Fagales","",,"Fagaceae","",,"Castanea","Castanea sativa","","","","exotic","unlisted",,"","","","",,"2021-07-09","elsemikkelsen","iNaturalist","https://www.inaturalist.org/observations/86360744",,,"new 2021","observed","iNat: needs i.d.",121763,"VAS"
"Carex livida","no","(Wahlenb.) Willd.","","livid sedge","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Cyperaceae","Cyperoideae",,"Carex","Carex livida","","","","native","S5 (2019)",,"","","","",,"2021-07-10","randrudland","iNaturalist","https://www.inaturalist.org/observations/86513438",,,"new 2021","observed","iNat: needs i.d.",76072,"VAS"
"Sagittaria latifolia","no","Willd.","","broadleaf arrowhead","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Alismatales","",,"Alismataceae","",,"Sagittaria","Sagittaria latifolia","","","","native","S5 (2019)",,"","","","",,"2021-07-13","pumakit","iNaturalist","https://www.inaturalist.org/observations/86945066",,,"new 2021","observed","iNat: needs i.d.",48070,"VAS"
"Malva alcea","no","L.","","greater musk-mallow","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Malvales","",,"Malvaceae","Malvoideae",,"Malva","Malva alcea","","","","exotic","SNA",,"","","","",,"2021-09-04","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/93645939",,,"new 2021","observed","",146876,"VAS"
"Pulmonaria officinalis","no","L.","","lungworts","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Boraginales","",,"Boraginaceae","Boraginoideae",,"Pulmonaria","Pulmonaria officinalis","","","","exotic","unlisted",,"","","","",,"2017-04-20","hillanddale","iNaturalist","https://www.inaturalist.org/observations/9604722",,,"new 2017","observed","",125137,"VAS"
"Asparagus officinalis","no","L.","","wild asparagus","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Asparagales","",,"Asparagaceae","Asparagoideae",,"Asparagus","Asparagus officinalis","","","","exotic","SNA (2001)",,"","","","",,"2015-07-14","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/9971627",,,"new 2015","observed","",60265,"VAS"
"Juncus conglomeratus","no","L.","","compact rush","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Juncaceae","",,"Juncus","Juncus conglomeratus","","","","exotic","SNA (2000)",,"2007-11-13","Peter F. Zika","CIC","CIC: 41809",,"","","","",,,"reported","unobserved","College of Idaho:  Near Exit 5 on route 1, near junction of Westport Road and Northwood Drive, above the N shore of English Bay Elev. 175 m.",204335,"VAS"
"Spergularia marina","no","J. & K. Presl","","salt marsh sand-spurry","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Caryophyllales","",,"Caryophyllaceae","",,"Spergularia","Spergularia marina","","","","exotic","SNA (2019)",,"1940-09-05","","RBCM","V013435",,"","","","",,,"reported","unobserved","RBCM:  West Vancouver; original record S. salina",79169,"VAS"
"Barbarea verna","no","(P. Mill.) Asch.","","early wintercress","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Brassicales","",,"Brassicaceae","",,"Barbarea","Barbarea verna","","","","exotic","SNA (2019)",,"1943-05-23","","RBCM","V016333",,"","","","",,,"reported","unobserved","RBCM:  West Vancouver",71136,"VAS"
"Silene menziesii","no","Hook.","","Menzies' catchfly","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Caryophyllales","",,"Caryophyllaceae","Caryophylloideae",,"Silene","Silene menziesii","","","","native","S5 (2019)",,"1928-06-03","","RBCM","V038481",,"","","","",,,"reported","unobserved","RBCM:  West Vancouver",79111,"VAS"
"Arabidopsis lyrata ssp. kamchatica","no","(L.) O'Kane & Al-Shehbaz","(Fisch. ex DC.) O'Kane & Al-Shehbaz","lyreleaf rockcress","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Brassicales","",,"Brassicaceae","",,"Arabidopsis","Arabidopsis lyrata","","kamchatica","","native","S4 (2001",,"1914-08-05","John Davidson","UBC","V12369",,"","","","",,,"reported","unobserved","UBC: Arabidopsis kamchatica",333497,"VAS"
"Antennaria rosea ssp. pulvinata","no","Greene","(Greene) R.J.Bayer","pulvinate pussytoes","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Antennaria","Antennaria rosea","","pulvinata","","native","S4S5 (2016)",,"1938-08-12","John W. Eastham","UBC","V125197",,"","","","",,,"reported","unobserved","",444567,"VAS"
"Centaurium erythraea","no","Rafn","","common centaury","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Gentianales","",,"Gentianaceae","",,"Centaurium","Centaurium erythraea","","","","exotic","SNA (2019)",,"1989-07-18","","RBCM","V158284B",,"","","","",,,"reported","unobserved","RBCM:   C. umbellatum",56236,"VAS"
"Carex micropoda","no","Wahlenb.","","Pyrenean sedge","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Cyperaceae","Cyperoideae",,"Carex","Carex micropoda","","","","native","S5 (2015)",,"1965-07-22","B. Fraser","UBC","V161040",,"","","","",,,"reported","unobserved","UBC:  herbarium record C. pyrenaica",520225,"VAS"
"Liriodendron tulipifera","no","L.","","tuliptree","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Magnoliales","",,"Magnoliaceae","",,"Liriodendron","Liriodendron tulipifera","","","","exotic","",,"1978-08-15","John Pinder-Moss","UBC","V166523",,"","","","",,,"reported","unobserved","UBC:  Gambier Island Camp Artaban, likely PLANTED",53582,"VAS"
"Juglans regia","no","L.","","persian walnut","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Fagales","",,"Juglandaceae","",,"Juglans","Juglans regia","","","","exotic","SNA",,"1978-08-15","John Pinder-Moss","UBC","V166524",,"","","","",,,"reported","unobserved","UBC:  Gambier Id Camp Artaban",63935,"VAS"
"Luzula campestris","no","(L.) DC.","","field woodrush","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Juncaceae","",,"Luzula","Luzula campestris","","","","exotic","SNA (2001)",,"1973-08-01","Charles E. Beil","UBC","V176060",,"","","","",,,"reported","unobserved","UBC:  Bowen Island",55795,"VAS"
"Bromus inermis","no","Leyss.","","smooth brome","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Pooidiae",,"Bromus","Bromus inermis","","","","exotic","SNA (2000)",,"1979-06-06","G.E. Bradfield","UBC","V190183",,"","","","",,,"reported","unobserved","",75903,"VAS"
"Hieracium atratum","no","Fr.","","polar hawkweed","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Cichorioideae",,"Hieracium","Hieracium atratum","","","","exotic","unlisted",,"1989-06-01","Frank Lomer","UBC","V200111",,"","","","",,,"reported","unobserved","not in iNaturalist, FNA, but H. pseudoatratum is 897001; is in I.T.I.S.; UBC: near #99 at Horseshoe Bay",1248466,"VAS"
"Agrostis thurberiana","no","Hitchc.","","Thurber's bentgrass","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Pooidiae",,"Agrostis","Agrostis thurberiana","","","","native","",,"1960-08-22","E.B. Peterson","UBC","V206759",,"","","","",,,"reported","unobserved","UBC: Podagrostis thurberiana",158141,"VAS"
"Poa compressa","no","L.","","flattened meadow-grass","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Pooideae",,"Poa","Poa compressa","","","","exotic","SNA (2005)",,"2016-07-28","Terry Taylor","UBC","V244884",,"","","","",,,"reported","unobserved","UBC:  Cypress PP Yew Lake",78636,"VAS"
"Cotoneaster sternianus","no","(Turrill) Boom","","Stern's cotoneaster","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Rosales","",,"Rosaceae","Amygdaloideae",,"Cotoneaster","Cotoneaster sternianus","","","","exotic","SNA",,"2015-05-30","Frank Lomer","UBC","V246595",,"","","","",,,"reported","unobserved","",791250,"VAS"
