@@,area,Family,Species,iNatTaxon,HJ_comment,FPNW_note,First_record_year,First_record_observer,First_Record_Institution_ID,First_Record_Collection_No,First_Record_Location,critical_comments,reviewed,review_status,annotation_status
->,saanich,Caryophyllaceae,Sabulina rubella,Sabulina rubella,"Rocky slopes and dry open places, occasional; most common in the Goldstream and Highland districts. HJ Mt Finlayson 1985. A&OC Joycelyn Hill 1977, 1990.",,1887-06-28,J.M. Macoun,NY*->NY,738395,Mount Finlayson,Note: *NY =  New York Botanical Garden. TL->Note: NY =  New York Botanical Garden Herbarium. TL,,remaining,remaining
,saanich,Caryophyllaceae,Sagina apetala,Sagina apetala,"Collected around Victoria (Dallas & Simcoe Street - Lomer 95-082, Chinese Cemetery - Lomer 95-054, and at the parking lot of Thetis Lake Regional Park - Lomer 95-056. Also Sidney and Dominion Experimental Station grounds.",,1968-07-09,T.C. Brayshaw,RBCM,V099437,Matheson Lake; Metchosin,TL,,remaining,remaining
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,saanich,Cyperaceae,Carex hassei,Carex hassei,"AC Saanich 1976, AC Thetis Lake 1997.",,1890s -1920s-07-14,J.K. Henry,UBC,V41994,Thetis Lake,TL,,remaining,remaining
->,saanich,Cyperaceae,Carex hendersonii,Carex hendersonii,Damp woods; occasional; Smuggler's Cove and West Saanich.,,1893-06-01,J.M. Macoun,NY,2190147,Vicinity of Victoria,NY = The New York Botanical Garden TL->NY = The New York Botanical Garden Herbarium TL,,remaining,remaining
,saanich,Cyperaceae,Carex illota (delete),Carex illota,Melburn collections misidentified. No other records for Penninsula.,,,,,,,"""I would delete these until confirmed. They are all doubtful to me: C. illota"" FL ""Already on excluded list"" HJ","FL, HJ",in progress,remaining
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,saanich,Ericaceae,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Sandy or rocky soils in exposed places; common throughout.,,1961-05-01,K.I. Beamish,UBC,V134572,"Teanook Lake, Victoria",TL,AS,complete,remaining
->,saanich,Ericaceae,Chimaphila menziesii,Chimaphila menziesii,Moist woods; rare; collected only in Saanich by G. A. Hardy in 1943. Robinson iNaturalist report Goldstream 2020.,,1943,G.A. Hardy,FSP->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison (or 1919-06-28 C.F. Newcombe RBCM V050126 Waugh Creek) TL,p. 78,Saanich,Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski + A.S. Harrison TL,,remaining,remaining
,saanich,Ericaceae,Chimaphila umbellata ssp. umbellata,Chimaphila umbellata umbellata,Open or dense coniferous forest; occasional throughout.,,1961-05-01,K.I. Beamish,UBC,V134571,"Teanook Lake, Victoria",TL,,remaining,remaining
->,saanich,Ericaceae,Empetrum nigrum,Empetrum nigrum,"Rare; only known record came from Waugh Creek, Goldstream area, where it was collected by C. F. Newcombe in 1924; not collected since.",,1924,C.F. Newcombe,FSP,p. 71,"Waugh Creek, Goldstream area",Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski + A.S. Harrison TL->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison TL,,remaining,remaining
,saanich,Ericaceae,Gaultheria shallon,Gaultheria shallon,"Mostly coniferous forests, thickets, rocky cliffs, ravines, and exposed shore; very common throughout.",,1941-07-09,T.M.C. Taylor,UBC,V107524,Saanichton,TL,,remaining,remaining
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,saanich,Ericaceae,Monotropa uniflora,Monotropa uniflora,"Shady, mature, coniferous forest in the vicinity of rotting Douglas fir; sporadically abundant in suitable habitats.",,1890-06-01,C.F. Newcombe,RBCM,V038697,Victoria: Cedar Hill,TL,,remaining,remaining
->,saanich,Ericaceae,Orthilia secunda,Orthilia secunda,"Moist, coniferous forests; rare; known from Thetis Lake Park where it was collected by M. C. Melburn in 1959.",,1959,M.C. Melburn,FSP,p. 79,Thetis Lake Park,Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski + A.S. Harrison TL->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison TL,,remaining,remaining
,saanich,Ericaceae,Pterospora andromedea,Pterospora andromedea,"Dry, open coniferous forest; rare; known only from Sidney, Langford, Thetis Lake Park, and the Highland district.",,1924-07-13,C.F. Newcombe,RBCM,V038714,"Waugh Creek, Goldstream area",TL,,remaining,remaining
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,saanich,Fabaceae,Vicia hirsuta,Vicia hirsuta,Native of Europe; a weed of cultivated and disturbed ground; occasional in ditches or along the road; very common throughout.,,1912-05-19,J.K. Henry,UBC,V50915,Victoria,TL,,remaining,remaining
->,saanich,Fabaceae,Vicia lathyroides,Vicia lathyroides,"(Note from Lomer) This species has been well established for many years in the Victoria area: Mill Hill, May 7, 1966 collected by K. Beamish (UBC 116604), Island View Beach, April 30, 1995 (Lomer 95-032). AS lawns at UVic.",,1924,G.V. Copley,FSP,p. 69,Esquimalt,Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski & A.S. Harrison TL->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison TL,,remaining,remaining
,saanich,Fabaceae,Vicia nigricans var. gigantea,Vicia gigantea,"Thickets and forest clearings; locally abundant in Oak Bay, Saanich, Island View Beach, and Sidney.",,2018-06-09,A. Huggins,iNaturalist.org,13280134,"Island View Park, Saanichton",TL,,remaining,remaining
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,saanich,Lentibulariaceae,Utricularia vulgaris ssp. macrorhiza,Utricularia macrorhiza,"Ponds, stagnant lakes, and slow streams; widely distributed throughout. AC Turners Bog, Langford 1976.",,1970-08-03,A. Ceska,RBCM,V195770,"Butchart Lake: Goldstream River Watershed; Niagara Road, N of Lake.",TL,,remaining,remaining
->,saanich,Liliaceae,Erythronium oregonum ssp. oregonum,Erythronium oregonum,"Grassy ledges and openings, damp open woods; common throughout the area.",,->1913-06-12,->F. Perry,->UBC,->V25055,->Victoria,->TL,,remaining,remaining
->,saanich,Liliaceae,Erythronium revolutum,Erythronium revolutum,Open woods; rare; known from Cadboro Bay and John Dean Park where it was collected by M. C. Melburn in 1955 and 1965. Vouchers not found at V.,,->1955,->M.C. Melburn,->FSP,->p. 41,->Cadboro Bay,->Note: FSP = Flora of the Saanich Peninsula. A.F. Szczawinski and A.S. Harrison 1972 TL,,remaining,remaining
->,saanich,Liliaceae,Fritillaria affinis,Fritillaria affinis,"Damp, open, grassy places and parkland; common throughout.",,->1912-04-10,->F. James,->UBC,->V51387,->Victoria,->TL,,remaining,remaining
,saanich,Liliaceae,Fritillaria camschatcensis,Fritillaria camschatcensis,"Damp, open places; rare; Oak Bay, Cadboro Bay, and Saanich.",,,,,,,,,remaining,remaining
->,saanich,Liliaceae,Lilium columbianum,Lilium columbianum,"Damp, open woods and meadows; occasional; Victoria, Lost Lake, Thetis Lake Park, and Langford Lake.",,->1920-07-04,->G.V. Copley,->UBC,->V46690,"->Victoria, Beacon Hill",->TL,,remaining,remaining
->,saanich,Liliaceae,Prosartes hookeri,Prosartes hookeri,"Shaded woods; on soil rich in humus; occasional in Uplands, Sidney, and Thetis Lake Park. Langford Kojima 1968, Mt Douglas Park Krajina 1950.",,->1950-05-16,->V.J. Krajina,->UBC,->V46816,"->Near Victoria, Mount Douglas Park",->TL,,remaining,remaining
->,saanich,Liliaceae,Prosartes trachycarpa,Prosartes trachycarpa,Wooded areas; rare; Gordon Head. CDC Explorer no coast collections.,,,,,,,"->Note: No occurrences found. ""Common in BC east of the Coast-Cascade Mountains and S of 56 degree N."" Source: The Illustrated Flora of British Columbia DELETE. TL",,remaining,remaining
->,saanich,Liliaceae,Streptopus amplexifolius,Streptopus amplexifolius,"Moist, shady to partly open woods, on rich humus soil; fairly common throughout.",,->1917-06-02,->J.R. Anderson,->UBC,->V214492,->Goldstream,->TL,,remaining,remaining
->,saanich,Limnanthaceae,Limnanthes douglasii,Limnanthes douglasii,"Common garden escape. Known only from Uplands Park, where it was collected by M. C. Melburn in 1963. On Lomer & Penny's non-established list.",,->1975-04-01,->A.Ceska,->RBCM,->V156416,"->Sidney, Mrs. Woodward's Garden",->TL,,remaining,remaining
->,"saanich-> ",Limnanthaceae,Limnanthes macounii,Limnanthes macounii,"Victoria, Oak Bay, and Trial Island; first collected by J. R. Anderson in 1900; recently collected in Uplands Park by M. C. Melburn in 1961-68. Ranging as far north as Gabriola and Hornby. Many iNaturalist reports.",,->1890-05-01,->C.F. Newcombe,->RBCM,->V042223,->Victoria: Gonzales District,->TL,,remaining,remaining
->,saanich,Linaceae,Linum lewisii,Linum lewisii,KM View Royal: NW corner of Burnside Road and Watkiss Way intersection 2006.,,->2006-05-17,->K. Marr,->RBCM,->V198254,->View Royal: NW corner of Burnside Road and Watkiss Way intersection.,->TL,,remaining,remaining
->,saanich,Linaceae,Linum narbonense,Linum narbonense,"KM Langford: Highway 1 median, SE of Highlands exit (to Bear Mountain) 2007.",,->2007-07-29,->K. Marr,->RBCM,->V201494,"-> ",->TL,,remaining,remaining
->,saanich,Linaceae,Linum perenne,Linum perenne,"Open, grassy places, Oak Bay and Sidney; not collected recently. RTO Linum usitatissimum L. edge of parking lot Beacon Hill Park 1992.",,,,,,,"->Note: Collected by Frank Lomer (#5638 at UBC); originally ID'd L. lewisii.  Also seen Okanagan falls, thus Established in the Okanagan. Treated by some within L. lewisii (BCCDC 2014). Consider Deletion. TL ",,remaining,remaining
->,saanich,Linaceae,Linum usitatissimum,Linum usitatissimum,"RTO Beacon Hill Park, edge of parking barrier 1992.",not in FPNW2,->1992-04-28,->R.T. Ogilvie,->RBCM,->V158691,->Victoria: at edge of parking barrier.,->TL,,remaining,remaining
->,saanich,Lycopodiaceae,Lycopodium clavatum,Lycopodium clavatum,V.E.L. Goddard Horth Hill 1929. MD says present elsewhere on peninsula - no vouchers found.,,->1905-08-03,->C.H. Shaw,->MIN,->86862,"->Selkirk, near Goldstream",->Note: MIN = University of Minnesota TL,,remaining,remaining
,saanich,Lycopodiaceae,Spinulum annotinum,Spinulum annotinum,"Wet woods; rare; collected by V. E. L. Goddard in 1929 on Horth Hill, north end of Saanich Peninsula. Usually montain/subalpine on the coast.",,,,,,,,,remaining,remaining
->,saanich,Lythraceae,Lythrum salicaria,Lythrum salicaria,"TCB King's Pond 1980, Cedar Hill Golf Course 1980. Pat Bay Highway ditches 2020.",,->1980-08-13,->S. Charleson,->RBCM,->V145263,->Saanich: Cedar Hill Golf Course at end of Ascot Drive,->TL,,remaining,remaining
->,saanich,Malvaceae,Malva moschata,Malva moschata,Native of Europe; sparingly established in waste ground and along roads throughout.,,->1912-09-15,->W.M. Taylor,->UBC,->V45428,->Victoria,->TL,,remaining,remaining
->,saanich,Malvaceae,Malva neglecta,Malva neglecta,"Waste places; Marr Anacortes Ferry Terminal 2007, RTO Cordova Bay 2008.",,->1912-09-15,->W.M. Taylor,->UBC,->V63333,->Victoria,->TL,,remaining,remaining
->,saanich,Malvaceae,Malva parviflora,Malva parviflora,Native of Europe; occasional in waste places and roadsides; Victoria and Oak Bay. Eastham 1940.,,->1940-04-27,->J.W. Eastham,->UBC,->V25747,->Victoria,->TL,,remaining,remaining
->,saanich,Malvaceae,Malva sylvestris,Malva sylvestris,"Native of Europe; sporadic weed in the Victoria area. Marr Anacortes Ferry Terminal and several Victoria sites 2007,",,->2007-05-20,->K. Marr,->RBCM,->V197349,->Victoria: S side Trans Canada Highway,->TL,,remaining,remaining
->,saanich,Malvaceae,Sidalcea hendersonii,Sidalcea hendersonii,"Wet, grassy places; abundant in the past in Oak Bay and Sidney; occasional in areas adjacent to tideland.",,->1964-07-23,->J. Hett,->UBC,->V229758,->Trial Island,->TL,,remaining,remaining
->,saanich,Melanthiaceae,Toxicoscordion venenosum var. venenosum,Toxicoscordion venenosum venenosum,"Open, grassy places and rocky ledges throughout the area.",,->1939-06-11,->J.W. Eastham,->UBC,->V25567,"->Victoria, Mount Tolmie",->TL,,remaining,remaining
->,saanich,Melanthiaceae,Trillium ovatum,Trillium ovatum,"Damp woods, on soil rich in humus; common throughout in suitable habitat.",,->1900-04-12,->J.R. Anderson,->UBC,->V214530,->Saanich Arm,->Note: Consider adding Trillium ovatum  var.  hibbersonii or T. hibbersonii Hans Roemer Sydney Inlet TL,,remaining,remaining
->,saanich,Melanthiaceae,Veratrum viride,Veratrum viride,This subalpine species is restricted to the Goldstream area only.,,->1941-08-27,->T.M.C. Taylor,->UBC,->V81598,->Goldstream,->TL,,remaining,remaining
->,saanich,Menyanthaceae,Menyanthes trifoliata,Menyanthes trifoliata,"Bogs and lakes; occasional; Beaver and Swan Lakes, Goldstream, and the Highland district.",,->1970-05-03,->J. Kuijt,->LEA,->not on label,->Teanook Lake,->Note:  LEA = Herbarium University of Lethbridge TL,,remaining,remaining
->,saanich,Montiaceae,Calandrinia ciliata,Calandrinia ciliata,"Moist, gravelly soil; sporadic in Victoria, Oak Bay, Saanich, and Esquimalt;",,->1913-04-11,->W. Taylor,->UBC,->V34780,"->Victoria, Cadboro Bay",->TL,,remaining,remaining
->,saanich,Montiaceae,Claytonia exigua ssp. exigua,Claytonia exigua exigua,"Dry, sandy ground; occasional throughout.",,->1912-04-06,->J.K. Henry,->UBC,->V42747,->Victoria,->Note: This occurrence is C. exigua ssp. glauca. TL,,remaining,remaining
->,saanich,Montiaceae,Claytonia parviflora,Claytonia parviflora,Several collections for area including Harrison Mill Hill 1967.,,->1912-06-06,->J.K. Henry,->UBC,->V42746,->Victoria,->TL,,remaining,remaining
->,saanich,Montiaceae,Claytonia perfoliata,Claytonia perfoliata,"Open to shady, moist ground; extremely variable and common throughout. A number of segregates have been recognized, but there are no geographic races evident within the complex.",,->1912-05-01,->J. Davidson,->UBC,->V42730,->Victoria at Beacon Hill Park,->TL,,remaining,remaining
->,saanich,Montiaceae,Claytonia rubra,Claytonia rubra,Many collection throughout. Shoreline to exposed cliffs and mountain tops.,,->1938-04-09,->J.W. Eastham,->UBC,->V34952,->Victoria,->TL,,remaining,remaining
->,saanich,Montiaceae,Claytonia saxosa,Claytonia saxosa,Claytonia rubra ? No other records north of southern Oregon found.,not in FPNW2,,,,,,"->Note: ""From Abrams identified it as Montia saxosa. It is not in Hitchcock; nor in Pecks Higher Plants of Oregon. Neither is it listed in your Catologue of B.C. Plants (T.M.C. Taylor 1966). Can you shed any light on the problem?"" M.C. Melburn. DELETE TL",,remaining,remaining
->,saanich,Montiaceae,Claytonia sibirica,Claytonia sibirica,Moist woods and thickets; common throughout.,,->1907-06-01,->C.F. Newcombe,->MACF,->MACF031926,->Victoria,"->Note: MACF = MacFadden Herbarium, California State University Fullerton TL",,remaining,remaining
->,saanich,Montiaceae,Montia dichotoma,Montia dichotoma,Moist ground; sporadic and most common in the Lost Lake area.Summit of Mt Finlayson HJ 1983.,,->1974-04-14,->J. Pinder-Moss,->UBC,->V157754,->summit of Mount Finlayson,->TL,,remaining,remaining
->,saanich,Montiaceae,Montia fontana,Montia fontana,"Aquatic to terrestrial; Lost Lake, Prospect Lake, and Goldstream.",,->1912-05-02,->J. Davidson,->UBC,->V42727,->Victoria,->TL,,remaining,remaining
->,saanich,Montiaceae,Montia howellii,Montia howellii,"Moist, open places; sporadic; Uplands, Cadboro Bay, Island View Beach, and Thetis Lake Park.Very abundant in seepy meadows, Sidney Island HJ. GD reports this species regular on golf courses.",,->1939-04-24,->J.W. Eastham,->UBC,->V34807,"->Victoria, Ten Mile Point",->TL,,remaining,remaining
->,saanich,Montiaceae,Montia linearis,Montia linearis,Damp ground; very common throughout,,->1897-05,->J.K. Henry,->UBC,->V34845,->Victoria,->TL,,remaining,remaining
->,saanich,Montiaceae,Montia parvifolia->Montia parvifolia var. flagellaris,Montia parvifolia,"Mossy banks, wet rocks, and shady places; common throughout; our plants with broadly ovate leaves have been recognized as a distinct species M. flagellaris or as a infraspecific segregate of M. parvifolia.","recorded by HJ: Montia parvifolia var. flagellaris, syn. M.parvifolia in FPNW2",->1992-05-01,->G.W. Douglas,->RBCM,->V159715,->Saanich Peninsula; Mount Work,->Note: I changed M. parvifolia to M. parvifolia var. flagellaris. TL,,remaining,remaining
->,saanich,Myricaceae,Myrica gale,Myrica gale,Swamps; known from Durrance Lake and Rithet's Bog at Royal Oak.,,->1956-05-15,->J.A. Calder,->WTU,->173101,->Durrance Lake about 4 miles SW of Saanichton,->Note: WTU = University of Washington TL,,remaining,remaining
->,saanich,Nyctaginaceae,Abronia latifolia,Abronia latifolia,"Common on sandy beaches; abundant at the Esplanade, Oak Bay, Island View Beach, James Island and Sidney Spit; decreasing due to disturbance of its habitat.",,->1980-06-26,->R.T. Ogilvie,->RBCM,->V164117,->Metchosin; Witty's Lagoon,->TL,"HR, TL, AS",complete,remaining
->,saanich,Nymphaeaceae,Nuphar polysepala,Nuphar polysepala,Ponds and shallow lakes; common throughout.,,->1897-07-15,->J.R. Anderson,->RBCM,->V001835,->Beaver Lake,->Note: Synonym Nuphar lutea ssp. polysepala used. TL,,remaining,remaining
->,saanich,Nymphaeaceae,Nuphar variegata,Nuphar variegata,Ponds and shallow lakes; rare; collected by T. C. Brayshaw in 1969 at Swan Lake.,,->1969,->T.C Brayshaw,->FSP,->p. 55,->Swan Lake,->Note: FSP = Flora of the Saanich Peninsula A.F. Szczawinski and A.S. Harrison TL,,remaining,remaining
->,saanich,Nymphaeaceae,Nymphaea mexicana,Nymphaea mexicana,"Native of Mexico and Florida; shallow lakes; rare; known only from Elk Lake, where it was collected by T. C. Brayshaw in 1970. CDC update note 2019: BC material is probably from plantings only. Not established outside of cultivation.",not in FPNW2,->-,->-,->-,->-,->-,"->Delete? ""CDC update note 2019: BC material is probably from plantings only. Not established outside of cultivation. HJ"" TL",,remaining,remaining
->,saanich,Nymphaeaceae,Nymphaea odorata,Nymphaea odorata,"Native of eastern United States, shallow lakes; rare; known from Prospect Lake, where it was collected by A. F. Szczawinski in 1969. TCB Glen Lake 1989, Beaver Lake 1992.",,->1989-09-03,->T.C. Brayshaw,->RBCM,->V151695,"->
                        
                            

                                
                                    
    
Victoria; Glen Lake: east end of lake",->TL,,remaining,remaining
->,saanich,Oleaceae,Fraxinus latifolia,Fraxinus latifolia,"known at Victoria and Port Alberni; may not be native in either. Chytyk Tod Creek 1991, JP-MD Beaver Lake 2000, TCB several Victoria city collections. Fraxinus excelsior European ash is now established in BC in Uplands Park. Specimens at UBC and V.",,->1935-08-24,->I. McTaggart-Cowan,->RBCM,->V009615,->Victoria,->TL,,remaining,remaining
->,saanich,Oleaceae,Ligustrum vulgare,Ligustrum vulgare,"Harrison Deep Cove 1966, Brentwood 1967, Colquitz: end of Blueridge Road 1967, TCB Victoria: near S end of Cook Street 1989. Several iNaturalst reports throughout of plants outside of cultivation.",,->1930-07-04,->V. Goddard,->RBCM,->V023437,->Royal Oak: Haliburton Road,->TL,,remaining,remaining
->,saanich,Onagraceae,Camissonia contorta,Camissonia contorta,"Rare; known only from Saanichton Bay, where it was collected along the beach by G. V. Copley in 1926 and M. C. Melburn in 1959. MF recent confirmation of populations on Sidney Island, James Island and Island View Beach.",,->1941-05-29,->J.W. Eastman,->UBC,->V26476,->Saanich Spit,->TL,,remaining,remaining
->,saanich,Onagraceae,Chamaenerion angustifolium,Chamaenerion angustifolium,"Open areas, thickets, along roads and waste places; very common throughout; weedy species.",,->1978-10-08,->R. Clark,->UBC,->V165161,->Spectacle Lake,->TL,,remaining,remaining
->,saanich,Onagraceae,Circaea alpina ssp. pacifica,Circaea alpina pacifica,"Cool, damp woods; occasional throughout in suitable habitat.",,->1981-06-07,->A.&O. Ceska,->RBCM,->V162850,->?,->TL,,remaining,remaining
->,saanich,Onagraceae,Clarkia amoena,Clarkia amoena,"Dry, open ground; occasional throughout; abundant at Mount Douglas, Observatory Hill, West Saanich, and Thetis Lake Park.",,->1976-05-30,->A.&O. Ceska,->RBCM,->V183340,->Skirt Mountain,->TL,,remaining,remaining
->,saanich,Onagraceae,Clarkia quadrivulnera,Clarkia purpurea quadrivulnera,HLR Mill Hill 2014.,,->2003-06-08,->H.L. Roemer,->RBCM,->V192687,->Mill Hill,->TL,,remaining,remaining
->,saanich,Onagraceae,Epilobium brachycarpum,Epilobium brachycarpum,"Dry, open ground; occasional throughout.",,->1908-07-21,->J.M. Macoun,->F,->V02870F,"->Colquitz River, near Victoria",->Note: F = Field Museum of Natural History Chicago TL,,remaining,remaining
->,saanich,Onagraceae,Epilobium ciliatum,Epilobium ciliatum,"Very common throughout. Wet meadows, wet land edges.",,->1908-06-05,->J.M. Macoun,->F,->V0287266F,->Oak Bay,->Note: F =  Field Museum of Natural History Chicago TL,,remaining,remaining
->,saanich,Onagraceae,Epilobium densiflorum,Epilobium densiflorum,"Open meadows; sporadic; Royal Oak, Saanichton, Sidney, Thetis Lake Park, and Goldstream.",,->1919-07-14,->J. Davidson,->UBC,->V26117,"->Victoria, between Uplands and Mount Tolmie",->TL,,remaining,remaining
->,saanich,Onagraceae,Epilobium hallianum,Epilobium hallianum,"Changed to several new species leptocarpum, saximontanum, mirabile, hallianum. AC has hallianum Stuart Mt in Highlands 1994.",,->1994-05-19,->A.&O. Ceska,->RBCM,->V165379,->Beaver Lake,->TL,,remaining,remaining
->,saanich,Onagraceae,Epilobium hirsutum,Epilobium hirsutum,A&OC Wilkinson Road and West Burnside Road 1992.,,->1992-06-21,->A.&O. Ceska,->RBCM,->V176409,->Victoria: Wilkinson Road and West Burnside,->TL,,remaining,remaining
,saanich,Onagraceae,Epilobium hornemannii ssp. hornemannii,Epilobium hornemannii hornemannii,AC Elk-Beaver Lakes Regional Park; Beaver Lake; meadow 1994.,,,,,,,,,remaining,remaining
->,saanich,Onagraceae,Epilobium minutum,Epilobium minutum,"Dry, open ground; occasional; in Victoria and Thetis Lake Park area.",,->1977-05-07,->A.&O. Ceska,->RBCM,->V195347,->Rocky Point; Miles Hill,->TL,,remaining,remaining
->,saanich,Onagraceae,Epilobium obscurum,Epilobium obscurum,"FL Oak Bay, W Saanich Rd, View Royal 2009.",,->2008-07-16,->F. Lomer,->UBC,->V227510,->View Royal,->TL,,remaining,remaining
->,saanich,Onagraceae,Epilobium tetragonum,Epilobium tetragonum,"FL Oak Bay 2005, FL railroad tracks, View Royal 2008.",not in FPNW2,->2005-07-17,->F. Lomer,->UBC,->V233312,"->Oak Bay Marina, 1327 Beach Drive",->TL,,remaining,remaining
->,saanich,Onagraceae,Epilobium torreyi,Epilobium torreyi,"Known only from Thetis Lake Park, where it was collected by M. C. Melburn in 1959-67; most likely previously overlooked. MD Bazan Bay meadow 1966-2004. AC Thetis Lake 1977, MD Thetis Lake 2013,",,->1961-06-28,->M.C. Melburn,->UBC,->V95206,->Thetis Lake Park,"->Note: ""One population has not been observed since 1966 and the other has not been observed since 1993. Neither site has been visited regularly and either may have been extirpated as recently as 2000."" (COSEWIC) Worth checking with latest CDC info.  TL",,remaining,remaining
->,saanich,Onagraceae,Ludwigia palustris,Ludwigia palustris,Known only from the shore of Langford Lake; represented by var. americana (DC) Fern. & Griscom; collected by B. W. Davis & N. Chapman in 1965. Retzler langford lake 1980.,,->1970-08-17,->A.&O. Ceska,->RBCM,->V155265,->Begbie Lake: Goldstream watershed,->TL,,remaining,remaining
->,saanich,Onagraceae,Oenothera biennis,Oenothera biennis,"Open, sandy ground; sporadic; Victoria. Marr 2007 collections Ogden Point, View Royal, Sidney Ferry Terminal.",,->2007-10-15,->K. Marr,->RBCM,->V198058,->View Royal,->TL,,remaining,remaining
->,saanich,Onagraceae,Oenothera glazioviana,Oenothera glazioviana,"MCM West Saanich Road 1958, Marr Ogden Point parking lot beside Pilot House 2007.",,->1958-07-12,->M.C. Melburn,->RBCM,->V101203,->Saanich: West Saanich Road,->TL,,remaining,remaining
,saanich,Ophioglossaceae,Botrypus virginianus,Botrypus virginianus,"Woods and damp open places; rare; Cadboro Bay, Florence Lake, Esquimalt, and Goldstream areas.",,,,,,,,,remaining,remaining
->,saanich,Ophioglossaceae,Sceptridium multifidum,Sceptridium multifidum,Grasslands and open woods; occasional in suitable habitats; our only evergreen Botrychium.,,->32,->J. Kuijt,->UBC,->V96340,->Teanook Lake,->TL,,remaining,remaining
->,saanich,Orchidaceae,Cephalanthera austiniae,Cephalanthera austiniae,"Restricted locations Deep Cove HLR, Horth Hill, Colwood, Brentwood Bay.",,->1986-06-15,->T.C. Brayshaw,->RBCM,->V166503,"->Brentwood Bay, West Saanich Road",->TL,,remaining,remaining
->,saanich,Orchidaceae,Calypso bulbosa var. occidentalis->Calypso bulbosa var. occdentalis,Calypso bulbosa occidentalis,"Cool, moist coniferous forest throughout.",,->1900-04-21,->J.R. Anderson,->RBCM,->V177686,->Victoria; Craigflower Creek (=Deadman's River),->TL,,remaining->,remaining->
->,saanich,Orchidaceae,Corallorhiza maculata var. occidentalis,Corallorhiza maculata occidentalis,Moist or dry coniferous forest throughout.,,->2016-04-19,->I. Cruikshank,->iNaturalist,->45216164,->Victoria,->TL,,remaining,remaining
