"report_group","classification_rank","classification_value","friendly_name","display_label"
"BIRDS","family","Laridae","gulls, terns, and skimmers","gulls, terns, and skimmers (Laridae)"
"BIRDS","family","Mimidae","mockingbirds and thrashers","mockingbirds and thrashers (Mimidae)"
"BIRDS","family","Motacillidae","wagtails and pipits","wagtails and pipits (Motacillidae)"
"BIRDS","family","Odontophoridae","New World quail","New World quail (Odontophoridae)"
"BIRDS","family","Pandionidae","ospreys","ospreys (Pandionidae)"
"BIRDS","family","Paridae","chickadees and tits","chickadees and tits (Paridae)"
"BIRDS","family","Parulidae","New World warblers","New World warblers (Parulidae)"
"BIRDS","family","Passerellidae","New World sparrows","New World sparrows (Passerellidae)"
"BIRDS","family","Passeridae","Old World sparrows","Old World sparrows (Passeridae)"
"BIRDS","family","Pelecanidae","pelicans","pelicans (Pelecanidae)"
"BIRDS","family","Phalacrocoracidae","cormorants and shags","cormorants and shags (Phalacrocoracidae)"
"BIRDS","family","Phasianidae","pheasants, grouse, and allies","pheasants, grouse, and allies (Phasianidae)"
"BIRDS","family","Picidae","woodpeckers","woodpeckers (Picidae)"
"BIRDS","family","Podicipedidae","grebes","grebes (Podicipedidae)"
"BIRDS","family","Polioptilidae","gnatcatchers","gnatcatchers (Polioptilidae)"
"BIRDS","family","Procellariidae","shearwaters and petrels","shearwaters and petrels (Procellariidae)"
"BIRDS","family","Rallidae","rails, gallinules, and coots","rails, gallinules, and coots (Rallidae)"
"BIRDS","family","Recurvirostridae","stilts and avocets","stilts and avocets (Recurvirostridae)"
"BIRDS","family","Regulidae","kinglets","kinglets (Regulidae)"
"BIRDS","family","Scolopacidae","sandpipers and allies","sandpipers and allies (Scolopacidae)"
"BIRDS","family","Sittidae","nuthatches","nuthatches (Sittidae)"
"BIRDS","family","Stercorariidae","skuas and jaegers","skuas and jaegers (Stercorariidae)"
"BIRDS","family","Strigidae","typical owls","typical owls (Strigidae)"
"BIRDS","family","Sturnidae","starlings","starlings (Sturnidae)"
"BIRDS","family","Threskiornithidae","ibises and spoonbills","ibises and spoonbills (Threskiornithidae)"
"BIRDS","family","Trochilidae","hummingbirds","hummingbirds (Trochilidae)"
"BIRDS","family","Troglodytidae","wrens","wrens (Troglodytidae)"
"BIRDS","family","Turdidae","thrushes","thrushes (Turdidae)"
"BIRDS","family","Tyrannidae","tyrant flycatchers","tyrant flycatchers (Tyrannidae)"
"BIRDS","family","Tytonidae","barn owls","barn owls (Tytonidae)"
"BIRDS","family","Vireonidae","vireos","vireos (Vireonidae)"
"LICHENS","family","Acarosporaceae","","Acarosporaceae"
"LICHENS","family","Arthoniaceae","","Arthoniaceae"
"LICHENS","family","Arthrorhaphidaceae","","Arthrorhaphidaceae"
"LICHENS","family","Baeomycetaceae","","Baeomycetaceae"
"LICHENS","family","Caliciaceae","","Caliciaceae"
"LICHENS","family","Candelariaceae","","Candelariaceae"
"LICHENS","family","Cladoniaceae","","Cladoniaceae"
"LICHENS","family","Collemataceae","","Collemataceae"
"LICHENS","family","Coniocybaceae","","Coniocybaceae"
"LICHENS","family","Gomphillaceae","","Gomphillaceae"
"LICHENS","family","Graphidaceae","","Graphidaceae"
"LICHENS","family","Hydnaceae","","Hydnaceae"
"LICHENS","family","Hygrophoraceae","","Hygrophoraceae"
"LICHENS","family","Hymeneliaceae","","Hymeneliaceae"
"LICHENS","family","Icmadophilaceae","","Icmadophilaceae"
"LICHENS","family","Koerberiaceae","","Koerberiaceae"
"LICHENS","family","Lecanoraceae","","Lecanoraceae"
"LICHENS","family","Lecideaceae","","Lecideaceae"
"LICHENS","family","Lobariaceae","","Lobariaceae"
"LICHENS","family","Lopadiaceae","","Lopadiaceae"
"LICHENS","family","Massalongiaceae","","Massalongiaceae"
"LICHENS","family","Megasporaceae","","Megasporaceae"
"LICHENS","family","Microthyriaceae","","Microthyriaceae"
"LICHENS","family","Mycosphaerellaceae","","Mycosphaerellaceae"
"LICHENS","family","Mytilinidiaceae","","Mytilinidiaceae"
"LICHENS","family","Nephromataceae","","Nephromataceae"
"LICHENS","family","Ochrolechiaceae","","Ochrolechiaceae"
"LICHENS","family","Pannariaceae","","Pannariaceae"
"LICHENS","family","Parmeliaceae","","Parmeliaceae"
"LICHENS","family","Peltigeraceae","","Peltigeraceae"
"LICHENS","family","Pertusariaceae","","Pertusariaceae"
"LICHENS","family","Phlyctidaceae","","Phlyctidaceae"
"LICHENS","family","Physciaceae","","Physciaceae"
"LICHENS","family","Porinaceae","","Porinaceae"
"LICHENS","family","Ramalinaceae","","Ramalinaceae"
"LICHENS","family","Rhizocarpaceae","","Rhizocarpaceae"
"LICHENS","family","Schaereriaceae","","Schaereriaceae"
"LICHENS","family","Scoliciosporaceae","","Scoliciosporaceae"
"LICHENS","family","Sphaerophoraceae","","Sphaerophoraceae"
"LICHENS","family","Sphinctrinaceae","","Sphinctrinaceae"
"LICHENS","family","Stereocaulaceae","","Stereocaulaceae"
"LICHENS","family","Teloschistaceae","","Teloschistaceae"
"LICHENS","family","Tephromelataceae","","Tephromelataceae"
"LICHENS","family","Trapeliaceae","","Trapeliaceae"
"LICHENS","family","Umbilicariaceae","","Umbilicariaceae"
"LICHENS","family","Vahliellaceae","","Vahliellaceae"
"LICHENS","family","Verrucariaceae","","Verrucariaceae"
"MACROFUNGI","family","Agaricaceae","","Agaricaceae"
"MACROFUNGI","family","Albatrellaceae","","Albatrellaceae"
"MACROFUNGI","family","Amanitaceae","","Amanitaceae"
"MACROFUNGI","family","Amylocorticiaceae","","Amylocorticiaceae"
"MACROFUNGI","family","Amylostereaceae","","Amylostereaceae"
"MACROFUNGI","family","Anthracoideaceae","","Anthracoideaceae"
"MACROFUNGI","family","Arthrobotryaceae","","Arthrobotryaceae"
"MACROFUNGI","family","Ascodesmidaceae","","Ascodesmidaceae"
"MACROFUNGI","family","Auriculariaceae","","Auriculariaceae"
"MACROFUNGI","family","Auriscalpiaceae","","Auriscalpiaceae"
"MACROFUNGI","family","Bankeraceae","","Bankeraceae"
"MACROFUNGI","family","Bertiaceae","","Bertiaceae"
"MACROFUNGI","family","Bolbitiaceae","","Bolbitiaceae"
"MACROFUNGI","family","Boletaceae","","Boletaceae"
"MACROFUNGI","family","Boletopsidaceae","","Boletopsidaceae"
"MACROFUNGI","family","Bondarzewiaceae","","Bondarzewiaceae"
"MACROFUNGI","family","Callistosporiaceae","","Callistosporiaceae"
"MACROFUNGI","family","Caloscyphaceae","","Caloscyphaceae"
"MACROFUNGI","family","Campanellaceae","","Campanellaceae"
"MACROFUNGI","family","Cerrenaceae","","Cerrenaceae"
"MACROFUNGI","family","Chaetomiaceae","","Chaetomiaceae"
"MACROFUNGI","family","Chionosphaeraceae","","Chionosphaeraceae"
"MACROFUNGI","family","Chlorociboriaceae","","Chlorociboriaceae"
"MACROFUNGI","family","Clavariaceae","","Clavariaceae"
"MACROFUNGI","family","Clitocybaceae","","Clitocybaceae"
"MACROFUNGI","family","Colacogloeaceae","","Colacogloeaceae"
"MACROFUNGI","family","Coleosporiaceae","","Coleosporiaceae"
"MACROFUNGI","family","Coltriciaceae","","Coltriciaceae"
"MACROFUNGI","family","Coniophoraceae","","Coniophoraceae"
"MACROFUNGI","family","Coprinaceae","","Coprinaceae"
"MACROFUNGI","family","Cordycipitaceae","","Cordycipitaceae"
"MACROFUNGI","family","Cortinariaceae","","Cortinariaceae"
"MACROFUNGI","family","Crepidotaceae","","Crepidotaceae"
"MACROFUNGI","family","Cudoniaceae","","Cudoniaceae"
"MACROFUNGI","family","Cyphellaceae","","Cyphellaceae"
"MACROFUNGI","family","Dacrymycetaceae","","Dacrymycetaceae"
"MACROFUNGI","family","Dictyosporiaceae","","Dictyosporiaceae"
"MACROFUNGI","family","Didymosphaeriaceae","","Didymosphaeriaceae"
"MACROFUNGI","family","Discinaceae","","Discinaceae"
"MACROFUNGI","family","Echinodontiaceae","","Echinodontiaceae"
"MACROFUNGI","family","Elaphomycetaceae","","Elaphomycetaceae"
"MACROFUNGI","family","Entolomataceae","","Entolomataceae"
"MACROFUNGI","family","Erysiphaceae","","Erysiphaceae"
"MACROFUNGI","family","Exobasidiaceae","","Exobasidiaceae"
"MACROFUNGI","family","Fomitopsidaceae","","Fomitopsidaceae"
"MACROFUNGI","family","Geastraceae","","Geastraceae"
"MACROFUNGI","family","Gelatinodiscaceae","","Gelatinodiscaceae"
"MACROFUNGI","family","Geoglossaceae","","Geoglossaceae"
"MACROFUNGI","family","Gloeophyllaceae","","Gloeophyllaceae"
"MACROFUNGI","family","Gomphaceae","","Gomphaceae"
"MACROFUNGI","family","Gomphidiaceae","","Gomphidiaceae"
"MACROFUNGI","family","Halosphaeriaceae","","Halosphaeriaceae"
"MACROFUNGI","family","Harpidiaceae","","Harpidiaceae"
"MACROFUNGI","family","Helminthosphaeriaceae","","Helminthosphaeriaceae"
"MACROFUNGI","family","Helotiaceae","","Helotiaceae"
"MACROFUNGI","family","Helvellaceae","","Helvellaceae"
"MACROFUNGI","family","Hericiaceae","","Hericiaceae"
"MACROFUNGI","family","Hyalopsoraceae","","Hyalopsoraceae"
"MACROFUNGI","family","Hyaloriaceae","","Hyaloriaceae"
"MACROFUNGI","family","Hydnaceae","","Hydnaceae"
"MACROFUNGI","family","Hydnangiaceae","","Hydnangiaceae"
"MACROFUNGI","family","Hygrophoraceae","","Hygrophoraceae"
"MACROFUNGI","family","Hygrophoropsidaceae","","Hygrophoropsidaceae"
"MACROFUNGI","family","Hymenochaetaceae","","Hymenochaetaceae"
"MACROFUNGI","family","Hymenogastraceae","","Hymenogastraceae"
"MACROFUNGI","family","Hypocreaceae","","Hypocreaceae"
"MACROFUNGI","family","Hypoxylaceae","","Hypoxylaceae"
"MACROFUNGI","family","Inocybaceae","","Inocybaceae"
"MACROFUNGI","family","Irpicaceae","","Irpicaceae"
"MACROFUNGI","family","Lachnaceae","","Lachnaceae"
"MACROFUNGI","family","Laetiporaceae","","Laetiporaceae"
"MACROFUNGI","family","Laricifomitaceae","","Laricifomitaceae"
"MACROFUNGI","family","Lycoperdaceae","","Lycoperdaceae"
"MACROFUNGI","family","Lyophyllaceae","","Lyophyllaceae"
"MACROFUNGI","family","Macrocystidiaceae","","Macrocystidiaceae"
"MACROFUNGI","family","Marasmiaceae","","Marasmiaceae"
"MACROFUNGI","family","Melanoleucaceae","","Melanoleucaceae"
"MACROFUNGI","family","Meruliaceae","","Meruliaceae"
"MACROFUNGI","family","Milesinaceae","","Milesinaceae"
"MACROFUNGI","family","Mitrulaceae","","Mitrulaceae"
"MACROFUNGI","family","Morchellaceae","","Morchellaceae"
"MACROFUNGI","family","Mycenaceae","","Mycenaceae"
"MACROFUNGI","family","Mythicomycetaceae","","Mythicomycetaceae"
"MACROFUNGI","family","Naemateliaceae","","Naemateliaceae"
"MACROFUNGI","family","Naohideaceae","","Naohideaceae"
"MACROFUNGI","family","Nectriaceae","","Nectriaceae"
"MACROFUNGI","family","Nidulariaceae","","Nidulariaceae"
"MACROFUNGI","family","Omphalinaceae","","Omphalinaceae"
"MACROFUNGI","family","Omphalotaceae","","Omphalotaceae"
"MACROFUNGI","family","Ophiocordycipitaceae","","Ophiocordycipitaceae"
"MACROFUNGI","family","Panaceae","","Panaceae"
"MACROFUNGI","family","Paxillaceae","","Paxillaceae"
"MACROFUNGI","family","Peniophoraceae","","Peniophoraceae"
"MACROFUNGI","family","Pezizaceae","","Pezizaceae"
"MACROFUNGI","family","Pezizellaceae","","Pezizellaceae"
"MACROFUNGI","family","Phaeolaceae","","Phaeolaceae"
"MACROFUNGI","family","Phaeosphaeriaceae","","Phaeosphaeriaceae"
"MACROFUNGI","family","Phaeotremellaceae","","Phaeotremellaceae"
"MACROFUNGI","family","Phallaceae","","Phallaceae"
"MACROFUNGI","family","Phanerochaetaceae","","Phanerochaetaceae"
"MACROFUNGI","family","Phleogenaceae","","Phleogenaceae"
"MACROFUNGI","family","Phragmidiaceae","","Phragmidiaceae"
"MACROFUNGI","family","Phycomycetaceae","","Phycomycetaceae"
"MACROFUNGI","family","Phyllachoraceae","","Phyllachoraceae"
"MACROFUNGI","family","Phyllotopsidaceae","","Phyllotopsidaceae"
"MACROFUNGI","family","Physalacriaceae","","Physalacriaceae"
"MACROFUNGI","family","Pleurotaceae","","Pleurotaceae"
"MACROFUNGI","family","Pluteaceae","","Pluteaceae"
"MACROFUNGI","family","Podoscyphaceae","","Podoscyphaceae"
"MACROFUNGI","family","Polyozellaceae","","Polyozellaceae"
"MACROFUNGI","family","Polyporaceae","","Polyporaceae"
"MACROFUNGI","family","Porotheleaceae","","Porotheleaceae"
"MACROFUNGI","family","Postiaceae","","Postiaceae"
"MACROFUNGI","family","Psathyrellaceae","","Psathyrellaceae"
"MACROFUNGI","family","Pucciniaceae","","Pucciniaceae"
"MACROFUNGI","family","Pucciniastraceae","","Pucciniastraceae"
"MACROFUNGI","family","Pycnoporellaceae","","Pycnoporellaceae"
"MACROFUNGI","family","Pyronemataceae","","Pyronemataceae"
"MACROFUNGI","family","Rhytismataceae","","Rhytismataceae"
"MACROFUNGI","family","Rickenellaceae","","Rickenellaceae"
"MACROFUNGI","family","Rigidoporaceae","","Rigidoporaceae"
"MACROFUNGI","family","Russulaceae","","Russulaceae"
"MACROFUNGI","family","Sarcomyxaceae","","Sarcomyxaceae"
"MACROFUNGI","family","Sarcoscyphaceae","","Sarcoscyphaceae"
"MACROFUNGI","family","Sarcosomataceae","","Sarcosomataceae"
"MACROFUNGI","family","Schizophyllaceae","","Schizophyllaceae"
"MACROFUNGI","family","Sclerodermataceae","","Sclerodermataceae"
"MACROFUNGI","family","Sclerotiniaceae","","Sclerotiniaceae"
"MACROFUNGI","family","Sparassidaceae","","Sparassidaceae"
"MACROFUNGI","family","Sporormiaceae","","Sporormiaceae"
"MACROFUNGI","family","Squamanitaceae","","Squamanitaceae"
"MACROFUNGI","family","Steccherinaceae","","Steccherinaceae"
"MACROFUNGI","family","Stereaceae","","Stereaceae"
"MACROFUNGI","family","Stictidaceae","","Stictidaceae"
"MACROFUNGI","family","Strophariaceae","","Strophariaceae"
"MACROFUNGI","family","Suillaceae","","Suillaceae"
"MACROFUNGI","family","Tapinellaceae","","Tapinellaceae"
"MACROFUNGI","family","Tarzettaceae","","Tarzettaceae"
"MACROFUNGI","family","Thelephoraceae","","Thelephoraceae"
"MACROFUNGI","family","Tilachlidiaceae","","Tilachlidiaceae"
"MACROFUNGI","family","Tremellaceae","","Tremellaceae"
"MACROFUNGI","family","Tremellodendropsidaceae","","Tremellodendropsidaceae"
"MACROFUNGI","family","Tricholomataceae","","Tricholomataceae"
"MACROFUNGI","family","Tricladiaceae","","Tricladiaceae"
"MACROFUNGI","family","Tubariaceae","","Tubariaceae"
"MACROFUNGI","family","Tubulicrinaceae","","Tubulicrinaceae"
"MACROFUNGI","family","Tulasnellaceae","","Tulasnellaceae"
"MACROFUNGI","family","Verrucosporaceae","","Verrucosporaceae"
"MACROFUNGI","family","Vibrisseaceae","","Vibrisseaceae"
"MACROFUNGI","family","Volvariellaceae","","Volvariellaceae"
"MACROFUNGI","family","Xanthopyreniaceae","","Xanthopyreniaceae"
"MACROFUNGI","family","Xeromphalinaceae","","Xeromphalinaceae"
"MACROFUNGI","family","Xylariaceae","","Xylariaceae"
"MACROFUNGI","family","Zythiaceae","","Zythiaceae"
"MARINE ALGAE","phylum","Chlorophyta","green algae","green algae (Chlorophyta)"
"MARINE ALGAE","phylum","Ochrophyta","brown algae","brown algae (Ochrophyta)"
"MARINE ALGAE","phylum","Rhodophyta","red algae","red algae (Rhodophyta)"
"MARINE ANIMALS","phylum","Annelida","segmented worms","segmented worms (Annelida)"
"MARINE ANIMALS","phylum","Arthropoda","arthropods","arthropods (Arthropoda)"
"MARINE ANIMALS","phylum","Brachiopoda","lamp shells","lamp shells (Brachiopoda)"
"MARINE ANIMALS","phylum","Bryozoa","moss animals","moss animals (Bryozoa)"
"MARINE ANIMALS","phylum","Chaetognatha","arrow worms","arrow worms (Chaetognatha)"
"MARINE ANIMALS","phylum","Chordata","chordates","chordates (Chordata)"
"MARINE ANIMALS","phylum","Cnidaria","cnidarians","cnidarians (Cnidaria)"
"MARINE ANIMALS","phylum","Ctenophora","comb jellies","comb jellies (Ctenophora)"
"MARINE ANIMALS","phylum","Echinodermata","echinoderms","echinoderms (Echinodermata)"
"MARINE ANIMALS","phylum","Entoprocta","goblet worms","goblet worms (Entoprocta)"
"MARINE ANIMALS","phylum","Mollusca","molluscs","molluscs (Mollusca)"
"MARINE ANIMALS","phylum","Nemertea","ribbon worms","ribbon worms (Nemertea)"
"MARINE ANIMALS","phylum","Nemertera","ribbon worms","ribbon worms (Nemertera)"
"MARINE ANIMALS","phylum","Phoronida","horseshoe worms","horseshoe worms (Phoronida)"
"MARINE ANIMALS","phylum","Platyhelminthes","flatworms","flatworms (Platyhelminthes)"
"MARINE ANIMALS","phylum","Porifera","sponges","sponges (Porifera)"
"MARINE ANIMALS","phylum","Rotifera","rotifers","rotifers (Rotifera)"
"MARINE ANIMALS","phylum","Sipuncula","peanut worms","peanut worms (Sipuncula)"
"NON-VASCULAR PLANTS","family","Adelanthaceae","","Adelanthaceae"
"NON-VASCULAR PLANTS","family","Amblystegiaceae","","Amblystegiaceae"
"NON-VASCULAR PLANTS","family","Amphidiaceae","","Amphidiaceae"
"NON-VASCULAR PLANTS","family","Anastrophyllaceae","","Anastrophyllaceae"
"NON-VASCULAR PLANTS","family","Andreaeaceae","","Andreaeaceae"
"NON-VASCULAR PLANTS","family","Aneuraceae","","Aneuraceae"
"NON-VASCULAR PLANTS","family","Antheliaceae","","Antheliaceae"
"NON-VASCULAR PLANTS","family","Anthocerotaceae","","Anthocerotaceae"
"NON-VASCULAR PLANTS","family","Antitrichiaceae","","Antitrichiaceae"
"NON-VASCULAR PLANTS","family","Aongstroemiaceae","","Aongstroemiaceae"
"NON-VASCULAR PLANTS","family","Aulacomniaceae","","Aulacomniaceae"
"NON-VASCULAR PLANTS","family","Aytoniaceae","","Aytoniaceae"
"NON-VASCULAR PLANTS","family","Bartramiaceae","","Bartramiaceae"
"NON-VASCULAR PLANTS","family","Blasiaceae","","Blasiaceae"
"NON-VASCULAR PLANTS","family","Blepharostomataceae","","Blepharostomataceae"
"NON-VASCULAR PLANTS","family","Brachytheciaceae","","Brachytheciaceae"
"NON-VASCULAR PLANTS","family","Bruchiaceae","","Bruchiaceae"
"NON-VASCULAR PLANTS","family","Bryaceae","","Bryaceae"
"NON-VASCULAR PLANTS","family","Buxbaumiaceae","","Buxbaumiaceae"
"NON-VASCULAR PLANTS","family","Calliergonaceae","","Calliergonaceae"
"NON-VASCULAR PLANTS","family","Calypogeiaceae","","Calypogeiaceae"
"NON-VASCULAR PLANTS","family","Cephaloziaceae","","Cephaloziaceae"
"NON-VASCULAR PLANTS","family","Cephaloziellaceae","","Cephaloziellaceae"
"NON-VASCULAR PLANTS","family","Climaciaceae","","Climaciaceae"
"NON-VASCULAR PLANTS","family","Conocephalaceae","","Conocephalaceae"
"NON-VASCULAR PLANTS","family","Dicranaceae","","Dicranaceae"
"NON-VASCULAR PLANTS","family","Dicranellaceae","","Dicranellaceae"
"NON-VASCULAR PLANTS","family","Diphysciaceae","","Diphysciaceae"
"NON-VASCULAR PLANTS","family","Distichiaceae","","Distichiaceae"
"NON-VASCULAR PLANTS","family","Ditrichaceae","","Ditrichaceae"
"NON-VASCULAR PLANTS","family","Encalyptaceae","","Encalyptaceae"
"NON-VASCULAR PLANTS","family","Fissidentaceae","","Fissidentaceae"
"NON-VASCULAR PLANTS","family","Flexitrichaceae","","Flexitrichaceae"
"NON-VASCULAR PLANTS","family","Fontinalaceae","","Fontinalaceae"
"NON-VASCULAR PLANTS","family","Frullaniaceae","","Frullaniaceae"
"NON-VASCULAR PLANTS","family","Funariaceae","","Funariaceae"
"NON-VASCULAR PLANTS","family","Geocalycaceae","","Geocalycaceae"
"NON-VASCULAR PLANTS","family","Grimmiaceae","","Grimmiaceae"
"NON-VASCULAR PLANTS","family","Gymnomitriaceae","","Gymnomitriaceae"
"NON-VASCULAR PLANTS","family","Gyrothyraceae","","Gyrothyraceae"
"NON-VASCULAR PLANTS","family","Harpanthaceae","","Harpanthaceae"
"NON-VASCULAR PLANTS","family","Hedwigiaceae","","Hedwigiaceae"
"NON-VASCULAR PLANTS","family","Herbertaceae","","Herbertaceae"
"NON-VASCULAR PLANTS","family","Heterocladiellaceae","","Heterocladiellaceae"
"NON-VASCULAR PLANTS","family","Hookeriaceae","","Hookeriaceae"
"NON-VASCULAR PLANTS","family","Hygrobiellaceae","","Hygrobiellaceae"
"NON-VASCULAR PLANTS","family","Hylocomiaceae","","Hylocomiaceae"
"NON-VASCULAR PLANTS","family","Hymenolomataceae","","Hymenolomataceae"
"NON-VASCULAR PLANTS","family","Hypnaceae","","Hypnaceae"
"NON-VASCULAR PLANTS","family","Jungermanniaceae","","Jungermanniaceae"
"NON-VASCULAR PLANTS","family","Lembophyllaceae","","Lembophyllaceae"
"NON-VASCULAR PLANTS","family","Lepidoziaceae","","Lepidoziaceae"
"NON-VASCULAR PLANTS","family","Leskeaceae","","Leskeaceae"
"NON-VASCULAR PLANTS","family","Leucobryaceae","","Leucobryaceae"
"NON-VASCULAR PLANTS","family","Leucodontaceae","","Leucodontaceae"
"NON-VASCULAR PLANTS","family","Lophocoleaceae","","Lophocoleaceae"
"NON-VASCULAR PLANTS","family","Lophoziaceae","","Lophoziaceae"
"NON-VASCULAR PLANTS","family","Lunulariaceae","","Lunulariaceae"
"NON-VASCULAR PLANTS","family","Marchantiaceae","","Marchantiaceae"
"NON-VASCULAR PLANTS","family","Meesiaceae","","Meesiaceae"
"NON-VASCULAR PLANTS","family","Metzgeriaceae","","Metzgeriaceae"
"NON-VASCULAR PLANTS","family","Mniaceae","","Mniaceae"
"NON-VASCULAR PLANTS","family","Moerckiaceae","","Moerckiaceae"
"NON-VASCULAR PLANTS","family","Myliaceae","","Myliaceae"
"NON-VASCULAR PLANTS","family","Neckeraceae","","Neckeraceae"
"NON-VASCULAR PLANTS","family","Orthotrichaceae","","Orthotrichaceae"
"NON-VASCULAR PLANTS","family","Pelliaceae","","Pelliaceae"
"NON-VASCULAR PLANTS","family","Plagiochilaceae","","Plagiochilaceae"
"NON-VASCULAR PLANTS","family","Plagiotheciaceae","","Plagiotheciaceae"
"NON-VASCULAR PLANTS","family","Polytrichaceae","","Polytrichaceae"
"NON-VASCULAR PLANTS","family","Porellaceae","","Porellaceae"
"NON-VASCULAR PLANTS","family","Pottiaceae","","Pottiaceae"
"NON-VASCULAR PLANTS","family","Pseudoleskeaceae","","Pseudoleskeaceae"
"NON-VASCULAR PLANTS","family","Pseudoleskeellaceae","","Pseudoleskeellaceae"
"NON-VASCULAR PLANTS","family","Pterigynandraceae","","Pterigynandraceae"
"NON-VASCULAR PLANTS","family","Ptilidiaceae","","Ptilidiaceae"
"NON-VASCULAR PLANTS","family","Ptychomitriaceae","","Ptychomitriaceae"
"NON-VASCULAR PLANTS","family","Pylaisiaceae","","Pylaisiaceae"
"NON-VASCULAR PLANTS","family","Radulaceae","","Radulaceae"
"NON-VASCULAR PLANTS","family","Rhabdoweisiaceae","","Rhabdoweisiaceae"
"NON-VASCULAR PLANTS","family","Ruficaulaceae","","Ruficaulaceae"
"NON-VASCULAR PLANTS","family","Scapaniaceae","","Scapaniaceae"
"NON-VASCULAR PLANTS","family","Schistostegaceae","","Schistostegaceae"
"NON-VASCULAR PLANTS","family","Scorpidiaceae","","Scorpidiaceae"
"NON-VASCULAR PLANTS","family","Scouleriaceae","","Scouleriaceae"
"NON-VASCULAR PLANTS","family","Seligeriaceae","","Seligeriaceae"
"NON-VASCULAR PLANTS","family","Sematophyllaceae","","Sematophyllaceae"
"NON-VASCULAR PLANTS","family","Solenostomataceae","","Solenostomataceae"
"NON-VASCULAR PLANTS","family","Sphagnaceae","","Sphagnaceae"
"NON-VASCULAR PLANTS","family","Splachnaceae","","Splachnaceae"
"NON-VASCULAR PLANTS","family","Stereodontaceae","","Stereodontaceae"
"NON-VASCULAR PLANTS","family","Tetraphidaceae","","Tetraphidaceae"
"NON-VASCULAR PLANTS","family","Timmiaceae","","Timmiaceae"
"REPTILES","order","Squamata","lizards and snakes","lizards and snakes (Squamata)"
"REPTILES","order","Testudines","turtles","turtles (Testudines)"
"SLIME MOLDS","family","Amaurochaetaceae","sooty slime molds","sooty slime molds (Amaurochaetaceae)"
"SLIME MOLDS","family","Arcyriaceae","netted slime molds","netted slime molds (Arcyriaceae)"
"SLIME MOLDS","family","Ceratiomyxaceae","coral slime molds","coral slime molds (Ceratiomyxaceae)"
"SLIME MOLDS","family","Cribrariaceae","basket slime molds","basket slime molds (Cribrariaceae)"
"SLIME MOLDS","family","Dianemataceae","slime molds","slime molds (Dianemataceae)"
"SLIME MOLDS","family","Didymiaceae","lime-capped slime molds","lime-capped slime molds (Didymiaceae)"
"SLIME MOLDS","family","Hemitrichiaceae","golden slime molds","golden slime molds (Hemitrichiaceae)"
"SLIME MOLDS","family","Physaraceae","bubble slime molds","bubble slime molds (Physaraceae)"
"SLIME MOLDS","family","Reticulariaceae","net slime molds","net slime molds (Reticulariaceae)"
"SLIME MOLDS","family","Stemonitidaceae","thread slime molds","thread slime molds (Stemonitidaceae)"
