"scientificName","records","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Hieracium atratum","no","Fr.","","polar hawkweed","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Cichorioideae","","Hieracium","Hieracium atratum","","","","exotic","unlisted",,"1989-06-01","Frank Lomer","UBC","V200111",,"","","","",,,"reported","unobserved","not in iNaturalist, FNA, but H. pseudoatratum is 897001; is in I.T.I.S.; UBC: near #99 at Horseshoe Bay",1248466,"VAS"
"Arabidopsis lyrata ssp. kamchatica","no","(L.) O'Kane & Al-Shehbaz","(Fisch. ex DC.) O'Kane & Al-Shehbaz","lyreleaf rockcress","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Brassicales","",,"Brassicaceae","","","Arabidopsis","Arabidopsis lyrata","","kamchatica","","native","S4 (2001",,"1914-08-05","John Davidson","UBC","V12369",,"","","","",,,"reported","unobserved","UBC: Arabidopsis kamchatica",333497,"VAS"
"Erysimum sp.","no","L.","","wallflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Brassicales","",,"Brassicaceae","","","Erysimum","Erysimum ","","","","exotic","",,"","","","",,"2021-05-18","elsemikkelsen","iNaturalist","https://www.inaturalist.org/observations/79700513",,,"new 2021","observed","",50630,"VAS"
"Silene menziesii","no","Hook.","","Menzies' catchfly","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Caryophyllales","",,"Caryophyllaceae","Caryophylloideae","","Silene","Silene menziesii","","","","native","S5 (2019)",,"1928-06-03","","RBCM","V038481",,"","","","",,,"reported","unobserved","RBCM:  West Vancouver",79111,"VAS"
"Spergularia marina","no","J. & K. Presl","","salt marsh sand-spurry","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Caryophyllales","",,"Caryophyllaceae","","","Spergularia","Spergularia marina","","","","exotic","SNA (2019)",,"1940-09-05","","RBCM","V013435",,"","","","",,,"reported","unobserved","RBCM:  West Vancouver; original record S. salina",79169,"VAS"
"Stellaria graminea","no","L.","","lesser stitchwort","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Caryophyllales","",,"Caryophyllaceae","Alsinoideae","","Stellaria","Stellaria graminea","","","","exotic","SNA (2019)",,"","","","",,"2016-05-21","Judith Holm","iNaturalist","http://www.inaturalist.org/observations/4503706",,,"new 2016","observed","iNat: needs i.d.",61948,"VAS"
"Euonymus alatus","no","(Thunb.) Siebold","","winged euonymus","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Celastrales","",,"Celastraceae","","","Euonymus","Euonymus alatus","","","","unlisted","unlisted",,"","","","",,"2021-05-08","roslynmohr","iNaturalist","https://www.inaturalist.org/observations/78768402",,,"new 2021","observed","",117433,"VAS"
"Aucuba sp.","no","Thunb.","","acuba","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Garryales","",,"Garryaceae","","","Aucuba","Aucuba ","","","","exotic","",,"","","","",,"2018-11-12","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/18362907",,,"new 2018","observed","",56207,"VAS"
"Centaurium erythraea","no","Rafn","","common centaury","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Gentianales","",,"Gentianaceae","","","Centaurium","Centaurium erythraea","","","","exotic","SNA (2019)",,"1989-07-18","","RBCM","V158284B",,"","","","",,,"reported","unobserved","RBCM:   C. umbellatum",56236,"VAS"
"Penstemon procerus var. procerus","no","Douglas ex Graham","","Tolmie's beardtongue","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Lamiales","",,"Plantaginaceae","","","Penstemon","Penstemon procerus","","","procerus","native","S5 (2000)",,"1958-07-25","V.C. Brink","UBC","V120477",,"2011-05-14","mzifkin","iNaturalist","https://www.inaturalist.org/observations/68868314",,,"confirmed","observed","UBC:  Garibaldi",78414,"VAS"
"Viola nephrophylla","no","Greene","","northern bog violet","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Malpighiales","",,"Violaceae","","","Viola","Viola nephrophylla","","","","native","S4 (2015)",,"1913-05-31","F. Perry","UBC","V80672",,"","","","",,,"reported","unobserved","UBC:  Gambier Id. (herbarium record updated from V. sororia which is native to Eastern NA)",79513,"VAS"
"Corydalis scouleri","no","Hook.","","Scouler's corydalis","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Ranunculales","",,"Papaveraceae","Fumarioideae","","Corydalis","Corydalis scouleri","","","","native","S3S4 (2019)",,"","","E","20000154",,"","","","",,,"reported","unobserved","",153412,"VAS"
"Helleborus sp.","no","L.","","hellebore","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Ranunculales","",,"Ranunculaceae","Ranunculoideae","","Helleborus","Helleborus ","","","","exotic","",,"","","","",,"2021-01-16","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/68166879",,,"new 2021","observed","",55842,"VAS"
"Thalictrum sp.","no","Tourn, ex L.","","meadow-rues","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Ranunculales","",,"Ranunculaceae","Thalictroideae","","Thalictrum","Thalictrum sp.","","","","","",,"","","","",,"2019-03-28","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/21721890",,,"new 2019","observed","iNat: needs i.d.",53300,"VAS"
"Potentilla × diversifolia","no","Lehm.","","mountain meadow cinquefoil","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Rosales","",,"Rosaceae","Rosoideae","","Potentilla","","Potentilla × diversifolia","","","native","S5 (2020)",,"1912-08-11","John Davidson","UBC","V62782",,"","","","",,,"reported","unobserved","Reported as Potentilla diversifolia",167348,"VAS"
"Saxifraga bronchialis ssp. bronchialis","no","Wiegand","","matte saxifrage","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Saxifragales","",,"Saxifragaceae","","","Saxifraga","Saxifraga bronchialis","","bronchialis","","native","S5",,"1913-08-07","A. E. Baggs","UBC","V47152",,"","","","",,,"reported","unobserved","",1074756,"VAS"
"Oreopteris quelpaertensis","no","(Christ) Holub","","Queen's veil mountain fern","Plantae","Tracheophyta","",,"Polypodiopsida","Polypodiidae","","Polypodiales","",,"Thelypteridaceae","Thelypteridoideae","","Oreopteris","Oreopteris quelpaertensis","","","","native","S4 (2019)",,"","","","",,"2018-08-06","Steve Ansell","iNaturalist","https://www.inaturalist.org/observations/54800910",,,"new 2018","observed","",503922,"VAS"
