"","scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","hybrid","subspecies","variety","form","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"11","Anemonoides blanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","13792510",NA,"https://www.inaturalist.org/observations/13792510","Derek Killby","",NA,"2018-04-09",2018,4,9,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.373257,-123.291146,97,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Derek Killby",NA,NA,NA,NA,NA
"12","Anemonoides grayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V170140",NA,"5003E470-70BE-8241-8AD6-1B2686027318","A.A. Rose","8026",NA,"1980-05-10",1980,5,10,"PRESERVED_SPECIMEN","Greater Vancouver Regional District, New Westminster, Squamish River road",NA,NA,"British Columbia","Canada","CA",49.716667,-123.1,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"A.A. Rose",NA,NA,NA,NA,NA
"13","Anemonoides nemorosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","43676238",NA,"https://www.inaturalist.org/observations/43676238","barfeen","",NA,"2020-04-25",2020,4,25,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.530296,-123.474068,5034,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"barfeen",NA,NA,NA,NA,NA
"14","Anisocarpus madioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","105892077",NA,"https://www.inaturalist.org/observations/105892077","Else Mikkelsen","",NA,"2021-08-28",2021,8,28,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.392696,-123.469446,12,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Else Mikkelsen",NA,NA,NA,NA,NA
"15","Anthoxanthum nitens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V226206",NA,"78B2546B-9260-7C48-8754-778EC575D22D","Gerald B. Straley","9199",NA,"1997-05-18",1997,5,18,"PRESERVED_SPECIMEN","southwest side of town of Squamish, along Squamish River estuary",NA,NA,"British Columbia","Canada","CA",49.75,-123.133333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Gerald B. Straley",NA,NA,NA,NA,NA
"16","Antirrhinum majus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","",NA,"q-10377118154","","",NA,"2021-06-03T21:",2021,6,3,"HUMAN_OBSERVATION","",NA,NA,"","Canada","CA",49.402847,-123.507555,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"17","Aphyllon californicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","126566925",NA,"https://www.inaturalist.org/observations/126566925","Ben Keen","",NA,"2022-07-16",2022,7,16,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.339906,-123.432061,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Ben Keen",NA,NA,NA,NA,NA
"18","Arceuthobium campylopodum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"contortae","SUBSPECIES","iNaturalist","Observations","9228336",NA,"https://www.inaturalist.org/observations/9228336","Else Mikkelsen","",NA,"2014-07-26",2014,7,26,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.398847,-123.4656,172,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Else Mikkelsen",NA,NA,NA,NA,NA
"19","Arctium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","iNaturalist","Observations","13321711",NA,"https://www.inaturalist.org/observations/13321711","Brian Starzomski","",NA,"2018-06-08",2018,6,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.561005,-123.236528,42373,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Brian Starzomski",NA,NA,NA,NA,NA
"20","Arctium lappa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","102741322",NA,"https://www.inaturalist.org/observations/102741322","John D Reynolds","",NA,"2021-12-05",2021,12,5,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.835011,-123.212883,4,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"John D Reynolds",NA,NA,NA,NA,NA
"21","Armoracia rusticana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","",NA,"q-10654377074","","",NA,"2022-07-20T21:",2022,7,20,"HUMAN_OBSERVATION","",NA,NA,"","Canada","CA",49.408502,-123.454134,14,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"22","Arum italicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","44520090",NA,"https://www.inaturalist.org/observations/44520090","veganforsnow","",NA,"2020-04-30",2020,4,30,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.766531,-123.151649,23,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"veganforsnow",NA,NA,NA,NA,NA
"23","Aruncus sylvester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","University of Lethbridge","LEA","",NA,"4737","Pat Warrington","8",NA,"1967-06-04",1967,6,4,"PRESERVED_SPECIMEN","Squamish River; n.w. of Cheakamus River bridge into reserve",NA,NA,"British Columbia","Canada","CA",49.836944,-123.22,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"24","Athyrium distentifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","14759544",NA,"https://www.inaturalist.org/observations/14759544","Samantha Leigh","",NA,"2018-07-22",2018,7,22,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.650075,-123.077464,1052,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Samantha Leigh",NA,NA,NA,NA,NA
"25","Athyrium distentifolium ssp. americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"americanum","VARIETY","ca.ubc","UBCVascular","V100639",NA,"BC8409DA-753F-274E-B2A8-8C1D1C48FA80","E.B. Peterson","s.n.",NA,"1960-08-16",1960,8,16,"PRESERVED_SPECIMEN","Garibaldi Park, Black Tusk Meadows",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Christopher J. Sears 2007",NA,NA,NA,NA,NA
"26","Athyrium filix-femina ssp. cyclosorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cyclosorum","VARIETY","ca.ubc","UBCVascular","V47534",NA,"3E01D2D3-90CB-DE46-89D8-28B46B456055","M.R. Jackson","s.n.",NA,"1951-08-02",1951,8,2,"PRESERVED_SPECIMEN","Black Tusk Meadows, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Liew Fah Seong 1970",NA,NA,NA,NA,NA
"27","Atriplex prostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","56187807",NA,"https://www.inaturalist.org/observations/56187807","Ben Keen","",NA,"2020-08-11",2020,8,11,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.379164,-123.332318,78,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Ben Keen",NA,NA,NA,NA,NA
"28","Berberis darwinii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","UWBM","Plants","173157",NA,"","P. F. Zika","",NA,"2007-11-13",2007,11,13,"PRESERVED_SPECIMEN","Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay.",NA,NA,"British Columbia","Canada","CA",49.351667,-123.251667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"29","Betula papyrifera var. commutata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"commutata","VARIETY","ca.ubc","UBCVascular","V136540",NA,"ACC0DAF7-FF5D-D541-81F5-09BB16940897","Katherine I. Beamish, Freek Vrugtman","610185",NA,"1961-05-25",1961,5,25,"PRESERVED_SPECIMEN","Squamish-Lillooet Regional District, 9 miles north of Squamish, just beyond Cheekye",NA,NA,"British Columbia","Canada","CA",49.8,-123.15,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"30","Betula papyrifera var. papyrifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","26564506",NA,"https://www.inaturalist.org/observations/26564506","tomgibson13","",NA,"2019-06-07",2019,6,7,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.830774,-123.137176,3500,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"tomgibson13",NA,NA,NA,NA,NA
"31","Betula pendula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","91066661",NA,"https://www.inaturalist.org/observations/91066661","John D Reynolds","",NA,"2021-08-11",2021,8,11,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.394389,-123.202392,65,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"John D Reynolds",NA,NA,NA,NA,NA
"32","Botrychium lunaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V161026",NA,"5BC580BA-342F-824D-9D80-F0949DB90E05","B. Fraser","s.n.",NA,"1965-01-01",1965,NA,NA,"PRESERVED_SPECIMEN","Sentinel glacier foreland, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.8930444794088,-122.982676465135,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"B. Fraser",NA,NA,NA,NA,NA
"33","Brassica oleracea var. acephala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acephala","VARIETY","ca.ubc","UBCVascular","V246473",NA,"16E94902-5061-1D41-BE58-C751052EB79A","Frank Lomer","9133",NA,"2015-03-27",2015,3,27,"PRESERVED_SPECIMEN","Metro Vancouver, West Vancouver, Copper Cove, west of Horseshoe Bay, vacant lot at west foot of Copper Cove Road",NA,NA,"British Columbia","Canada","CA",49.377889,-123.280111,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"34","Brassica rapa var. oleifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"oleifera","VARIETY","CPNWH","","2483909",NA,"0323442e-712f-4b57-841f-1a5080bc1f4d","Gerald B. Straley","V203758",NA,"1991-05-18",1991,5,18,"OCCURRENCE","",NA,NA,"British Columbia","Canada","CA",49.75,-123.133333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"35","Brewerimitella breweri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V47146",NA,"C06BE8C7-2849-7041-AC36-8C573357F770","A. E. Baggs","s.n.",NA,"1913-07-30",1913,7,30,"PRESERVED_SPECIMEN","Panorama Ridge",NA,NA,"British Columbia","Canada","CA",49.9541669990711,-123.014167,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"A. E. Baggs",NA,NA,NA,NA,NA
"36","Bromus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","RBCM","V","V147797",NA,"RBCM:Botany:V147797","Brenda Storey","BS-78-15",NA,"1978-06-07",1978,6,7,"PRESERVED_SPECIMEN","Cheekeye: 9 km down the road which leaves highway at Cheekeye",NA,NA,"British Columbia","Canada","CA",49.852778,-123.233333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Jeffery Saarela",NA,NA,NA,NA,NA
"37","Bromus carinatus var. carinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carinatus","VARIETY","CMN","CAN","CAN 591233",NA,"46071298-49ae-9ae4-61b1-e43280f216c8","Saarela, Jeffery M.","504",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","West Vancouver, Marine Drive, 100 m E of Gleneagles Drive.",NA,NA,"British Columbia (Prov.)","Canada","CA",49.3575,-123.279,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Saarela, Jeffery M. - Canadian Museum of Nature",NA,NA,NA,NA,NA
"38","Bromus carinatus var. carinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"carinatus","VARIETY","CMN","CAN","CAN 594053",NA,"b6466ec6-4b91-b914-e4a7-245813c2ec26","Saarela, Jeffery M.","502",NA,"2006-05-27",2006,5,27,"PRESERVED_SPECIMEN","West Vancouver, Marine Drive, 100 m east of Gleneagles Drive.",NA,NA,"British Columbia (Prov.)","Canada","CA",49.358,-123.279,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Saarela, Jeffery M. - Canadian Museum of Nature",NA,NA,NA,NA,NA
"39","Bromus marginatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"marginatus","VARIETY","RBCM","V","V011304",NA,"RBCM:Botany:V011304","John Eastham","s.n.",NA,"1938-08-09",1938,8,9,"PRESERVED_SPECIMEN","Mount Garibaldi: bank of Desolation Lake",NA,NA,"British Columbia","Canada","CA",49.85,-123,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Laurel Anderton",NA,NA,NA,NA,NA
"40","Calamagrostis canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","33080500",NA,"https://www.inaturalist.org/observations/33080500","jckerr7","",NA,"2019-09-20",2019,9,20,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.699125,-123.16386,5,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"jckerr7",NA,NA,NA,NA,NA
"41","Calamagrostis purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"langsdorffii","VARIETY","RBCM","V","V011314",NA,"RBCM:Botany:V011314","John Eastham","s. n.",NA,"1938-08-13",1938,8,13,"PRESERVED_SPECIMEN","Black Tusk Meadows: lower meadows",NA,NA,"British Columbia","Canada","CA",49.95,-123.066667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Kendrick Marr",NA,NA,NA,NA,NA
"42","Calypso bulbosa var. occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"occidentalis","VARIETY","iNaturalist","Observations","108399353",NA,"https://www.inaturalist.org/observations/108399353","Steve Ansell","",NA,"2003-05-03",2003,5,3,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.953364,-123.106624,1000,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"ab_orchid",NA,NA,NA,NA,NA
"43","Campanula rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V27336",NA,"07729723-E910-924E-B0D7-8C83D2707A84","W. Cottle","377",NA,"1951-08-22",1951,8,22,"PRESERVED_SPECIMEN","polemonium ridge, Black Tusk Meadows, Garibaldi Park",NA,NA,"British Columbia","Canada","CA",49.938332999071,-122.971111,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"S.G. Shetler",NA,NA,NA,NA,NA
"44","Carex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","GENUS","ca.ubc","UBCVascular","V245570",NA,"7EB9ACEA-9915-9645-8D08-CA00FFDB9650","Vernon C. Brink","",NA,"1963-08-03",1963,8,3,"PRESERVED_SPECIMEN","Garibaldi Park, Garibaldi Lake Outlet",NA,NA,"British Columbia","Canada","CA",49.933333,-123.033333,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Anonymous",NA,NA,NA,NA,NA
"45","Carex bolanderi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","Moscow State University","MW","MW0572007",NA,"MW0572007","Mason W. R. M.","",NA,"1953-08-04",1953,8,4,"PRESERVED_SPECIMEN","",NA,NA,"","Canada","CA",49.700884,-123.154431,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"46","Carex oederi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V203880",NA,"144DACEA-F0E9-3C49-97F4-E5F93245D289","Frank Lomer","s.n.",NA,"1991-08-15",1991,8,15,"PRESERVED_SPECIMEN","Horsehoe Bay",NA,NA,"British Columbia","Canada","CA",49.366667,-123.266667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"47","Carex plectocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dolia","VARIETY","RBCM","V","V055043",NA,"RBCM:Botany:V055043","T. Brayshaw; J. Foster","",NA,"1969-09-03",1969,9,3,"PRESERVED_SPECIMEN","Garibaldi Lake: NW end of lake.",NA,NA,"British Columbia","Canada","CA",49.933333,-123.05,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,1,NA,NA,NA,NA,"Adolf Ceska",NA,NA,NA,NA,NA
