scientificName,variety,subspecies,genus,species,genus_species
Pseudemys concinna,NA,NA,Pseudemys,concinna,Pseudemys concinna
Sceloporus occidentalis,NA,NA,Sceloporus,occidentalis,Sceloporus occidentalis
Aspicilia sp.,NA,NA,Aspicilia,NA,NA
Candelariella sp.,NA,NA,Candelariella,NA,NA
Cetraria islandica,NA,NA,Cetraria,islandica,Cetraria islandica
Cladonia arbuscula,NA,NA,Cladonia,arbuscula,Cladonia arbuscula
Cladonia cervicornis,NA,NA,Cladonia,cervicornis,Cladonia cervicornis
Cladonia cornuta,NA,NA,Cladonia,cornuta,Cladonia cornuta
Cladonia cristatella,NA,NA,Cladonia,cristatella,Cladonia cristatella
Cladonia ecmocyna,NA,NA,Cladonia,ecmocyna,Cladonia ecmocyna
Cladonia gracilis,NA,NA,Cladonia,gracilis,Cladonia gracilis
Cladonia nitens,NA,NA,Cladonia,nitens,Cladonia nitens
Cladonia polydactyla,NA,NA,Cladonia,polydactyla,Cladonia polydactyla
Cladonia subsquamosa,NA,NA,Cladonia,subsquamosa,Cladonia subsquamosa
Cyclohymenia epilithica,NA,NA,Cyclohymenia,epilithica,Cyclohymenia epilithica
Halokirschsteiniothelia maritima,NA,NA,Halokirschsteiniothelia,maritima,Halokirschsteiniothelia maritima
Hypogymnia metaphysodes,NA,NA,Hypogymnia,metaphysodes,Hypogymnia metaphysodes
Ionaspis sp.,NA,NA,Ionaspis,NA,NA
Lepraria caesioalba,NA,NA,Lepraria,caesioalba,Lepraria caesioalba
Lepraria lobificans,NA,NA,Lepraria,lobificans,Lepraria lobificans
Melanelixia fuliginosa,NA,NA,Melanelixia,fuliginosa,Melanelixia fuliginosa
Microthyrium macrosporum,NA,NA,Microthyrium,macrosporum,Microthyrium macrosporum
Notoparmelia kerguelensis,NA,NA,Notoparmelia,kerguelensis,Notoparmelia kerguelensis
Ochrolechia pallescens,NA,NA,Ochrolechia,pallescens,Ochrolechia pallescens
Pannaria sp.,NA,NA,Pannaria,NA,NA
Peltigera gowardii,NA,NA,Peltigera,gowardii,Peltigera gowardii
Peltigera hydrothyria,NA,NA,Peltigera,hydrothyria,Peltigera hydrothyria
Piricauda pelagica,NA,NA,Piricauda,pelagica,Piricauda pelagica
Polycauliona polycarpa,NA,NA,Polycauliona,polycarpa,Polycauliona polycarpa
Pseudosolorina saccata,NA,NA,Pseudosolorina,saccata,Pseudosolorina saccata
Ramularia rubella,NA,NA,Ramularia,rubella,Ramularia rubella
Rehmia reducta,NA,NA,Rehmia,reducta,Rehmia reducta
Sphaerulina populicola,NA,NA,Sphaerulina,populicola,Sphaerulina populicola
Stereocaulon dactylophyllum,NA,NA,Stereocaulon,dactylophyllum,Stereocaulon dactylophyllum
Tuckermanopsis orbata,NA,NA,Tuckermanopsis,orbata,Tuckermanopsis orbata
Tuckermanopsis subalpina,NA,NA,Tuckermanopsis,subalpina,Tuckermanopsis subalpina
Usnea articulata,NA,NA,Usnea,articulata,Usnea articulata
Varicellaria velata,NA,NA,Varicellaria,velata,Varicellaria velata
Xanthoparmelia cumberlandia,NA,NA,Xanthoparmelia,cumberlandia,Xanthoparmelia cumberlandia
Xanthoparmelia sp.,NA,NA,Xanthoparmelia,NA,NA
Xanthoparmelia taractica,NA,NA,Xanthoparmelia,taractica,Xanthoparmelia taractica
Acrosiphonia coalita,NA,NA,Acrosiphonia,coalita,Acrosiphonia coalita
Ahnfeltia fastigiata,NA,NA,Ahnfeltia,fastigiata,Ahnfeltia fastigiata
Alaria marginata,NA,NA,Alaria,marginata,Alaria marginata
Amplisiphonia pacifica,NA,NA,Amplisiphonia,pacifica,Amplisiphonia pacifica
Antithamnion defectum,NA,NA,Antithamnion,defectum,Antithamnion defectum
Bangia spp.,NA,NA,Bangia,NA,NA
Besa leptophylla,NA,NA,Besa,leptophylla,Besa leptophylla
Blidingia spp.,NA,NA,Blidingia,NA,NA
Blidingia subsalsa,NA,NA,Blidingia,subsalsa,Blidingia subsalsa
Bossiella frondifera,NA,NA,Bossiella,frondifera,Bossiella frondifera
Bossiella spp.,NA,NA,Bossiella,NA,NA
Botryocladia hawkesii,NA,NA,Botryocladia,hawkesii,Botryocladia hawkesii
Botryocladia pseudodichotoma,NA,NA,Botryocladia,pseudodichotoma,Botryocladia pseudodichotoma
Bryocladia scopulorum,NA,NA,Bryocladia,scopulorum,Bryocladia scopulorum
Bryocladia villum,NA,NA,Bryocladia,villum,Bryocladia villum
Bryopsis sp.,NA,NA,Bryopsis,NA,NA
Callithamnion acutum,NA,NA,Callithamnion,acutum,Callithamnion acutum
Callophyllis flabellulata,NA,NA,Callophyllis,flabellulata,Callophyllis flabellulata
Callophyllis sp.,NA,NA,Callophyllis,NA,NA
Callophyllis variforma,NA,NA,Callophyllis,variforma,Callophyllis variforma
Ceramothamnion coulteri,NA,NA,Ceramothamnion,coulteri,Ceramothamnion coulteri
Ceramothamnion pacificum,NA,NA,Ceramothamnion,pacificum,Ceramothamnion pacificum
Chondracanthus exasperatus,NA,NA,Chondracanthus,exasperatus,Chondracanthus exasperatus
Cladophora sp.,NA,NA,Cladophora,NA,NA
Clathromorphum sp.,NA,NA,Clathromorphum,NA,NA
Codium setchellii,NA,NA,Codium,setchellii,Codium setchellii
Constantinea simplex,NA,NA,Constantinea,simplex,Constantinea simplex
Corallina chilensis,NA,NA,Corallina,chilensis,Corallina chilensis
Costaria costata,NA,NA,Costaria,costata,Costaria costata
Cryptonemia borealis,NA,NA,Cryptonemia,borealis,Cryptonemia borealis
Cryptopleura ruprechtiana,NA,NA,Cryptopleura,ruprechtiana,Cryptopleura ruprechtiana
Cryptopleura sp.,NA,NA,Cryptopleura,NA,NA
Cryptosiphonia woodii,NA,NA,Cryptosiphonia,woodii,Cryptosiphonia woodii
Cumathamnion decipiens,NA,NA,Cumathamnion,decipiens,Cumathamnion decipiens
Dactylosiphon bullosus,NA,NA,Dactylosiphon,bullosus,Dactylosiphon bullosus
Dasya plumosa,NA,NA,Dasya,plumosa,Dasya plumosa
Desmarestia ligulata,NA,NA,Desmarestia,ligulata,Desmarestia ligulata
Desmarestia viridis,NA,NA,Desmarestia,viridis,Desmarestia viridis
Euthora cristata,NA,NA,Euthora,cristata,Euthora cristata
Eutrichosiphonia paniculata,NA,NA,Eutrichosiphonia,paniculata,Eutrichosiphonia paniculata
Farlowia mollis,NA,NA,Farlowia,mollis,Farlowia mollis
Fryeella gardneri,NA,NA,Fryeella,gardneri,Fryeella gardneri
Fucus distichus,NA,NA,Fucus,distichus,Fucus distichus
Gelidium purpurascens,NA,NA,Gelidium,purpurascens,Gelidium purpurascens
Gloiocladia fryeana,NA,NA,Gloiocladia,fryeana,Gloiocladia fryeana
Gloiocladia laciniata,NA,NA,Gloiocladia,laciniata,Gloiocladia laciniata
Gracilaria pacifica,NA,NA,Gracilaria,pacifica,Gracilaria pacifica
Gracilariopsis andersonii,NA,NA,Gracilariopsis,andersonii,Gracilariopsis andersonii
Grateloupia californica,NA,NA,Grateloupia,californica,Grateloupia californica
Griffithsia pacifica,NA,NA,Griffithsia,pacifica,Griffithsia pacifica
Halymenia schizymenioides,NA,NA,Halymenia,schizymenioides,Halymenia schizymenioides
Harveyella mirabilis,NA,NA,Harveyella,mirabilis,Harveyella mirabilis
Herpochondria borealis,NA,NA,Herpochondria,borealis,Herpochondria borealis
Heterosigma akashiwo,NA,NA,Heterosigma,akashiwo,Heterosigma akashiwo
Heterosiphonia densiuscula,NA,NA,Heterosiphonia,densiuscula,Heterosiphonia densiuscula
Hildenbrandia sp.,NA,NA,Hildenbrandia,NA,NA
Hollenbergia subulata,NA,NA,Hollenbergia,subulata,Hollenbergia subulata
Leptosiphonia brodiei,NA,NA,Leptosiphonia,brodiei,Leptosiphonia brodiei
Lithothamnion sp.,NA,NA,Lithothamnion,NA,NA
Mastocarpus alaskensis,NA,NA,Mastocarpus,alaskensis,Mastocarpus alaskensis
Mastocarpus latissimus,NA,NA,Mastocarpus,latissimus,Mastocarpus latissimus
Mastocarpus papillatus,NA,NA,Mastocarpus,papillatus,Mastocarpus papillatus
Mazzaella minima,NA,NA,Mazzaella,minima,Mazzaella minima
Mazzaella oregona,NA,NA,Mazzaella,oregona,Mazzaella oregona
Mazzaella splendens,NA,NA,Mazzaella,splendens,Mazzaella splendens
Membranoptera platyphylla,NA,NA,Membranoptera,platyphylla,Membranoptera platyphylla
Myriogramme spectabilis,NA,NA,Myriogramme,spectabilis,Myriogramme spectabilis
Neoagarum fimbriatum,NA,NA,Neoagarum,fimbriatum,Neoagarum fimbriatum
Neodilsea borealis,NA,NA,Neodilsea,borealis,Neodilsea borealis
Nereocystis luetkeana,NA,NA,Nereocystis,luetkeana,Nereocystis luetkeana
Odonthalia floccosa,NA,NA,Odonthalia,floccosa,Odonthalia floccosa
Opuntiella californica,NA,NA,Opuntiella,californica,Opuntiella californica
Pikea californica,NA,NA,Pikea,californica,Pikea californica
Pleonosporium vancouverianum,NA,NA,Pleonosporium,vancouverianum,Pleonosporium vancouverianum
Polyneura latissima,NA,NA,Polyneura,latissima,Polyneura latissima
Polysiphonia morrowii,NA,NA,Polysiphonia,morrowii,Polysiphonia morrowii
Polysiphonia stricta,NA,NA,Polysiphonia,stricta,Polysiphonia stricta
Prasiola meridionalis,NA,NA,Prasiola,meridionalis,Prasiola meridionalis
Prionitis sternbergii,NA,NA,Prionitis,sternbergii,Prionitis sternbergii
Pterothamnion pectinatum,NA,NA,Pterothamnion,pectinatum,Pterothamnion pectinatum
Pylaiella littoralis,NA,NA,Pylaiella,littoralis,Pylaiella littoralis
Pyropia abbottiae,NA,NA,Pyropia,abbottiae,Pyropia abbottiae
Pyropia fallax,NA,NA,Pyropia,fallax,Pyropia fallax
Pyropia kurogii,NA,NA,Pyropia,kurogii,Pyropia kurogii
Pyropia nereocystis,NA,NA,Pyropia,nereocystis,Pyropia nereocystis
Pyropia perforata,NA,NA,Pyropia,perforata,Pyropia perforata
Rhodochorton purpureum,NA,NA,Rhodochorton,purpureum,Rhodochorton purpureum
Rhodymenia californica,NA,NA,Rhodymenia,californica,Rhodymenia californica
Saccharina latissima,NA,NA,Saccharina,latissima,Saccharina latissima
Sarcodiotheca furcata,NA,NA,Sarcodiotheca,furcata,Sarcodiotheca furcata
Sarcodiotheca gaudichaudii,NA,NA,Sarcodiotheca,gaudichaudii,Sarcodiotheca gaudichaudii
Sargassum muticum,NA,NA,Sargassum,muticum,Sargassum muticum
Savoiea robusta,NA,NA,Savoiea,robusta,Savoiea robusta
Scagelia pylaisaei,NA,NA,Scagelia,pylaisaei,Scagelia pylaisaei
Schizymenia pacifica,NA,NA,Schizymenia,pacifica,Schizymenia pacifica
Scytosiphon lomentaria,NA,NA,Scytosiphon,lomentaria,Scytosiphon lomentaria
Smithora naiadum,NA,NA,Smithora,naiadum,Smithora naiadum
Sparlingia pertusa,NA,NA,Sparlingia,pertusa,Sparlingia pertusa
Stenogramma interruptum,NA,NA,Stenogramma,interruptum,Stenogramma interruptum
Sundstroemia setigera,NA,NA,Sundstroemia,setigera,Sundstroemia setigera
Symphyocladiella dendroidea,NA,NA,Symphyocladiella,dendroidea,Symphyocladiella dendroidea
Symphyocladiella rosea,NA,NA,Symphyocladiella,rosea,Symphyocladiella rosea
Ulva californica,NA,NA,Ulva,californica,Ulva californica
Ulva fenestrata,NA,NA,Ulva,fenestrata,Ulva fenestrata
Ulva intestinalis,NA,NA,Ulva,intestinalis,Ulva intestinalis
Ulva lactuca,NA,NA,Ulva,lactuca,Ulva lactuca
Urospora penicilliformis,NA,NA,Urospora,penicilliformis,Urospora penicilliformis
Vertebrata hendryi,NA,NA,Vertebrata,hendryi,Vertebrata hendryi
Weeksia coccinea,NA,NA,Weeksia,coccinea,Weeksia coccinea
Wildemania amplissima,NA,NA,Wildemania,amplissima,Wildemania amplissima
Abietinaria spp.,NA,NA,Abietinaria,NA,NA
Acanthodoris hudsoni,NA,NA,Acanthodoris,hudsoni,Acanthodoris hudsoni
Acanthodoris lutea,NA,NA,Acanthodoris,lutea,Acanthodoris lutea
Acanthodoris nanaimoensis,NA,NA,Acanthodoris,nanaimoensis,Acanthodoris nanaimoensis
Acanthodoris pilosa,NA,NA,Acanthodoris,pilosa,Acanthodoris pilosa
Acartia longiremis,NA,NA,Acartia,longiremis,Acartia longiremis
Acmaea mitra,NA,NA,Acmaea,mitra,Acmaea mitra
Acromegalomma sp.,NA,NA,Acromegalomma,NA,NA
Acromegalomma splendidum,NA,NA,Acromegalomma,splendidum,Acromegalomma splendidum
Acteocina cerealis,NA,NA,Acteocina,cerealis,Acteocina cerealis
Acteocina culcitella,NA,NA,Acteocina,culcitella,Acteocina culcitella
Actinostola faeculenta,NA,NA,Actinostola,faeculenta,Actinostola faeculenta
Adalaria proxima,NA,NA,Adalaria,proxima,Adalaria proxima
Adalaria spp.,NA,NA,Adalaria,NA,NA
Adocia sp.,NA,NA,Haliclona,NA,NA
Aegina citrea,NA,NA,Aegina,citrea,Aegina citrea
Aegires albopunctatus,NA,NA,Aegires,albopunctatus,Aegires albopunctatus
Aeolidia papillosa,NA,NA,Aeolidia,papillosa,Aeolidia papillosa
Aequorea spp.,NA,NA,Aequorea,NA,NA
Aglaodiaptomus leptopus,NA,NA,Aglaodiaptomus,leptopus,Aglaodiaptomus leptopus
Aglaophenia spp.,NA,NA,Aglaophenia,NA,NA
Akiodoris salacia,NA,NA,Akiodoris,salacia,Akiodoris salacia
Alcyonidium gelatinosum,NA,NA,Alcyonidium,gelatinosum,Alcyonidium gelatinosum
Alcyonidium pedunculatum,NA,NA,Alcyonidium,pedunculatum,Alcyonidium pedunculatum
Aldisa albomarginata,NA,NA,Aldisa,albomarginata,Aldisa albomarginata
Aldisa cooperi,NA,NA,Aldisa,cooperi,Aldisa cooperi
Ampharete finmarchica,NA,NA,Ampharete,finmarchica,Ampharete finmarchica
Amphicteis mucronata,NA,NA,Amphicteis,mucronata,Amphicteis mucronata
Amphiporus bimaculatus,NA,NA,NA,NA,NA
Amphissa columbiana,NA,NA,Amphissa,columbiana,Amphissa columbiana
Amphissa versicolor,NA,NA,Amphissa,versicolor,Amphissa versicolor
Ampithoe dalli,NA,NA,Ampithoe,dalli,Ampithoe dalli
Ampithoe lacertosa,NA,NA,Ampithoe,lacertosa,Ampithoe lacertosa
Angustassiminea californica,NA,NA,Angustassiminea,californica,Angustassiminea californica
Anisogammarus pugettensis,NA,NA,Anisogammarus,pugettensis,Anisogammarus pugettensis
Anthopleura artemisia,NA,NA,Anthopleura,artemisia,Anthopleura artemisia
Anthopleura elegantissima,NA,NA,Anthopleura,elegantissima,Anthopleura elegantissima
Antiopella fusca,NA,NA,Antiopella,fusca,Antiopella fusca
Antiopella gelida,NA,NA,Antiopella,gelida,Antiopella gelida
Aplidium californicum,NA,NA,Aplidium,californicum,Aplidium californicum
Aplidium solidum,NA,NA,Aplidium,solidum,Aplidium solidum
Apomatus geniculatus,NA,NA,Apomatus,geniculatus,Apomatus geniculatus
Arctonoe fragilis,NA,NA,Arctonoe,fragilis,Arctonoe fragilis
Arctonoe pulchra,NA,NA,Arctonoe,pulchra,Arctonoe pulchra
Arctonoe vittata,NA,NA,Arctonoe,vittata,Arctonoe vittata
Armina californica,NA,NA,Armina,californica,Armina californica
Ascidia callosa,NA,NA,Ascidia,callosa,Ascidia callosa
Ascidia ceratodes,NA,NA,Ascidia,ceratodes,Ascidia ceratodes
Ascidia columbiana / A. callosa 566446,NA,NA,Ascidia,columbiana,Ascidia columbiana
Ascidia paratropa,NA,NA,Ascidia,paratropa,Ascidia paratropa
Astarte esquimalti,NA,NA,Astarte,esquimalti,Astarte esquimalti
Atalodoris jannae,NA,NA,Atalodoris,jannae,Atalodoris jannae
Aurelia labiata,NA,NA,Aurelia,labiata,Aurelia labiata
Balanus crenatus,NA,NA,Balanus,crenatus,Balanus crenatus
Balanus glandula,NA,NA,Balanus,glandula,Balanus glandula
Balanus nubilus,NA,NA,Balanus,nubilus,Balanus nubilus
Balanus rostratus,NA,NA,Balanus,rostratus,Balanus rostratus
Bankia setacea,NA,NA,Bankia,setacea,Bankia setacea
Barentsia sp.,NA,NA,Barentsia,NA,NA
Bathypera feminalba,NA,NA,Bathypera,feminalba,Bathypera feminalba
Beringius crebricostatus,NA,NA,Beringius,crebricostatus,Beringius crebricostatus
Beroe spp.,NA,NA,Beroe,NA,NA
Berryteuthis magister,NA,NA,Berryteuthis,magister,Berryteuthis magister
Bolinopsis infundibulum,NA,NA,Bolinopsis,infundibulum,Bolinopsis infundibulum
Boltenia villosa,NA,NA,Boltenia,villosa,Boltenia villosa
Bopyroides hippolytes,NA,NA,Bopyroides,hippolytes,Bopyroides hippolytes
Boreoberthella chacei,NA,NA,Boreoberthella,chacei,Boreoberthella chacei
Bougainvillia sp.,NA,NA,Bougainvillia,NA,NA
Brisaster townsendi,NA,NA,Brisaster,townsendi,Brisaster townsendi
Buccinum plectrum,NA,NA,Buccinum,plectrum,Buccinum plectrum
Bugulina californica,NA,NA,Bugulina,californica,Bugulina californica
Bythotiara huntsmani,NA,NA,Bythotiara,huntsmani,Bythotiara huntsmani
Cadlina luteomarginata,NA,NA,Cadlina,luteomarginata,Cadlina luteomarginata
Cadlina modesta,NA,NA,Cadlina,modesta,Cadlina modesta
Cadlina sylviaearleae,NA,NA,Cadlina,sylviaearleae,Cadlina sylviaearleae
Callianax biplicata,NA,NA,Callianax,biplicata,Callianax biplicata
Caprella alaskana,NA,NA,Caprella,alaskana,Caprella alaskana
Caprella laeviuscula,NA,NA,Caprella,laeviuscula,Caprella laeviuscula
Cardiomya californica,NA,NA,Cardiomya,californica,Cardiomya californica
Cardiomya pectinata,NA,NA,Cardiomya,pectinata,Cardiomya pectinata
Catablema multicirratum,NA,NA,Catablema,multicirratum,Catablema multicirratum
Caulibugula californica,NA,NA,Caulibugula,californica,Caulibugula californica
Cellaria diffusa,NA,NA,Cellaria,diffusa,Cellaria diffusa
Centropages abdominalis,NA,NA,Centropages,abdominalis,Centropages abdominalis
Cephalophoxoides homilis,NA,NA,Cephalophoxoides,homilis,Cephalophoxoides homilis
Ceratostoma foliatum,NA,NA,Ceratostoma,foliatum,Ceratostoma foliatum
Cerebratulus californiensis,NA,NA,NA,NA,NA
Chaetopterus species complex,NA,NA,Chaetopterus,NA,NA
Chaetopterus variopedatus,NA,NA,Chaetopterus,variopedatus,Chaetopterus variopedatus
Chelyosoma columbianum,NA,NA,Chelyosoma,columbianum,Chelyosoma columbianum
Chelyosoma productum,NA,NA,Chelyosoma,productum,Chelyosoma productum
Chilara taylori,NA,NA,Chilara,taylori,Chilara taylori
Chlamys hastata,NA,NA,Chlamys,hastata,Chlamys hastata
Chlamys rubida,NA,NA,Chlamys,rubida,Chlamys rubida
Chone aurantiaca,NA,NA,Chone,aurantiaca,Chone aurantiaca
Chone minuta / c. C. ecaudata,NA,NA,Chone,minuta,Chone minuta
Chromopleustes oculatus,NA,NA,Chromopleustes,oculatus,Chromopleustes oculatus
Chrysaora fuscescens,NA,NA,Chrysaora,fuscescens,Chrysaora fuscescens
Chthamalus dalli,NA,NA,Chthamalus,dalli,Chthamalus dalli
Ciliatocardium ciliatum,NA,NA,Ciliatocardium,ciliatum,Ciliatocardium ciliatum
Ciona savignyi,NA,NA,Ciona,savignyi,Ciona savignyi
Clinocardium nuttallii,NA,NA,Clinocardium,nuttallii,Clinocardium nuttallii
Clinostomum marginatum,NA,NA,Clinostomum,marginatum,Clinostomum marginatum
Cliona chilensis,NA,NA,Cliona,chilensis,Cliona chilensis
Clupea harengus,NA,NA,Clupea,harengus,Clupea harengus
Clytia gregaria,NA,NA,Clytia,gregaria,Clytia gregaria
Cnemidocarpa finmarkiensis,NA,NA,Cnemidocarpa,finmarkiensis,Cnemidocarpa finmarkiensis
Compsomyax subdiaphana,NA,NA,Compsomyax,subdiaphana,Compsomyax subdiaphana
Corella inflata,NA,NA,Corella,inflata,Corella inflata
Corella willmeriana,NA,NA,Corella,willmeriana,Corella willmeriana
Corruptobranchus sanjuanensis,NA,NA,Corruptobranchus,sanjuanensis,Corruptobranchus sanjuanensis
Coryphella trophina,NA,NA,Coryphella,trophina,Coryphella trophina
Coryphella verrucosa,NA,NA,Coryphella,verrucosa,Coryphella verrucosa
Crassadoma gigantea,NA,NA,Crassadoma,gigantea,Crassadoma gigantea
Crepipatella lingulata,NA,NA,Crepipatella,lingulata,Crepipatella lingulata
Cribrinopsis fernaldi,NA,NA,Cribrinopsis,fernaldi,Cribrinopsis fernaldi
Crisia spp.,NA,NA,Crisia,NA,NA
Crucigera irregularis,NA,NA,Crucigera,irregularis,Crucigera irregularis
Crucigera zygophora,NA,NA,Crucigera,zygophora,Crucigera zygophora
Cryptobranchia concentrica,NA,NA,Cryptobranchia,concentrica,Cryptobranchia concentrica
Cryptochiton stelleri,NA,NA,Cryptochiton,stelleri,Cryptochiton stelleri
Cryptonatica affinis,NA,NA,Cryptonatica,affinis,Cryptonatica affinis
Cryptonatica aleutica,NA,NA,Cryptonatica,aleutica,Cryptonatica aleutica
Cumella vulgaris,NA,NA,Cumella,vulgaris,Cumella vulgaris
Cyanea capillata,NA,NA,Cyanea,capillata,Cyanea capillata
Cyanea ferruginea,NA,NA,Cyanea,ferruginea,Cyanea ferruginea
Cyanoplax dentiens,NA,NA,Cyanoplax,dentiens,Cyanoplax dentiens
Cyphocaris challengeri,NA,NA,Cyphocaris,challengeri,Cyphocaris challengeri
Cystodytes lobatus,NA,NA,Cystodytes,lobatus,Cystodytes lobatus
Daphnia sp.,NA,NA,Daphnia,NA,NA
Delectopecten vancouverensis,NA,NA,Delectopecten,vancouverensis,Delectopecten vancouverensis
Dendrobeania lichenoides,NA,NA,Dendrobeania,lichenoides,Dendrobeania lichenoides
Dendrobeania murrayana,NA,NA,Dendrobeania,murrayana,Dendrobeania murrayana
Dendrochiton flectens,NA,NA,Dendrochiton,flectens,Dendrochiton flectens
Dendronotus albus,NA,NA,Dendronotus,albus,Dendronotus albus
Dendronotus dalli,NA,NA,Dendronotus,dalli,Dendronotus dalli
Dendronotus frondosus,NA,NA,Dendronotus,frondosus,Dendronotus frondosus
Dendronotus iris,NA,NA,Dendronotus,iris,Dendronotus iris
Dendronotus rufus,NA,NA,Dendronotus,rufus,Dendronotus rufus
