"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code","Taxon.rank","Original.Taxon","manual_rule","manual_note","synonym_target","synonym_parse_failed","baseline_First_Observed","genus_in_baseline","family_in_baseline","resolution_level","novelty_flag","date_flag","review_group","Curator.Decision","Curator.Notes","auto_exclusion_note"
"Anas platyrhynchos","Linnaeus, 1758","","mallard","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Anas","platyrhynchos","","","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-02-04","Kris Krüg","iNat:2644712","","6930","BIR","","","","","","","","","","","","","","","",""
"Anser albifrons","(Scopoli, 1769)","","greater white-fronted goose","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Anser","albifrons","","","","native","S4M (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-09-27","Michael Hoebel","iNat:4046931","","7019","BIR","","","","","","","","","","","","","","","",""
"Anthus rubescens","(Tunstall, 1771)","","American pipit","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Motacillidae","","","Anthus","rubescens","","","","native","S5B,SNRN (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2024-09-29","Sean Vanderluit","iNat:244839879","","13732","BIR","","","","","","","","","","","","","","","",""
"Antigone canadensis","(Linnaeus, 1758)","","sandhill crane","Animalia","Chordata","Vertebrata","","Aves","","","Gruiformes","","","Gruidae","","","Antigone","canadensis","","","","native","S4B (2018)","","new 2021","observed","","","","","","2013-11-05","Michael Hoebel","iNat:102504413","","508048","BIR","","","","","","","","","","","","","","","",""
"Aquila chrysaetos","Linnaeus, 1758","","golden eagle","Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","Accipitridae","","","Aquila","chrysaetos","","","","native","S4S5 (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Ardea herodias fannini","Chapman, 1901","","great blue heron","Animalia","Chordata","Vertebrata","","Aves","","","Pelecaniformes","","","Ardeidae","Ardeinae","","Ardea","herodias","","fannini","","native","S2S3B,S4N (2009)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2009-05-03","Shera Street","iNat:2635593","","236943","BIR","","","","","","","","","","","","","","","",""
"Arenaria interpres","(Linnaeus, 1758)","","ruddy turnstone","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Arenaria","interpres","","","","native","S4M (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Arenaria melanocephala","(Vigors, 1829)","","black turnstone","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Arenaria","melanocephala","","","","native","S4N,S5M (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-08-08","Chessi Miltner","iNat:3840469","","3941","BIR","","","","","","","","","","","","","","","",""
"Asio flammeus","(Pontoppidan, 1763)","","short-eared owl","Animalia","Chordata","Vertebrata","","Aves","","","Strigiformes","","","Strigidae","","","Asio","flammeus","","","","native","S3B,S2N (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Astur cooperii","(Bonaparte, 1828)","","Cooper's hawk","Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","Accipitridae","","","Astur","cooperii","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-09-01","Karolle Wall","iNat:4014861","reported as Accipiter cooperii","5112","BIR","","","","","","","","","","","","","","","",""
"Aythya affinis","(Eyton, 1838)","","lesser scaup","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Aythya","affinis","","","","native","S5B,S5N (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Aythya collaris","(Donovan, 1809)","","ring-necked duck","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Aythya","collaris","","","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2011-05-10","Michael Hoebel","iNat:4046933","","7044","BIR","","","","","","","","","","","","","","","",""
"Aythya marila","(Linnaeus, 1761)","","greater scaup","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Aythya","marila","","","","native","S4N (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Bombycilla cedrorum","Vieillot, 1808","","cedar waxwing","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Bombycillidae","","","Bombycilla","cedrorum","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-05-30","Michael Hoebel","iNat:4046864","","7428","BIR","","","","","","","","","","","","","","","",""
"Bonasa umbellus brunnescens","(Linnaeus, 1766)","","ruffed grouse","Animalia","Chordata","Vertebrata","","Aves","","","Galliformes","","","Phasianidae","","","Bonasa","umbellus","","brunnescens","","native","S5 (2015)","","reported","unobserved","1991-04-25","R. Smith","UBC","B015112","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Brachyramphus marmoratus","(Gmelin, 1789)","","marbled murrelet","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Alcidae","","","Brachyramphus","marmoratus","","","","native","S3B,S3N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-12-20","Andrew Simon","iNat:2562765","","4531","BIR","","","","","","","","","","","","","","","",""
"Branta canadensis","(Linnaeus, 1758)","","Canada goose","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Branta","canadensis","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2007-01-10","Shera Street","iNat:2635233","","7089","BIR","","","","","","","","","","","","","","","",""
"Branta hutchinsii","(Richardson, 1832)","","cackling goose","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Branta","hutchinsii","","","","native","S4S5M (2015)","","reported","unobserved","2017-05-07","Nancy Tamblyn","eBird","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Bubo virginianus","(Gmelin, 1788)","","great horned owl","Animalia","Chordata","Vertebrata","","Aves","","","Strigiformes","","","Strigidae","","","Bubo","virginianus","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2018-06-28","Kevin Toomer","iNat:13864466","","20044","BIR","","","","","","","","","","","","","","","",""
"Bucephala albeola","(Linnaeus, 1758)","","bufflehead","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Bucephala","albeola","","","","native","S5B, SNRN (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-02-19","Michael Hoebel","iNat:4046948","","6993","BIR","","","","","","","","","","","","","","","",""
"Bucephala clangula","(Linnaeus, 1758)","","common goldeneye","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Bucephala","clangula","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2012-04-19","B. J. Stacey","iNat:167229","","6990","BIR","","","","","","","","","","","","","","","",""
"Bucephala islandica","(Gmelin, 1789)","","barrow's goldeneye","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Bucephala","islandica","","","","native","S4S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-02-04","Kris Krüg","iNat:2644709","","6994","BIR","","","","","","","","","","","","","","","",""
"Buteo jamaicensis","(Gmelin, 1788)","","red-tailed hawk","Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","Accipitridae","","","Buteo","jamaicensis","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2009-07-27","Cameron Deckert","iNat:19139396","","5212","BIR","","","","","","","","","","","","","","","",""
"Calidris alpina","(Linnaeus, 1758)","","Dunlin","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Calidris","alpina","","","","native","S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2019-05-04","Joan Septembre","iNat:24714336","","3857","BIR","","","","","","","","","","","","","","","",""
"Calidris mauri","Cabanis, 1857","","western sandpiper","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Calidris","mauri","","","","native","S4M (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Calidris virgata","(Gmelin, 1789)","","surfbird","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Calidris","virgata","","","","native","S4M (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-10-19","Michael Hoebel","iNat:4054037","","339592","BIR","","","","","","","","","","","","","","","",""
"Calypte anna","(Lesson, 1829)","","Anna's hummingbird","Animalia","Chordata","Vertebrata","","Aves","","","Caprimulgiformes","","","Trochilidae","","","Calypte","anna","","","","native","S4S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-03-14","Michael Hoebel","iNat:4046916","","6317","BIR","","","","","","","","","","","","","","","",""
"Cardellina pusilla","(Wilson, 1811)","","Wilson’s warbler","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Parulidae","","","Cardellina","pusilla","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-07-15","Michael Hoebel","iNat:4053962","","145276","BIR","","","","","","","","","","","","","","","",""
"Cathartes aura","(Linnaeus, 1758)","","turkey vulture","Animalia","Chordata","Vertebrata","","Aves","","","Cathartiformes","","","Cathartidae","","","Cathartes","aura","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2006-08-14","Karolle Wall","iNat:97172668","","4756","BIR","","","","","","","","","","","","","","","",""
"Catharus guttatus","(Pallas, 1811)","","hermit thrush","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Turdidae","","","Catharus","guttatus","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2013-04-28","Michael Hoebel","iNat:4046977","","12890","BIR","","","","","","","","","","","","","","","",""
"Catharus ustulatus","(Nuttall, 1840)","","Swainson's thrush","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Turdidae","","","Catharus","ustulatus","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-07-07","Andrew Simon","iNat:3641204","","12878","BIR","","","","","","","","","","","","","","","",""
"Cepphus columba","Pallas, 1811","","pigeon guillemot","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Alcidae","","","Cepphus","columba","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2014-05-23","Steve Murray","iNat:149950925","","4415","BIR","","","","","","","","","","","","","","","",""
"Cerorhinca monocerata","Pallas, 1811","","rhinoceros auklet","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Alcidae","","","Cerorhinca","monocerata","","","","native","S4 (2016)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2017-04-22","Michael Hoebel","iNat:19548007","","4553","BIR","","","","","","","","","","","","","","","",""
"Certhia americana","Bonaparte, 1838","","brown creeper","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Certhiidae","","","Certhia","americana","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2011-07-25","lesfreck","iNat:86518607","","7458","BIR","","","","","","","","","","","","","","","",""
"Chaetura vauxi","(Townsend, 1839)","","Vaux’s swift","Animalia","Chordata","Vertebrata","","Aves","","","Caprimulgiformes","","","Apodidae","","","Chaetura","vauxi","","","","native","S5B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Charadrius semipalmatus","(Bonaparte, 1825)","","semi-palmated plover","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Charadriidae","","","Charadrius","semipalmatus","","","","native","S4S5B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Charadrius vociferus","Linnaeus, 1758","","killdeer","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Charadriidae","","","Charadrius","vociferus","","","","native","S4S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-10-16","Sarah Tweedale","iNat:2929529","","4793","BIR","","","","","","","","","","","","","","","",""
"Chen caerulescens","(Linnaeus, 1758)","","snow goose","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Chen","caerulescens","","","","native","S4M (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Chordeiles minor","(J.R. Foster, 1771)","","common nighthawk","Animalia","Chordata","Vertebrata","","Aves","","","Caprimulgiformes","","","Caprimulgidae","","","Chordeiles","minor","","","","native","S4B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-07-28","Andrew Simon","iNat:3767319","","19577","BIR","","","","","","","","","","","","","","","",""
"Chroicocephalus philadelphia","(Ord, 1815)","","Bonaparte's gull","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Laridae","Larinae","","Chroicocephalus","philadelphia","","","","native","S5? (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2012-04-19","B. J. Stacey","iNat:167227","","144502","BIR","","","","","","","","","","","","","","","",""
"Cinclus mexicanus","Swainson, 1827","","American dipper","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Cinclidae","","","Cinclus","mexicanus","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2017-02-01","Christopher King","iNat:5815600","","7643","BIR","","","","","","","","","","","","","","","",""
"Circus hudsonius","(Linnaeus, 1766)","","northern harrier","Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","Accipitridae","","","Circus","hudsonius","","","","native","S4B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2018-07-16","Kevin Toomer","iNat:14433258","","558446","BIR","","","","","","","","","","","","","","","",""
"Cistothorus palustris","(Wilson, A, 1810)","","marsh wren","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Troglodytidae","","","Cistothorus","palustris","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-01-24","Lauren Magner & Andrew Simon","iNat:2616528","","7601","BIR","","","","","","","","","","","","","","","",""
"Clangula hyemalis","(Linnaeus, 1758)","","long-tailed duck","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Clangula","hyemalis","","","","native","S2S3B,S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2022-02-19","Ellyne Geurts","iNat:110922024","","7170","BIR","","","","","","","","","","","","","","","",""
"Colaptes auratus","(Linnaeus, 1758)","","northern flicker","Animalia","Chordata","Vertebrata","","Aves","","","Piciformes","","","Picidae","","","Colaptes","auratus","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-02-12","Lauren Magner & Andrew Simon","iNat:2565721","","18236","BIR","","","","","","","","","","","","","","","",""
"Columba livia domestica","Gmelin, 1789","","rock pigeon","Animalia","Chordata","Vertebrata","","Aves","","","Columbiformes","","","Columbidae","","","Columba","livia","","domestica","","exotic","unlisted","","confirmed","observed","2012-05-12","","VMS","","","2017-02-10","Christian Adler","iNat:5179014","","122767","BIR","","","","","","","","","","","","","","","",""
"Contopus cooperi","(Swainson, 1832)","","olive-sided flycatcher","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Tyrannidae","","","Contopus","cooperi","","","","native","S3S4B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2012-05-20","Michael Hoebel","iNat:4046887","","16110","BIR","","","","","","","","","","","","","","","",""
"Contopus sordidulus","(Sclater, 1859)","","western wood-pewee","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Tyrannidae","","","Contopus","sordidulus","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2020-08-02","Liam Steele","iNat:70325775","","16079","BIR","","","","","","","","","","","","","","","",""
"Corthylio calendula","(Linnaeus, 1766)","","ruby-crowned kinglet","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Regulidae","","","Corthylio","calendula","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-03-26","Kristian Sigvardsen","iNat:2926950","","1289388","BIR","","","","","","","","","","","","","","","",""
"Corvus brachyrhynchos caurinus","Baird, 1858","","northwestern crow","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Corvidae","","","Corvus","brachyrhynchos","","caurinus","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2012-07-23","lesfreck","iNat:86523788","reported as Corvus brachyrhynchos","1290036","BIR","","","","","","","","","","","","","","","",""
"Corvus corax principalis","Linnaeus, 1758","Ridgway, R 1887","common raven","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Corvidae","","","Corvus","corax","","principalis","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-02-12","Lauren Magner & Andrew Simon","iNat:2565259","","8010","BIR","","","","","","","","","","","","","","","",""
"Cyanocitta stelleri","(Gmelin, 1788)","","Steller's jay","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Corvidae","","","Cyanocitta","stelleri","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-03-29","Michael Hoebel","iNat:4046909","","8234","BIR","","","","","","","","","","","","","","","",""
"Cygnus buccinator","Richardson, 1832","","trumpeter swan","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Cygnus","buccinator","","","","native","S4B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2018-01-25","Jen Kovach","iNat:9616415","","6915","BIR","","","","","","","","","","","","","","","",""
"Cygnus olor","(Gmelin, 1789)","","mute swan","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Cygnus","olor","","","","exotic","unlisted","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Cypseloides niger","(Gmelin, 1789)","","black swift","Animalia","Chordata","Vertebrata","","Aves","","","Caprimulgiformes","","","Apodidae","","","Cypseloides","niger","","","","native","S2S3B (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Dendragapus fuliginosus","(Ridgway, 1873)","","sooty grouse","Animalia","Chordata","Vertebrata","","Aves","","","Galliformes","","","Phasianidae","","","Dendragapus","fuliginosus","","","","native","S4 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2017-04-28","Andrew Simon","iNat:6019290","","72797","BIR","","","","","","","","","","","","","","","",""
"Dryobates pubescens","(Linnaeus, 1766)","","downy woodpecker","Animalia","Chordata","Vertebrata","","Aves","","","Piciformes","","","Picidae","","","Dryobates","pubescens","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-03-26","Kristian Sigvardsen","iNat:2926951","","792988","BIR","","","","","","","","","","","","","","","",""
"Dryocopus pileatus","(Linnaeus, 1758)","","pileated woodpecker","Animalia","Chordata","Vertebrata","","Aves","","","Piciformes","","","Picidae","","","Dryocopus","pileatus","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-05-22","Burl Jantzen","iNat:69729558","","17855","BIR","","","","","","","","","","","","","","","",""
"Empidonax difficilis","Baird, 1858","","Pacific-slope flycatcher","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Tyrannidae","","","Empidonax","difficilis","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-06-20","Bridgit Spencer","iNat:2380925","","16598","BIR","","","","","","","","","","","","","","","",""
"Empidonax hammondii","(Xantus de Vesey, 1858)","","Hammond’s flycatcher","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Tyrannidae","","","Empidonax","hammondii","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2023-06-01","Richard Harrigan","iNat:165757864","","16624","BIR","","","","","","","","","","","","","","","",""
"Empidonax traillii","(Audubon, 1828)","","willow flycatcher","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Tyrannidae","","","Empidonax","traillii","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2015-07-15","Michael Hoebel","iNat:4046901","","16611","BIR","","","","","","","","","","","","","","","",""
"Eremophila alpestris","(Linnaeus, 1758)","","horned lark","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Alaudidae","","","Eremophila","alpestris","","","","native","S5?B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2017-09-16","Michael Hoebel","iNat:19548104","","7294","BIR","","","","","","","","","","","","","","","",""
"Euphagus cyanocephalus","(Wagler, 1829)","","Brewer’s blackbird","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Icteridae","","","Euphagus","cyanocephalus","","","","native","S5 (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2023-06-10","Andrew Simon","iNat:166619002","","10325","BIR","","","","","","","","","","","","","","","",""
"Falco columbarius","Linnaeus, 1758","","merlin","Animalia","Chordata","Vertebrata","","Aves","","","Falconiformes","","","Falconidae","","","Falco","columbarius","","","","native","S5 (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
