"Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"Pasiphaea pacifica","Pacific Glass Shrimp","SNR","Not Reviewed","",""
"Pentidotea resecata","Eelgrass Isopod","","","",""
"Pentidotea wosnesenskii","Rockweed isopod","","","",""
"Petrolisthes eriomerus","Flattop Crab","SNR","Not Reviewed","",""
"Phyllolithodes papillosus","Heart Crab","SNR","Not Reviewed","",""
"Placetron wosnessenskii","Scaled Crab","SNR","Not Reviewed","",""
"Polyphemus pediculus","","","","",""
"Pugettia foliatus","","","","",""
"Pugettia gracilis","Graceful Kelp Crab","SNR","Not Reviewed","",""
"Pugettia producta","Northern Kelp Crab","SNR","Not Reviewed","",""
"Rhinolithodes wosnessenskii","Rhinoceros Crab","SNR","Not Reviewed","",""
"Rhynocrangon alata","Saddleback Shrimp","SNR","Not Reviewed","",""
"Scleroplax granulata","Burrow Pea Crab","SNR","Not Reviewed","",""
"Scyra acutifrons","Sharpnose Crab","SNR","Not Reviewed","",""
"Semibalanus cariosus","Thatched Barnacle","","","",""
"Solidobalanus engbergi","","","","",""
"Spirontocaris holmesi","Slender Blade Shrimp","SNR","Not Reviewed","",""
"Spirontocaris lamellicornis","","SNR","Not Reviewed","",""
"Spirontocaris prionota","Deep Blade Shrimp","SNR","Not Reviewed","",""
"Spirontocaris sica","Offshore Blade Shrimp","SNR","Not Reviewed","",""
"Spirontocaris snyderi","Snyder Blade Shrimp","SNR","Not Reviewed","",""
"Telmessus cheiragonus","Helmet Crab","SNR","Not Reviewed","",""
"Thorlaksonius brevirostris","","","","",""
"Tigriopus californicus","","","","",""
"Tortanus discaudatus","","","","",""
"Traskorchestia traskiana","Pacific beach hopper","","","",""
"Tritella pilimana","","","","",""
"Upogebia pugettensis","Blue Mud Shrimp","SNR","Not Reviewed","",""
"Agonopsis vulsa","Northern Spearnose Poacher","SNR","Not Reviewed","",""
"Allocyttus folletti","Oxeye Oreo","SNR","Not Reviewed","",""
"Ameiurus nebulosus","Brown Bullhead","SNA (2025)","Exotic","",""
"Ammodytes hexapterus","Arctic Sand Lance","SNR","Not Reviewed","",""
"Anarrhichthys ocellatus","Wolf Eel","SNR","Not Reviewed","",""
"Anoplagonus inermis","Smooth Alligatorfish","SNR","Not Reviewed","",""
"Anoplarchus insignis","Slender Cockscomb","SNR","Not Reviewed","",""
"Anoplarchus purpurescens","High Cockscomb","SNR","Not Reviewed","",""
"Anoplopoma fimbria","Sablefish","SNR","Not Reviewed","",""
"Aplidium californicum","Pacific Sea Pork","","","",""
"Aplidium solidum","Sea Pork","","","",""
"Apodichthys flavidus","Penpoint Gunnel","SNR","Not Reviewed","",""
"Apodichthys fucorum","Rockweed gunnel","SNR","Not Reviewed","",""
"Apristurus brunneus","Brown Catshark","SNR","Not Reviewed","Data Deficient (2007)",""
"Artedius fenestralis","Padded Sculpin","SNR","Not Reviewed","",""
"Artedius harringtoni","Scalyhead Sculpin","SNR","Not Reviewed","",""
"Artedius lateralis","Smoothhead Sculpin","SNR","Not Reviewed","",""
"Ascidia callosa","","","","",""
"Ascidia ceratodes","","","","",""
"Ascidia columbiana","","","","",""
"Ascidia paratropa","","","","",""
"Asemichthys taylori","Spinynose Sculpin","SNR","Not Reviewed","Data Deficient (1997)",""
"Atheresthes stomias","Arrowtooth Flounder","SNR","Not Reviewed","",""
"Aulorhynchus flavidus","Tubesnout","SNR","Not Reviewed","",""
"Balaenoptera acutorostrata","Common Minke Whale","S4?N (2022)","Yellow","",""
"Bathyagonus alascanus","Gray Starsnout","SNR","Not Reviewed","",""
"Bathyagonus infraspinatus","Spinycheek Starsnout","SNR","Not Reviewed","",""
"Bathyagonus latifrons","Blacktip Poacher","SNR","Not Reviewed","",""
"Bathyagonus leiops","Smootheye Poacher","SNR","Not Reviewed","",""
"Bathyagonus nigripinnis","Blackfin Poacher","SNR","Not Reviewed","",""
"Bathymaster signatus","Searcher","SNR","Not Reviewed","",""
"Bathypera feminalba","","","","",""
"Beringraja binoculata","Big Skate","SNR","Not Reviewed","",""
"Beringraja rhina","Longnose Skate","SNR","Not Reviewed","",""
"Boltenia villosa","Bristly Tunicate","","","",""
"Brachyistius frenatus","Kelp Surfperch","SNR","Not Reviewed","",""
"Brosmophycis marginata","Red Brotula","SNR","Not Reviewed","",""
"Carassius auratus","Goldfish","SNA (2025)","Exotic","",""
"Chelyosoma columbianum","","","","",""
"Chelyosoma productum","Disc-top Tunicate","","","",""
"Chilara taylori","Spotted Cusk-eel","","","",""
"Chirolophis decoratus","Decorated Warbonnet","SNR","Not Reviewed","",""
"Chirolophis nugator","Mosshead Warbonnet","SNR","Not Reviewed","",""
"Chitonotus pugetensis","Roughback Sculpin","SNR","Not Reviewed","",""
"Ciona savignyi","Pacific transparent sea squirt","","","",""
"Citharichthys sordidus","Pacific Sanddab","SNR","Not Reviewed","",""
"Citharichthys stigmaeus","Speckled Sanddab","SNR","Not Reviewed","",""
"Clevelandia ios","Arrow Goby","SNR","Not Reviewed","",""
"Clinocottus acuticeps","Sharpnose Sculpin","SNR","Not Reviewed","",""
"Clinocottus embryum","Calico Sculpin","SNR","Not Reviewed","",""
"Clupea harengus","Atlantic Herring","","","",""
"Clupea pallasii","Pacific Herring","SNR","Not Reviewed","",""
"Cnemidocarpa finmarkiensis","Shiny Red Sea Squirt","","","",""
"Corella inflata","Brooding Transparent Tunicate","","","",""
"Corella willmeriana","Icy Tunicate","","","",""
"Cottus aleuticus","Coastrange Sculpin","S5 (2025)","Yellow","",""
"Cottus asper","Prickly Sculpin","S5 (2025)","Yellow","",""
"Cryptacanthodes aleutensis","Dwarf Wrymouth","SNR","Not Reviewed","",""
"Cymatogaster aggregata","Shiner Surfperch","SNR","Not Reviewed","",""
"Cyprinus carpio","European Carp","SNA (2025)","Exotic","",""
"Cystodytes lobatus","","","","",""
"Dasycottus setiger","Spinyhead Sculpin","SNR","Not Reviewed","",""
"Diaphus theta","California Headlightfish","SNR","Not Reviewed","",""
"Didemnum carnulentum","Pacific White Crust","","","",""
"Distaplia occidentalis","Mushroom Tunicate","","","",""
"Embiotoca lateralis","Striped Surfperch","SNR","Not Reviewed","",""
"Engraulis mordax","Northern Anchovy","SNR","Not Reviewed","",""
"Enhydra lutris","Sea Otter","S3S4 (2022)","Blue","Special Concern (2022)","S1: Special Concern (2009)"
"Enophrys bison","Buffalo Sculpin","SNR","Not Reviewed","",""
"Entosphenus tridentatus","Pacific Lamprey","S5 (2025)","Yellow","",""
"Eopsetta jordani","Petrale Sole","SNR","Not Reviewed","",""
"Eschrichtius robustus","Grey Whale","S3S4 (2023)","No Status","Special Concern / Endangered / (2004)","S1: Special Concern (2005)"
"Eumetopias jubatus","Steller Sea Lion","S3S4B, S4N (2022)","Blue","Special Concern (2013)","S1: Special Concern (2005)"
"Eumicrotremus orbis","Pacific Spiny Lumpsucker","SNR","Not Reviewed","",""
"Gadus chalcogrammus","Alaska Pollock","SNR","Not Reviewed","",""
"Gadus macrocephalus","Pacific Cod","SNR","Not Reviewed","",""
"Gasterosteus aculeatus","Threespine Stickleback","S5 (2025)","Yellow","",""
"Glyptocephalus zachirus","Rex Sole","SNR","Not Reviewed","",""
"Gobiesox maeandricus","Northern Clingfish","SNR","Not Reviewed","",""
"Halocynthia aurantium","Pacific Sea Peach","","","",""
"Halocynthia igaboja","Sea Hedgehog","","","",""
"Hemilepidotus hemilepidotus","Red Irish Lord","SNR","Not Reviewed","",""
"Hemilepidotus spinosus","Brown Irish Lord","SNR","Not Reviewed","",""
"Hexagrammos decagrammus","Kelp Greenling","SNR","Not Reviewed","",""
"Hexagrammos stelleri","Whitespotted Greenling","SNR","Not Reviewed","",""
"Hexanchus griseus","Bluntnose Sixgill Shark","SNR","Not Reviewed","Special Concern (2007)","S1: Special Concern (2009)"
"Hippoglossoides elassodon","Flathead Sole","SNR","Not Reviewed","",""
"Histriophoca fasciata","Ribbon Seal","SNA (2023)","Accidental","",""
"Hydrolagus colliei","Spotted Ratfish","SNR","Not Reviewed","",""
"Hypomesus pretiosus","Surf Smelt","SNR","Not Reviewed","",""
"Hypsagonus mozinoi","Kelp Poacher","SNR","Not Reviewed","",""
"Icelinus borealis","Northern Sculpin","SNR","Not Reviewed","",""
"Icelinus burchami","Dusky Sculpin","SNR","Not Reviewed","",""
"Icelinus filamentosus","Threadfin Sculpin","SNR","Not Reviewed","",""
"Icelinus fimbriatus","Fringed Sculpin","SNR","Not Reviewed","",""
"Icelinus tenuis","Spotfin Sculpin","SNR","Not Reviewed","",""
"Jordania zonope","Longfin Sculpin","SNR","Not Reviewed","",""
"Lagenorhynchus obliquidens","Pacific White-sided Dolphin","S5 (2022)","Yellow","",""
"Lampetra planeri","European Brook Lamprey","","","",""
"Lampetra richardsoni","Western Brook Lamprey","S4 (2025)","Yellow","",""
"Lepidogobius lepidus","Bay Goby","SNR","Not Reviewed","",""
"Lepidopsetta bilineata","Rock Sole","SNR","Not Reviewed","",""
"Lepomis gibbosus","Pumpkinseed","SNA (2025)","Exotic","",""
"Leptoclinus maculatus","Daubed Shanny","SNR","Not Reviewed","",""
"Leptocottus armatus","Pacific Staghorn Sculpin","SNR","Not Reviewed","",""
"Leuroglossus schmidti","Northern Smoothtongue","SNR","Not Reviewed","",""
"Liparis fucensis","Slipskin Snailfish","SNR","Not Reviewed","",""
"Liparis pulchellus","Showy Snailfish","SNR","Not Reviewed","",""
"Lontra canadensis","North American River Otter","S5 (2025)","Yellow","",""
"Lumpenella longirostris","Longsnout Prickleback","SNR","Not Reviewed","",""
"Lumpenus sagitta","Snake Prickleback","SNR","Not Reviewed","",""
"Lycodapus fierasfer","Blackmouth Eelpout","SNR","Not Reviewed","",""
"Lycodapus mandibularis","Pallid Eelpout","SNR","Not Reviewed","",""
"Lycodes brevipes","Shortfin Eelpout","SNR","Not Reviewed","",""
"Lycodes diapterus","Black Eelpout","SNR","Not Reviewed","",""
"Lycodes pacificus","Blackbelly Eelpout","SNR","Not Reviewed","",""
"Lyopsetta exilis","Slender Sole","SNR","Not Reviewed","",""
"Malacocottus kincaidi","Blackfin Sculpin","SNR","Not Reviewed","",""
"Malacocottus zonurus","Darkfin Sculpin","SNR","Not Reviewed","",""
"Mallotus villosus","Atlantic Capelin","SNR","Not Reviewed","",""
"Megaptera novaeangliae","Humpback Whale","S4S5 (2021)","Yellow","Special Concern (2022)","S1: Special Concern (2017)"
"Merluccius productus","Pacific Hake","SNR","Not Reviewed","",""
"Metandrocarpa taylori","Taylor's Social Tunicate","","","",""
"Microgadus proximus","Pacific Tomcod","SNR","Not Reviewed","",""
"Microstomus pacificus","Pacific Dover Sole","SNR","Not Reviewed","",""
"Myoxocephalus polyacanthocephalus","Great Sculpin","SNR","Not Reviewed","",""
"Nautichthys oculofasciatus","Sailfin Sculpin","SNR","Not Reviewed","",""
"Nectoliparis pelagicus","Tadpole Snailfish","SNR","Not Reviewed","",""
"Neogale vison","American Mink","S5 (2024)","Yellow","",""
"Occidentis ayresii","Western River Lamprey","S5? (2025)","Yellow","",""
"Odontopyxis trispinosa","Pygmy Poacher","SNR","Not Reviewed","",""
"Oligocottus maculosus","Tidepool Sculpin","SNR","Not Reviewed","",""
"Oncorhynchus clarkii","Coastal Cutthroat Trout","S4 (2000)","No Status","",""
"Oncorhynchus gorbuscha","Pink Salmon","SNR (2019)","Not Reviewed","",""
"Oncorhynchus keta","Chum Salmon","SNR (2019)","Not Reviewed","",""
"Oncorhynchus kisutch","Coho Salmon","SNR (2019)","Not Reviewed","",""
"Oncorhynchus mykiss","Rainbow Trout","S5 (2011)","Yellow","",""
"Oncorhynchus nerka","Sockeye Salmon","SNR (2019)","Not Reviewed","",""
"Oncorhynchus tshawytscha","Chinook Salmon","SNR (2019)","Not Reviewed","Endangered / Threatened / Special Concern / Data Deficient / (2020)",""
"Ophiodon elongatus","Lingcod","SNR","Not Reviewed","",""
"Orcinus orca","Orca","S2S4 (2024)","No Status","",""
"Oxylebius pictus","Painted Greenling","SNR","Not Reviewed","",""
"Pallasina barbata","Tubesnout poacher","SNR","Not Reviewed","",""
"Paraliparis deani","Prickly Snailfish","SNR","Not Reviewed","",""
"Paricelinus hopliticus","Thornback Sculpin","SNR","Not Reviewed","",""
"Parophrys vetulus","English Sole","SNR","Not Reviewed","",""
"Perophora annectens","","","","",""
"Phoca vitulina richardii","Pacific Harbor Seal","S4S5 (2022)","Yellow","",""
"Phocoena phocoena","Harbour Porpoise","S3S4 (2022)","Blue","Special Concern (2016)","S1: Special Concern (2005)"
"Phocoenoides dalli","Dall's Porpoise","S4S5 (2022)","Yellow","",""
"Pholis clemensi","Longfin gunnel","SNR","Not Reviewed","",""
"Pholis laeta","Crescent Gunnel","SNR","Not Reviewed","",""
"Pholis ornata","Saddleback Gunnel","SNR","Not Reviewed","",""
"Platichthys stellatus","Starry Flounder","SNR","Not Reviewed","",""
"Pleuronichthys coenosus","C-O Sole","SNR","Not Reviewed","",""
"Podothecus accipenserinus","Sturgeon Poacher","SNR","Not Reviewed","",""
"Porichthys notatus","Plainfin Midshipman","SNR","Not Reviewed","",""
"Poroclinus rothrocki","Whitebarred Prickleback","SNR","Not Reviewed","",""
"Psettichthys melanostictus","Sand Sole","SNR","Not Reviewed","",""
"Pseudorca crassidens","False Killer Whale","SNA (2023)","Accidental","",""
"Psychrolutes paradoxus","Tadpole Sculpin","SNR","Not Reviewed","",""
"Psychrolutes sigalutes","Soft Sculpin","SNR","Not Reviewed","",""
"Ptilichthys goodei","Quillfish","SNR","Not Reviewed","",""
"Ptychocheilus oregonensis","Northern Pikeminnow","S5 (2025)","Yellow","",""
"Pyura haustor","Wrinkled Tunicate","","","",""
"Pyura mirabilis","","","","",""
"Radulinus asprellus","Slim Sculpin","SNR","Not Reviewed","",""
"Radulinus boleoides","Darter Sculpin","SNR","Not Reviewed","",""
"Rhacochilus vacca","Pile Surfperch","SNR","Not Reviewed","",""
"Rhamphocottus richardsonii","Grunt Sculpin","SNR","Not Reviewed","",""
"Rhinogobiops nicholsii","Blackeye Goby","SNR","Not Reviewed","",""
"Ronquilus jordani","Northern Ronquil","SNR","Not Reviewed","",""
"Ruscarius meanyi","Puget Sound Sculpin","SNR","Not Reviewed","",""
"Salvelinus confluentus","Bull Trout","S3S4 (2018)","Blue","Special Concern (2012)",""
"Salvelinus fontinalis","Brook Trout","SNA (2025)","Exotic","",""
"Salvelinus malma","Dolly Varden","S4 (2012)","Yellow","",""
"Scorpaenichthys marmoratus","Cabezon","SNR","Not Reviewed","",""
"Sebastes auriculatus","Brown Rockfish","SNR","Not Reviewed","",""
"Sebastes babcocki","Redbanded Rockfish","SNR","Not Reviewed","",""
"Sebastes brevispinus","","","","",""
"Sebastes caurinus","Copper Rockfish","SNR","Not Reviewed","",""
"Sebastes diaconus","Deacon Rockfish","SNR","Not Reviewed","",""
"Sebastes diploproa","Splitnose Rockfish","SNR","Not Reviewed","",""
"Sebastes elongatus","Greenstriped Rockfish","SNR","Not Reviewed","",""
"Sebastes emphaeus","Puget Sound Rockfish","SNR","Not Reviewed","",""
"Sebastes flavidus","Yellowtail Rockfish","SNR","Not Reviewed","",""
"Sebastes maliger","Quillback Rockfish","SNR","Not Reviewed","Threatened (2009)",""
"Sebastes melanops","Black Rockfish","SNR","Not Reviewed","",""
"Sebastes miniatus","Vermilion Rockfish","SNR","Not Reviewed","",""
"Sebastes nebulosus","China Rockfish","SNR","Not Reviewed","",""
"Sebastes nigrocinctus","Tiger Rockfish","SNR","Not Reviewed","",""
"Sebastes paucispinis","Bocaccio","SNR (2002)","Not Reviewed","Endangered (2013)",""
"Sebastes pinniger","Canary Rockfish","SNR","Not Reviewed","Threatened (2007)",""
"Sebastes proriger","Redstripe Rockfish","SNR","Not Reviewed","",""
"Sebastes ruberrimus","Yelloweye Rockfish","SNR","Not Reviewed","Threatened (2020)","S1: Special Concern"
"Sebastes zacentrus","Sharpchin Rockfish","SNR","Not Reviewed","",""
"Sebastolobus alascanus","Shortspine Thornyhead","SNR","Not Reviewed","",""
"Soldatovia polyactocephala","","","","",""
"Spirinchus thaleichthys","Longfin Smelt","S3? (2019)","Blue","",""
"Squalus acanthias","Spiny Dogfish","","","",""
"Squalus suckleyi","North Pacific Spiny Dogfish","SNR","Not Reviewed","Special Concern (2011)",""
"Stenobrachius leucopsarus","Northern Lampfish","SNR","Not Reviewed","",""
"Styela gibbsii","","","","",""
"Synchirus gilli","Manacled Sculpin","SNR","Not Reviewed","",""
"Syngnathus leptorhynchus","Kelp Pipefish","SNR","Not Reviewed","",""
"Thaleichthys pacificus","Eulachon","S2S3 (2004)","Blue","Endangered / Threatened (2011)",""
"Trididemnum alexi","","","","",""
"Triglops macellus","Roughspine Sculpin","SNR","Not Reviewed","",""
"Triglops pingelii","Ribbed Sculpin","SNR","Not Reviewed","",""
"Xiphister atropurpureus","Black Prickleback","SNR","Not Reviewed","",""
"Xiphister mucosus","Rock Eel","SNR","Not Reviewed","",""
"Zalophus californianus","California Sea Lion","S4S5N (2022)","Yellow","",""
"Abietinaria spp.","Coarse Sea Fir Hydroids","","","",""
"Actinostola faeculenta","Hobnail Vase Anemone","","","",""
"Aegina citrea","","","","",""
"Aequorea spp.","Crystal Jellies","","","",""
"Aglaophenia spp.","Ostrich-Plume Hydroids","","","",""
"Anthopleura artemisia","Moonglow Anemone","","","",""
"Anthopleura elegantissima","Aggregating Anemone","","","",""
"Aurelia labiata","Greater Moon Jelly","","","",""
"Balanophyllia elegans","Orange Cup Coral","SNR (2022)","Not Reviewed","",""
"Bougainvillia sp.","","","","",""
"Bythotiara huntsmani","","","","",""
"Caryophyllia alaskensis","","SNR (2022)","Not Reviewed","",""
"Caryophyllia arnoldi","","SNR (2022)","Not Reviewed","",""
"Catablema multicirratum","","","","",""
"Chrysaora fuscescens","Pacific Sea Nettle","","","",""
"Clytia gregaria","Gregarious Jelly","","","",""
"Cribrinopsis fernaldi","","","","",""
"Cyanea capillata","Lion's Mane Jelly","","","",""
"Cyanea ferruginea","Pacific Lion's Mane Jelly","","","",""
"Diadumene lineata","Striped Green Sea Anemone","","","",""
"Ectopleura crocea","tubular hydroid","","","",""
"Ectopleura marina","Pink-mouth Hydroid","","","",""
"Edwardsiella loveni","","","","",""
"Epizoanthus scotinus","Orange Zoanthid","","","",""
"Euphysa spp.","","","","",""
"Eutonina indicans","Umbrella Jelly","","","",""
"Garveia annulata","Orange Hydroid","","","",""
"Halecium densum","","","","",""
"Halipteris willemoesi","Willemoes’s Sea Whip","SNR (2022)","Not Reviewed","",""
"Hydractinia sp.","","","","",""
"Hydrallmania franciscana","","","","",""
"Lafoea dumosa","","","","",""
"Leuckartiara spp.","","","","",""
"Metridium farcimen","Giant Plumose Anemone","","","",""
"Metridium senile","Plumose Anemone","","","",""
"Mitrocoma cellularia","Cross Hydromedusa","","","",""
"Muggiaea sp.","","","","",""
"Nanomia bijuga","Common Siphonophore","","","",""
"Neoturris breviconis","","","","",""
"Obelia longissima","Black Sea Hydrozoan","","","",""
"Obelia spp.","Wine-glass Hydroids","","","",""
"Orthopyxis sp.","","","","",""
"Pachycerianthus fimbriatus","Fringed Cerianthid","","","",""
"Paracyathus stearnsii","brown cup coral","SNR (2022)","Not Reviewed","",""
"Peachia quinquecapitata","Twelve-tentacled Parasitic Anemone","","","",""
"Phacellophora camtschatica","Egg-yolk Jelly","","","",""
"Plumularia setacea","","","","",""
"Polyorchis penicillatus","Red-eye Medusa","","","",""
"Ptilosarcus gurneyi","Orange Sea Pen","SNR (2022)","Not Reviewed","",""
"Ptychogastria polaris","","","","",""
"Rhizocaulus verticillatus","horsetail hydroid","","","",""
"Rhizorhagium roseum","","","","",""
"Sarsia tubulosa","","","","",""
"Schuchertinia milleri","","","","",""
"Selaginopsis sp.","","","","",""
"Sertularella spp.","","","","",""
"Similiclava nivea","","","","",""
"Solmissus spp.","","","","",""
"Stomphia coccinea","Swimming Anemone","","","",""
"Stomphia didemon","Apple Anemone","","","",""
