scientificName,scientificNameAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,variety,subspecies,hybrid,nameStatus,iNaturalistTaxonId,iNaturalistTaxonName,linkName,residencyStatus,FLAG
Argis alaskensis,,Alaska Argid,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Crangonoidea,Crangonidae,,,Argis,alaskensis,,,,accepted,459464,Argis alaskensis,Argis alaskensis,NA,
Armina californica,Cooper,Striped Nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Arminina,,Arminoidea,Arminidae,,,Armina,californica,,,,accepted,47499,Armina californica,Armina californica,NA,
Artedius fenestralis,D.S. Jordan & C.H. Gilbert,Padded Sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Psychrolutidae,,,Artedius,fenestralis,,,,accepted,117527,Artedius fenestralis,Artedius fenestralis,NA,
Artedius harringtoni,Starks,Scalyhead Sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Psychrolutidae,,,Artedius,harringtoni,,,,accepted,117528,Artedius harringtoni,Artedius harringtoni,NA,
Artedius lateralis,Girard,Smoothhead Sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Psychrolutidae,,,Artedius,lateralis,,,,accepted,117529,Artedius lateralis,Artedius lateralis,NA,
Ascidia callosa,,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,callosa,,,,accepted,566446,Ascidia callosa,Ascidia callosa,NA,
Ascidia ceratodes,Huntsman,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,ceratodes,,,,accepted,344919,Ascidia ceratodes,Ascidia ceratodes,NA,
Ascidia columbiana / A. callosa 566446,Huntsman / Stimpson,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,columbiana,,,,accepted,428617,Ascidia columbiana,Ascidia columbiana,NA,
Ascidia paratropa,Huntsman,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,paratropa,,,,accepted,415129,Ascidia paratropa,Ascidia paratropa,NA,
Asemichthys taylori,Gilbert,Spinynose Sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Psychrolutidae,,,Asemichthys,taylori,,,,accepted,172639,Asemichthys taylori,Asemichthys taylori,NA,
Astarte esquimalti,,Wavy-Line Astarte,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Carditida,,,Crassatelloidea,Astartidae,Astartinae,,Astarte,esquimalti,,,,accepted,1209944,Astarte esquimalti,Astarte esquimalti,NA,
Atalodoris jannae,Millen,Janna's Dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Atalodoris,jannae,,,,unaccepted,1364199,Atalodoris jannae,Atalodoris jannae,NA,
Atheresthes stomias,Jordan & Gilbert,Arrowtooth Flounder,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Carangiformes,Pleuronectoidei,,,Pleuronectidae,Atheresthinae,,Atheresthes,stomias,,,,accepted,117543,Atheresthes stomias,Atheresthes stomias,NA,
Aulorhynchus flavidus,T.N. Gill,Tubesnout,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Gasterosteoidei,,,Aulorhynchidae,,,Aulorhynchus,flavidus,,,,accepted,117568,Aulorhynchus flavidus,Aulorhynchus flavidus,NA,
Aurelia labiata,L.,Greater Moon Jelly,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Ulmaridae,Aureliinae,,Aurelia,labiata,,,,accepted,130235,Aurelia labiata,Aurelia labiata,NA,
Balaenoptera acutorostrata,Lacépède,Common Minke Whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,,Balaenopteridae,,,Balaenoptera,acutorostrata,,,,accepted,41550,Balaenoptera acutorostrata,Balaenoptera acutorostrata,NA,
Balanophyllia elegans,Verrill,Orange Cup Coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Dendrophylliidae,,,Balanophyllia,elegans,,,,accepted,51799,Balanophyllia elegans,Balanophyllia elegans,NA,
Balanus crenatus,Bruguière,Wrinkled Barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,crenatus,,,,accepted,117672,Balanus crenatus,Balanus crenatus,NA,
Balanus glandula,Darwin,Pacific Acorn Barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,,,,accepted,81610,Balanus glandula,Balanus glandula,NA,
Balanus nubilus,Darwin,Giant Acorn Barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,nubilus,,,,accepted,49127,Balanus nubilus,Balanus nubilus,NA,
Balanus rostratus,Hoek,Rostrate Barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,rostratus,,,,accepted,782656,Balanus rostratus,Balanus rostratus,NA,
Bankia setacea,Tryon,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,,Pholadoidea,Teredinidae,Bankiinae,,Bankia,setacea,,,,accepted,347368,Bankia setacea,Bankia setacea,NA,
Barentsia sp.,Hincks,,Animalia,Entoprocta,,,,,,,,,,Barentsiidae,,,Barentsia,,,,,accepted,211513,Barentsia,Barentsia,NA,
Bathyagonus alascanus,,Gray Starsnout,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Agonidae,Bathyagoninae,,Bathyagonus,alascanus,,,,accepted,214883,Bathyagonus alascanus,Bathyagonus alascanus,NA,
Bathyagonus infraspinatus,Gilbert,Spinycheek Starsnout,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Agonidae,Bathyagoninae,,Bathyagonus,infraspinatus,,,,accepted,214884,Bathyagonus infraspinatus,Bathyagonus infraspinatus,NA,
Bathyagonus latifrons,,Blacktip Poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Agonidae,Bathyagoninae,,Bathyagonus,latifrons,,,,accepted,1667853,Bathyagonus latifrons,Bathyagonus latifrons,NA,
Bathyagonus leiops,,Smootheye Poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Agonidae,Bathyagoninae,,Bathyagonus,leiops,,,,accepted,1667856,Bathyagonus leiops,Bathyagonus leiops,NA,
Bathyagonus nigripinnis,,Blackfin Poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Cottoidei,,,Agonidae,Bathyagoninae,,Bathyagonus,nigripinnis,,,,accepted,214885,Bathyagonus nigripinnis,Bathyagonus nigripinnis,NA,
Bathymaster signatus,,Searcher,Animalia,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Perciformes,Zoarcoidei,,,Bathymasteridae,,,Bathymaster,signatus,,,,accepted,214891,Bathymaster signatus,Bathymaster signatus,NA,
Bathypera feminalba,Young & Vazquez,,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Pyuridae,,,Bathypera,feminalba,,,,accepted,800127,Bathypera feminalba,Bathypera feminalba,NA,
Beringius crebricostatus,,,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Buccinoidea,Buccinidae,Beringiinae,,Beringius,crebricostatus,,,,accepted,1293973,Beringius crebricostatus,Beringius crebricostatus,NA,
Beringraja binoculata,Girard,Big Skate,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,,Rajiformes,,,,Rajidae,,,Beringraja,binoculata,,,,accepted,607477,Beringraja binoculata,Beringraja binoculata,NA,
Beringraja rhina,Jordan & Gilbert,Longnose Skate,Animalia,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,,Rajiformes,,,,Rajidae,,,Caliraja,rhina,,,,unaccepted,1433668,Caliraja rhina,Caliraja rhina,NA,
Beroe spp.,Browne,Cigar Comb Jellies,Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,,,,,accepted,51507,Beroe,Beroe,NA,
Berryteuthis magister,,Schoolmaster Armhook Squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Oegopsida,,,Onychoteuthoidea,Gonatidae,,,Berryteuthis,magister,,,,accepted,432390,Berryteuthis magister,Berryteuthis magister,NA,
Bolinopsis infundibulum,Müller,Common Northern Comb Jelly,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,,,,accepted,492705,Bolinopsis infundibulum,Bolinopsis infundibulum,NA,
Boltenia villosa,Stimpson,Bristly Tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Pyuridae,,,Boltenia,villosa,,,,accepted,194568,Boltenia villosa,Boltenia villosa,NA,
Bopyroides hippolytes,Kroyer,,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Epicaridea,,Bopyroidea,Bopyridae,Bopyrinae,,Bopyroides,hippolytes,,,,accepted,873867,Bopyroides hippolytes,Bopyroides hippolytes,NA,
Boreoberthella chacei,J.Q. Burch,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Pleurobranchida,,,Pleurobranchoidea,Pleurobranchidae,,,Boreoberthella,chacei,,,,unaccepted,1532046,Boreoberthella chacei,Boreoberthella chacei,NA,
Bougainvillia sp.,Lesson,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Bougainvilliidae,,,Bougainvillia,,,,,accepted,247135,Bougainvillia,Bougainvillia,NA,
