"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","","","3910118","iNaturalist","","Andrew Simon","","",2016-08-17,"2016","08","17","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8697881567","-123.390455246","192","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","","","72865129","iNaturalist","","Andrew Simon","","",2021-04-03,"2021","04","03","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8597969949","-123.3612340478","35","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","","","72865134","iNaturalist","","Andrew Simon","","",2021-04-03,"2021","04","03","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8597969949","-123.3612340478","35","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","","","102592147","iNaturalist","","Andrew Simon","","",2021-12-05,"2021","12","05","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8605344396","-123.3662736903","148","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","","","124073105","iNaturalist","","Dave Zeuss Cochrane","","",2022-06-24,"2022","06","24","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","49.0132277439","-123.5742363464","2","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","","","126527491","iNaturalist","","David Clements","","",2022-07-11,"2022","07","11","HumanObservation","","","Galiano Island","British Columbia","Canada","CA","48.8850054843","-123.3159005849","1953","","","","","","","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:254","Pacific Marine Life Survey Dive Records","","Charlie Gibbs","","",1996-09-28,"1996","09","28","","Shaw's Landing","","Galiano Island","British Columbia","Canada","CA","48.898082","-123.331018","100","","","","","","84","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:258","Pacific Marine Life Survey Dive Records","","Charlie Gibbs","","",1996-09-28,"1996","09","28","","Bodega, off Bodega Ridge","","Galiano Island","British Columbia","Canada","CA","48.955","-123.54","100","","","","","","63","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:274","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",1999-05-04,"1999","05","04","","Collinson Point","","Galiano Island","British Columbia","Canada","CA","48.86","-123.35","100","","","","","","75","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:282","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",1999-10-02,"1999","10","02","","Retreat Cove, west of","","Galiano Island","British Columbia","Canada","CA","48.94167","-123.51333","100","","","","","","92","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:302","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-06-30,"2006","06","30","","Lighthouse Bay","","Galiano Island","British Columbia","Canada","CA","49.01333","-123.58333","100","","","","","","56","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:314","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-09-28,"2006","09","28","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","62","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:322","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-09-29,"2006","09","29","","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","82","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:330","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-11-11,"2006","11","11","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","78","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:334","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-11-11,"2006","11","11","","Spanish Hills wall","","Galiano Island","British Columbia","Canada","CA","48.995018","-123.584696","100","","","","","","80","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:338","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-11-18,"2006","11","18","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","89","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:343","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2006-11-18,"2006","11","18","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","66","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:350","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-08-20,"2007","08","20","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","67","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:357","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-09-29,"2007","09","29","","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","69","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:363","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-10-14,"2007","10","14","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","92","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:368","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-10-14,"2007","10","14","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","81","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:373","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-10-21,"2007","10","21","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","86","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:378","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2007-10-21,"2007","10","21","","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","75","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:418","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-03-01,"2008","03","01","","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","96","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:427","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-03-01,"2008","03","01","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","102","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:458","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-04-27,"2008","04","27","","Mathews Point","","Galiano Island","British Columbia","Canada","CA","48.86123","-123.32878","100","","","","","","89","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:478","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-05-30,"2008","05","30","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","54","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:491","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-06-21,"2008","06","21","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","76","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:495","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-06-21,"2008","06","21","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","76","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:505","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-07-19,"2008","07","19","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","52","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:511","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-07-19,"2008","07","19","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","77","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:516","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-08-23,"2008","08","23","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","102","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:521","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-08-29,"2008","08","29","","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","85","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:529","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-09-19,"2008","09","19","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","137","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:536","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-05,"2008","10","05","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","85","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:540","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-06,"2008","10","06","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","63","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:549","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-06,"2008","10","06","","Race Point","","Galiano Island","British Columbia","Canada","CA","49.01283","-123.584794","100","","","","","","67","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:551","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-07,"2008","10","07","","Dionisio Bay","","Galiano Island","British Columbia","Canada","CA","49.01333","-123.575","100","","","","","","88","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:556","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-09,"2008","10","09","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","72","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:562","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-09,"2008","10","09","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","83","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:567","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2008-10-10,"2008","10","10","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","104","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:586","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-01-03,"2009","01","03","","Galiano Wall East","","Galiano Island","British Columbia","Canada","CA","48.9498","-123.52996","100","","","","","","81","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:592","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-01-04,"2009","01","04","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","81","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:629","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-03-19,"2009","03","19","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","71","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:642","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-03-20,"2009","03","20","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","68","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:651","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-03-20,"2009","03","20","","Dionisio Bay","","Galiano Island","British Columbia","Canada","CA","49.01333","-123.575","100","","","","","","56","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:673","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-04-11,"2009","04","11","","Alcala Point","","Galiano Island","British Columbia","Canada","CA","49.002312","-123.590188","100","","","","","","60","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:683","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-04-13,"2009","04","13","","Alcala Point Reefs","","Galiano Island","British Columbia","Canada","CA","49.005","-123.59","100","","","","","","71","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:686","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-05-16,"2009","05","16","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","78","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:696","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-05-30,"2009","05","30","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","92","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:709","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-06-12,"2009","06","12","","Spanish Hills Store","","Galiano Island","British Columbia","Canada","CA","48.99","-123.58","100","","","","","","84","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:713","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-06-12,"2009","06","12","","Dionisio Reef","","Galiano Island","British Columbia","Canada","CA","49.015","-123.57833","100","","","","","","74","","present","","","","","unlisted","unlisted","","","","","","",""
"Alaria marginata","Postels & Ruprecht",124814,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","","","","Alariaceae","Alaria","","marginata","","species","PMLS","","PMLS2021:718","Pacific Marine Life Survey Dive Records","","Andy Lamb","","",2009-07-04,"2009","07","04","","Alcala Point","","Galiano Island","British Columbia","Canada","CA","49.002312","-123.590188","100","","","","","","95","","present","","","","","unlisted","unlisted","","","","","","",""
