Name,decimalLatitude,decimalLongitude,Note
GSB,48.98447547,-123.5585713,
HSB,48.98444345,-123.5584246,
ASH,48.89123526,-123.3751403,
BSH,48.89067326,-123.3753135,
SHBV1,48.89051811,-123.3756723,
SHBV2,48.88922025,-123.3758749,
SHBV3,48.88796054,-123.3762501,
CSH,48.89019465,-123.3760192,
DSH,48.88964077,-123.3759166,
ESH,48.88923761,-123.3764887,
FSH,48.8884637,-123.3761814,
GSH,48.88787135,-123.3761348,
ASW,48.91796993,-123.3977702,
BSW,48.91749728,-123.3966275,
SWBV1,48.91797597,-123.3978567,
SWBV2,48.91756559,-123.396719,
SWBV3,48.91683418,-123.394892,
CSW,48.91654006,-123.394337,
DSW,48.916731,-123.3947396,
ESW,48.91695698,-123.3954415,
FSW,48.91711489,-123.3955496,
ATAP,48.91574495,-123.4242871,
BTAP,48.91546567,-123.4240095,
TAPBV1,48.91571604,-123.4237029,
TAPBV2,48.91616539,-123.4240122,
TAPBV3,48.91571059,-123.42412,
CTAP,48.9157074,-123.4239373,
DTAP,48.91555863,-123.4233509,
ETAP,48.91590362,-123.4236198,
FTAP,48.91567597,-123.4237121,
