"","Taxon","Taxon Author","Subtaxon Author","Common Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial Status","National Status","Reporting Status","Observation","Collected/Reported (y-m-d)","Collector/Source","Collection/List","Accession Number","GBIF ID","First Observed","Observer","iNaturalist Link","Notes","ID","Stats Code"
"11","Alaria marginata","Postels & Ruprecht","","winged kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Alariaceae","","","Alaria","marginata","","","","unlisted","unlisted","","confirmed","observed","1996-09-28","Andy Lamb & Donna Gibbs","PMLS","","","2016-07-18","Andrew Simon","https://www.inaturalist.org/observations/3701137","common and has been recorded from here","124814","ALG"
"12","Amphora sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Thalassiophysales","","","Catenulaceae","","","Amphora","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-07-21","Mark Webber","https://www.inaturalist.org/observations/4874677","","325558","ALG"
"13","Analipus japonicus","(Harvey) M.J.Wynne","","bottlebrush seaweed","Chromista","Ochrophyta","","","Phaeophyceae","","","Ectocarpales","","","Chordariaceae","","","Analipus","japonicus","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25860485","","130230","ALG"
"14","Arachnoidiscus schmidtii","Hajós","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Arachnoidiscales","","","Arachnoidiscaceae","","","Arachnoidiscus","schmidtii","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-01-31","Mark Webber","https://www.inaturalist.org/observations/4874715","","521732","ALG"
"15","Asterionellopsis glacialis","(Castracane) Round","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae","","Fragilariales","","","Fragilariaceae","","","Asterionellopsis","glacialis","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-25","Mark Webber","https://www.inaturalist.org/observations/4848898","","428503","ALG"
"16","Asteromphalus heptactis","(Brébisson) Ralfs","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Asterolamprales","","","Asterolampraceae","","","Asteromphalus","heptactis","","","","unlisted","unlisted","","new 2007","observed","","","","","","2007-07-13","Mark Webber","https://www.inaturalist.org/observations/4874751","","521735","ALG"
"17","Attheya longicornis","(Gardner & Crawford, 1994)","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Attheyaceae","","","Attheya","","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-07-12","Mark Webber","https://www.inaturalist.org/observations/40715776","","988154","ALG"
"18","Attheya septentrionalis","(Østrup) R.M.Crawford","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Attheyaceae","","","Attheya","","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-12-16","Mark Webber","https://www.inaturalist.org/observations/9291446","","623138","ALG"
"19","Aulacodiscus sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Aulacodiscaceae","","","Aulacodiscus","","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-12-29","Mark Webber","https://www.inaturalist.org/observations/4874758","","521736","ALG"
"20","Biddulphia antediluviana","(Ehrenberg) Van Heurck","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Biddulphiales","","","Biddulphiaceae","","","Biddulphia","","","","","unlisted","unlisted","","new 2011","observed","","","","","","2011-01-05","Mark Webber","https://www.inaturalist.org/observations/4876139","","521743","ALG"
"21","Biddulphia biddulphiana","(J.E. Smith) Boyer","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Biddulphiales","","","Biddulphiaceae","","","Biddulphia","biddulphiana","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-07-19","Mark Webber","https://www.inaturalist.org/observations/4876149","","372546","ALG"
"22","Cerataulina pelagica","(Cleve) Hendey","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Hemiaulales","","","Hemiaulaceae","","","Cerataulina","pelagica","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-07-11","Mark Webber","https://www.inaturalist.org/observations/9290781","","448296","ALG"
"23","Chaetoceros affinis","Lauder","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","affinis","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-28","Mark Webber","https://www.inaturalist.org/observations/4876445","","423795","ALG"
"24","Chaetoceros concavicornis","L.A. Mangin","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","concavicornis","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-13","Mark Webber","https://www.inaturalist.org/observations/4876451","","521748","ALG"
"25","Chaetoceros curvisetus","Cleve","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","curvisetus","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-02","Mark Webber","https://www.inaturalist.org/observations/4876455","","504135","ALG"
"26","Chaetoceros decipiens","Cleve","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","decipiens","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-11-09","Mark Webber","https://www.inaturalist.org/observations/4876188","","446735","ALG"
"27","Chaetoceros didymus","Ehrenberg","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","didymus","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-01","Mark Webber","https://www.inaturalist.org/observations/4849241","","448287","ALG"
"28","Chaetoceros laciniosus","F. Schütt","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","laciniosus","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-08-11","Mark Webber","https://www.inaturalist.org/observations/4876214","","521745","ALG"
"29","Chaetoceros lorenzianus","Grunow","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","lorenzianus","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-11-15","Mark Webber","https://www.inaturalist.org/observations/4876441","","521747","ALG"
"30","Chaetoceros radicans","F. Schütt","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","radicans","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-21","Mark Webber","https://www.inaturalist.org/observations/4876457","","521749","ALG"
"31","Chaetoceros socialis","H.S. Lauder","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","socialis","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-11-15","Mark Webber","https://www.inaturalist.org/observations/4876466","","411126","ALG"
"32","Cocconeis sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Acnanthales","","","Cocconeidaceae","","","Cocconeis","","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-19","Mark Webber","https://www.inaturalist.org/observations/5197578","","339306","ALG"
"33","Colpomenia peregrina","Sauvageau","","round brown bag","Chromista","Ochrophyta","","","Phaeophyceae","","","Scytosiphonales","","","Scytosiphonaceae","","","Colpomenia","peregrina","","","","unlisted","unlisted","","confirmed","observed","2006-09-28","Andy Lamb & Donna Gibbs","PMLS","","","2015-08-28","Lauren Magner","https://www.inaturalist.org/observations/3734842","","129737","ALG"
"34","Corethron hystrix","Hensen","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Corethrales","","","Corethraceae","","","Corethron","hystrix","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-06","Mark Webber","https://www.inaturalist.org/observations/49989060","","484134","ALG"
"35","Coscinodiscus granii","L.F. Gough","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Coscinodiscaceae","","","Coscinodiscus","granii","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-08-02","Mark Webber","https://www.inaturalist.org/observations/9291001","","570485","ALG"
"36","Coscinodiscus radiatus","Ehrenberg","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Coscinodiscaceae","","","Coscinodiscus","radiatus","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-12-15","Mark Webber","https://www.inaturalist.org/observations/40704549","","424382","ALG"
"37","Coscinodiscus wailesii","Gran & Angst 1931","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Coscinodiscaceae","","","Coscinodiscus","wailesii","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-09-18","Mark Webber","https://www.inaturalist.org/observations/44884072","","549788","ALG"
"38","Costaria costata","(C. Agardh) De A. Saunders","","seersucker kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Laminariaceae","","","Costaria","costata","","","","unlisted","unlisted","","confirmed","observed","1993-05-09","Andy Lamb & Donna Gibbs","PMLS","","","2017-04-08","Tyrel Froese","https://www.inaturalist.org/observations/5620533","","125877","ALG"
"39","Cyclotella sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Thalassiosirales","","","Stephanodiscaceae","","","Cyclotella","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-24","Mark Webber","https://www.inaturalist.org/observations/49991081","","345199","ALG"
"40","Cylindrotheca closterium","(Ehrenberg) Reimann & J.C.Lewin","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Bacillariales","","","Bacillariaceae","","","Cylindrotheca","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-11","Mark Webber","https://www.inaturalist.org/observations/50303688","","203739","ALG"
"41","Cymathaere triplicata","(Postels & Ruprecht) J.Agardh","","three-ribbed kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Laminariaceae","","","Cymathaere","","","","","unlisted","unlisted","","reported","unobserved","2008-08-29","Andy Lamb & Donna Gibbs","PMLS","","","","","","Possible, no photo to check","429947","ALG"
"42","Cymbella sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Cymbellales","","","Cymbellaceae","","","Cymbella","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-10","Mark Webber","https://www.inaturalist.org/observations/5197569","","123878","ALG"
"43","Dactyliosolen fragilissimus","(Bergon) Hasle","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Rhizosoleniales","","","Rhizosoleniaceae","","","Dactyliosolen","fragilissimus","","","","unlisted","unlisted","","new 2020","observed","","","","","","2020-04-25","Mark Webber","https://www.inaturalist.org/observations/50047033","","429201","ALG"
"44","Desmarestia aculeata","(Linnaeus) J.V.Lamouroux","","wiry acid weed","Chromista","Ochrophyta","","","Phaeophyceae","","","Desmarestiales","","","Desmarestiaceae","","","Desmarestia","","","","","unlisted","unlisted","","reported","unobserved","2008-02-16","Andy Lamb & Donna Gibbs","PMLS","","","","","","Possible, no photo to check","182896","ALG"
"45","Desmarestia herbacea","(Turner) J.V.Lamouroux","","colour changer","Chromista","Ochrophyta","","","Phaeophyceae","","","Desmarestiales","","","Desmarestiaceae","","","Desmarestia","herbacea","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-07-08","Shera Street","http://www.inaturalist.org/observations/2635150","","345459","ALG"
"46","Desmarestia ligulata","(Stackhouse) J.V. Lamouroux","","broad acid weed","Chromista","Ochrophyta","","","Phaeophyceae","","","Desmarestiales","","","Desmarestiaceae","","","Desmarestia","","","","","unlisted","unlisted","","reported","unobserved","1994-09-10","Andy Lamb & Donna Gibbs","PMLS","","","","","","Possible, no photo to check","328357","ALG"
"47","Desmarestia viridis","(O.F. Müller) J.V. Lamouroux","","stringy acid weed","Chromista","Ochrophyta","","","Phaeophyceae","","","Desmarestiales","","","Desmarestiaceae","","","Desmarestia","viridis","","","","unlisted","unlisted","","confirmed","observed","1999-05-05","Andy Lamb & Donna Gibbs","PMLS","","","2017-04-08","Tyrel Froese","https://www.inaturalist.org/observations/5620551","","182892","ALG"
"48","Detonula pumila","(Castracane) Gran","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Thalassiosirales","","","Thalassiosiraceae","","","Detonula","pumila","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/5197581","","468053","ALG"
"49","Dictyocha crux","Ehrenberg","","golden alga","Chromista","Ochrophyta","","","Chrysophyceae","","","Dictyochales","","","Dictyochaceae","","","Dictyocha","crux","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-07-13","Mark Webber","https://www.inaturalist.org/observations/5197588","","534455","ALG"
"50","Dictyocha fibula","Ehrenberg","","golden alga","Chromista","Ochrophyta","","","Chrysophyceae","","","Dictyochales","","","Dictyochaceae","","","Dictyocha","fibula","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-01-20","Mark Webber","https://www.inaturalist.org/observations/4849190","","424389","ALG"
"51","Dictyocha speculum","Ehrenberg","","golden alga","Chromista","Ochrophyta","","","Chrysophyceae","","","Dictyochales","","","Dictyochaceae","","","Dictyocha","","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-19","Mark Webber","https://www.inaturalist.org/observations/48042848","","473993","ALG"
"52","Dictyota binghamiae","J.Agardh","","mermaid's gloves","Chromista","Ochrophyta","","","Phaeophyceae","","","Dictyotales","","","Dictyotaceae","","","Dictyota","","","","","unlisted","unlisted","","reported","unobserved","1999-05-04","Andy Lamb & Donna Gibbs","PMLS","","","","","","Possible, no photo to check","124829","ALG"
"53","Diploneis sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Naviculales","","","Diploneidaceae","","","Diploneis","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-22","Mark Webber","https://www.inaturalist.org/observations/50195051","","345801","ALG"
"54","Ditylum brightwellii","(T. West) Grunow","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Lithodesmidales","","","Lithodesmiaceae","","","Ditylum","brightwellii","","","","unlisted","unlisted","","new 2011","observed","","","","","","2011-11-19","Mark Webber","https://www.inaturalist.org/observations/4848365","","424387","ALG"
"55","Ectocarpus sp.","","","brown tuft","Chromista","Ochrophyta","","","Phaeophyceae","","","Ectocarpales","","","Ectocarpaceae","","","Ectocarpus","","","","","unlisted","unlisted","","reported","unobserved","2006-06-30","Andy Lamb & Donna Gibbs","PMLS","","","","","","","182843","ALG"
"56","Ephemera cf plana","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Bacillariales","","","Bacillariaceae","","","Ephemera","","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-07-19","Mark Webber","https://www.inaturalist.org/observations/4856515","","","ALG"
"57","Eucampia zodiacus","Ehrenberg","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Hemiaulales","","","Hemiaulaceae","","","Eucampia","zodiacus","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-23","Mark Webber","https://www.inaturalist.org/observations/4848935","","468045","ALG"
"58","Eupyxidicula turris","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Archaegladiopsophycidae","","Stephanopyxales","","","Stephanopyxidaceae","","","Eupyxidicula","turris","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/4848947","","1268528","ALG"
"59","Fragilaria capucina","Desmazières","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae","","Fragilariales","","","Fragilariaceae","","","Fragilaria","capucina","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-20","Mark Webber","https://www.inaturalist.org/observations/5197628","","345512","ALG"
"60","Fragilariopsis cf oceanica","(Cleve) Hasle","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Bacillariales","","","Bacillariaceae","","","Fragilariopsis","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-24","Mark Webber","https://www.inaturalist.org/observations/5197620","","","ALG"
"61","Fucus distichus","L.","","rockweed","Chromista","Ochrophyta","","","Phaeophyceae","","","Fucales","","","Fucaceae","","","Fucus","distichus","","","","unlisted","unlisted","","confirmed","observed","1994-09-10","Andy Lamb & Donna Gibbs","PMLS","","","2014-02-11","lhurteau","https://www.inaturalist.org/observations/16788084","syn. Fucus distichus ssp. evanescens","69155","ALG"
"62","Gomphonema acuminatum","Ehrenberg","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Cymbellales","","","Gomphonemataceae","","","Gomphonema","acuminatum","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-21","Mark Webber","https://www.inaturalist.org/observations/9291305","","333685","ALG"
"63","Gomphonema sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Cymbellales","","","Gomphonemataceae","","","Gomphonema","","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-21","Mark Webber","https://www.inaturalist.org/observations/4849029","","123886","ALG"
"64","Guinardia delicatula","(Cleve) Hasle","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Rhizosoleniales","","","Rhizosoleniaceae","","","Guinardia","delicatula","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-07-21","Mark Webber","https://www.inaturalist.org/observations/4873172","","429202","ALG"
"65","Guinardia striata","(Stolterfoth) Hasle","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Rhizosoleniales","","","Rhizosoleniaceae","","","Guinardia","striata","","","","unlisted","unlisted","","new 2007","observed","","","","","","2007-01-23","Mark Webber","https://www.inaturalist.org/observations/4873173","","416666","ALG"
"66","Halamphora coffaeiformis","(C. Agardh) Kützing","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Thalassiophysales","","","Catenulaceae","","","Amphora","coffaeiformis","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-19","Mark Webber","https://www.inaturalist.org/observations/4874695","","521731","ALG"
"67","Hincksia sp.","","","brown tuft","Chromista","Ochrophyta","","","Phaeophyceae","","","Ectocarpales","","","Acinetosporaceae","","","Hincksia","","","","","unlisted","unlisted","","reported","unobserved","2006-06-30","Andy Lamb & Donna Gibbs","PMLS","","","","","","","372715","ALG"
"68","Hobaniella longicruris","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","incertae sedis","","","incertae sedis","","","Hobaniella","longicruris","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/50022381","","1269705","ALG"
"69","Isthmia nervosa","Kützing","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Biddulphiales","","","Biddulphiaceae","","","Isthmia","nervosa","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-07-20","Mark Webber","https://www.inaturalist.org/observations/5197632","","348140","ALG"
"70","Laminaria setchellii","P.C.Silva","","split kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Laminariaceae","","","Laminaria","","","","","unlisted","unlisted","","reported","unobserved","2008-04-27","Andy Lamb & Donna Gibbs","PMLS","","","","","","No UBC accession or iNat record to check, but species distribution includes Galiano; authority added","81896","ALG"
"71","Leathesia marina","(Lyngbye) Decaisne","","sea cauliflower","Chromista","Ochrophyta","","","Phaeophyceae","","","Ectocarpales","","","Chordariaceae","","","Leathesia","marina","","","","unlisted","unlisted","","new 2015","observed","","","","","","2015-08-28","Lauren Magner","http://www.inaturalist.org/observations/3636580","","502380","ALG"
"72","Leptocylindrus danicus","Cleve","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Leptocylindraceae","","","Leptocylindrus","danicus","","","","unlisted","unlisted","","new 2012","observed","","","","","","2012-08-05","Mark Webber","https://www.inaturalist.org/observations/50001446","","521678","ALG"
"73","Leptocylindrus minimus","Gran","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Leptocylindraceae","","","Leptocylindrus","minimus","","","","unlisted","unlisted","","new 2012","observed","","","","","","2012-07-30","Mark Webber","https://www.inaturalist.org/observations/4849113","","469827","ALG"
"74","Lessoniopsis littoralis","(Farlow & Setchell ex Tilden) Reinke","","strap kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Lessoniaceae","","","Lessoniopsis","","","","","unlisted","unlisted","","reported","unobserved","1996-02-24","Andy Lamb & Donna Gibbs","PMLS","","","","","","species distribution includes San Juan Islands so is plausible; authority added","464963","ALG"
"75","Licmophora sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae","","Licmophorales","","","Licmophoraceae","","","Licmophora","","","","","unlisted","unlisted","","new 2003","observed","","","","","","2003-08-01","Mark Webber","https://www.inaturalist.org/observations/4848883","","203613","ALG"
"76","Melanosiphon intestinalis","(De A.Saunders) M.J.Wynne","","twisted sea tubes","Chromista","Ochrophyta","","","Phaeophyceae","","","Ectocarpales","","","Chordariaceae","","","Melanosiphon","intestinalis","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25859913","","345332","ALG"
"77","Melosira moniliformis","C.Agardh","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Melosirales","","","Melosiraceae","","","Melosira","moniliformis","","","","unlisted","unlisted","","new 2012","observed","","","","","","2012-07-13","Mark Webber","https://www.inaturalist.org/observations/4873148","","359966","ALG"
"78","Melosira nummuloides","C. Agardh.","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Melosirales","","","Melosiraceae","","","Melosira","nummuloides","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-12-26","Mark Webber","https://www.inaturalist.org/observations/50020707","","460262","ALG"
"79","Membraneis challengeri","(Grunow) Paddock","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","","","Naviculales","","","Naviculaceae","","","Membraneis","challengeri","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/50275774","","521233","ALG"
"80","Minidiscus sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Thalassiosirales","","","Thalassiosiraceae","","","Minidiscus","","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-24","Mark Webber","https://www.inaturalist.org/observations/4873137","","521677","ALG"
"81","Navicula septentrionalis","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Naviculales","Naviculineae","","Naviculaceae","","","Navicula","septentrionalis","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-07-23","Mark Webber","https://www.inaturalist.org/observations/4874617","","1269159","ALG"
"82","Neoagarum fimbriatum","(Harvey) H.Kawai & T.Hanyuda","","fringed sea colander kelp","Chromista","Ochrophyta","","","Phaeophyceae","","","Laminariales","","","Agaraceae","","","Neoagarum","","","","","unlisted","unlisted","","confirmed","observed","1994-10-07","Andy Lamb & Donna Gibbs","PMLS","","","2019-05-05","Bridgette Clarkston","https://www.inaturalist.org/observations/25927070","","895193","ALG"
