Group,Scientific Name,Common,Species Code,Total Spp. Cover,Relative Presence (%)
vascular,Stellaria sp.,starwort,STELLAR,2,0.02
vascular,Symphoricarpos albus,common snowberry,SYMPALB,4,0.05
vascular,Taraxacum officinale,common dandelion,TARAOFF,0.5,0.01
vascular,Taxus brevifolia,western yew,TAXUBRE,3,0.03
vascular,Tellima grandiflora,fringecup,TELLGRA,1.5,0.02
vascular,Thuja plicata,western redcedar,THUJPLI,659,7.56
bryophyte,Timmia austriaca,false-polytrichum,TIMMAUS,0.25,0.00
vascular,Trientalis borealis,broad-leaved starflower,TRIEBOR1,2.75,0.03
vascular,Trifolium sp.,clover,TRIFOLI,0.25,0.00
vascular,Tsuga heterophylla,western hemlock,TSUGHET,32,0.37
vascular,Urtica dioica,stinging nettle,URTIDIO,48.75,0.56
vascular,Vaccinium ovalifolium,oval-leaved blueberry,VACCOVL,1,0.01
vascular,Vaccinium ovatum,evergreen huckleberry,VACCOVT,11,0.13
vascular,Vaccinium parvifolium,red huckleberry,VACCPAR,80.35,0.92
vascular,Vicia sativa,common vetch,VICISAT,0.25,0.00
,,,TOTAL,8722.19,100.00
