"","area","TaxonName","presence","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon","Family"
"82","saanich","Anthoxanthum odoratum",1,"Native of Eurasia; meadows and open places; common throughout.","","","","Anthoxanthum odoratum","Poaceae"
"83","saanich","Anthriscus caucalis",1,"FL Mt Douglas lookout 2004, Fenneman Island View Beach 2006, Bennett & Mulder Beacon Hill Park 2010, Marr Hartland landfill 2007, HLR Bear Mt, Mt Finlayson 1996.","","","AS","Anthriscus caucalis","Apiaceae"
"84","saanich","Aphanes arvensis",1,"FL Dominion Experimental Farm 2005, Elk Lake 2007, Pt Elice Bridge 2009, Clement Macauly Point 1988.","","","","Alchemilla arvensis","Rosaceae"
"85","saanich","Aphanes australis",1,"AC Mt Work 1978, Scafe Hill 1977, Jocelyn Hill 1977, Finlayson Arm 1978.","","","","Alchemilla australis","Rosaceae"
"86","saanich","Aphanes occidentalis",1,"Open, dry ground; sporadic; known from Beacon Hill, Uplands, Ten Mile Point, and Thetis Lake Park.","","","","Alchemilla arvensis","Rosaceae"
"87","saanich","Aphyllon californicum ssp. californicum",1,"Parasitic on various species of Compositae; in the past quite abundant along Dallas Road, Beacon Hill, Oak Bay, Uplands, and Esquimalt.","","","","Aphyllon californicum californicum","Orobanchaceae"
"88","saanich","Aphyllon purpureum",1,"Parasitic on a number of species and particularly on Sedum; common throughout.","","","AS","Aphyllon purpureum","Orobanchaceae"
"89","saanich","Apocynum androsaemifolium",1,"Dry, open ground; most common in Prospect Lake, Thetis Lake Park, and the Highland district; occasional in Royal Oak. A&OC Spencer Pond, Langford 1987.","","","","Apocynum androsaemifolium","Apocynaceae"
"90","saanich","Apocynum cannabinum",1,"Dry, sandy places; rare; known only from Victoria, where it was collected by W. A. Newcombe in 1915.","","","","Apocynum cannabinum","Apocynaceae"
"91","saanich","Aquilegia formosa",1,"Open woods and thickets; widely distributed throughout.","","","AS","Aquilegia formosa","Ranunculaceae"
"92","saanich","Arabidopsis thaliana",1,"Native of Europe; weedy; shady banks; sporadic; Cadboro Bay, Royal Oak, Saanichton, and Thetis Lake Park.","","","","Arabidopsis thaliana","Brassicaceae"
"93","saanich","Arabis eschscholtziana",1,"Circumpolar; rock ledges and hillsides; occasional; Sidney, Mount Finlayson, and Millstream. HJ Mt Finlayson 1983.","","","","Arabis eschscholtziana","Brassicaceae"
"94","saanich","Arbutus menziesii",1,"Dry, rocky sites along the Coast; often associated with Douglas fir; common throughout in suitable habitats.","","","","Arbutus menziesii","Ericaceae"
"95","saanich","Arceuthobium americanum",1,"AC Jocelyn Hill 1990, TCB Joycelyn Hill 1995.","","","","Arceuthobium americanum","Santalaceae"
"96","saanich","Arctium lappa",1,"Native of Eurasia; occasional weed along roadsides and waste places.","","","","Arctium lappa","Asteraceae"
"97","saanich","Arctium minus",1,"Native of Eurasia; sporadic weed along roadsides and waste places. A. tomentosum possible rare introduction.","","","","Arctium minus","Asteraceae"
"98","saanich","Arctostaphylos columbiana",1,"Dry, exposed rocky outcrops; restricted to the Langford and Highland districts.","","","AS","Arctostaphylos columbiana","Ericaceae"
"99","saanich","Arctostaphylos media",1,"Warren Joycelyn Hill 1968, Turner Mill Hill 1972. HJ Obs Lone Tree Hill 2002.","","","AS","Arctostaphylos × media","Ericaceae"
"100","saanich","Arctostaphylos uva-ursi",1,"Sandy or rocky soils in exposed places; common throughout.","","","AS","Arctostaphylos uva-ursi","Ericaceae"
"101","saanich","Arenaria serpyllifolia",1,"Native of Europe; dry, sandy areas; occasional; Victoria, Oak Bay, Thetis Lake Park, and Goldstream. Var. s","","","","Arenaria serpyllifolia","Caryophyllaceae"
"102","saanich","Armeria maritima ssp. californica",1,"Beaches and coastal bluffs; sporadic. All the specimens have been updated to ssp. californica (R. Batten, pers. comm. 2019).","","","","Armeria maritima californica","Plumbaginaceae"
"103","saanich","Arnica cordifolia",1,"Open woods; rare; restricted to the Mount Finlayson area. No voucher found, no Saanich Peninsula collections known.","","","","Arnica cordifolia","Asteraceae"
"104","saanich","Arrhenatherum elatius",1,"Native of Europe; escapee from cultivation; Victoria, John Dean Park, and Thetis Lake Park","","","","Arrhenatherum elatius","Poaceae"
"105","saanich","Artemisia absinthium",1,"Native of Europe; occasional in fields and waste places throughout.","","","","Artemisia absinthium","Asteraceae"
"106","saanich","Artemisia biennis",1,"Waste places in sandy soil; rare; Saanich. Goddard Elk Lake 1934, Fenneman garden weed off Gladiola Ave. 2009.","","","","Artemisia biennis","Asteraceae"
"107","saanich","Artemisia campestris var. scouleriana",1,"Open places; occasional; circumboreal; Victoria, Oak Bay; Saanich, and Island View Beach. A&OC report A. borealis = A.c. var. b. from D'Arcy 1977.","","","","Artemisia campestris pacifica","Asteraceae"
"108","saanich","Artemisia suksdorfii",1,"Sandy beaches; locally abundant throughout.","","","AS","Artemisia suksdorfii","Asteraceae"
"109","saanich","Artemisia vulgaris",1,"Native of Europe; sporadically established in waste places.","","","","Artemisia vulgaris","Asteraceae"
"110","saanich","Arum italicum",1,"FL Cedar Hill Golf Course 2014. Garden escape noted on Vancouver Island by Jamie Fenneman and Adolf Ceska, 2013 CDC update. Several iNaturalist reports Victoria, Oak Bay, Brentwood.","","","","Arum italicum","Araceae"
"111","saanich","Aruncus dioicus var. acuminatus",1,"Wooded, moist areas along streams; rare; known from Goldstream and Highland districts; not collected recently.","","","","Aruncus dioicus acuminatus","Rosaceae"
"112","saanich","Asarum caudatum",1,"Moist, shaded woods; restricted mainly to Goldstream Park. Anderson 1896, AC confirmation 1971.","","","","Asarum caudatum","Aristolochiaceae"
"113","saanich","Asparagus officinalis",1,"Occasionally escaping, waste ground. North Saanich, Gordon Head.","","","","Asparagus officinalis","Asparagaceae"
"114","saanich","Aspidotis densa",1,"Exposed talus slopes and crevices; restricted to Esquimalt, Langford, Goldstream, and Mount Finlayson; fairly abundant in these areas.","","","","Aspidotis densa","Pteridaceae"
"115","saanich","Asplenium trichomanes",1,"Cliff crevices and talus slopes; rare; collected at Shoal Bay by J. R. Anderson in 1915, Hebda Partridge Hills on Todd Inlet 1991 open SW-facing, xeric, acidic, basaltic rock with a slope of 10-35 degrees.","","","","Asplenium trichomanes","Aspleniaceae"
"116","saanich","Astragalus collinus",1,"Majak Sidney 1991. No other coast collections known. No information on naturalization.","","","","Astragalus collinus","Fabaceae"
"117","saanich","Athyrium filix-femina ssp. cyclosorum",1,"Common throughout in moist forest.","","","","Athyrium filix-femina cyclosorum","Athyriaceae"
"118","saanich","Athysanus pusillus",1,"Sandy ground and dry, open places; sporadic throughout.","","","","Athysanus pusillus","Brassicaceae"
"119","saanich","Atocion armeria",1,"Native of Europe; an occasional escapee from cultivation; Victoria. Marr 2007 Hartland Landfill and Langford highway median.","","","","Atocion armeria","Caryophyllaceae"
"120","saanich","Atriplex dioica",1,"AC Island View Beach 1984, early 20th century collections Eastham, Anderson, Taylor.","","","","Atriplex dioica","Amaranthaceae"
"121","saanich","Atriplex gmelinii",1,"Along the coast, mostly on saline soil; common throughout gmelinii = patula var. obtusa or zosterifolia, prostrata = patula var. hastata also in area patula var littoralis = A. littoralis","","","","Atriplex gmelinii","Amaranthaceae"
"122","saanich","Aubrieta deltoidea",1,"Established on rock road cuts, Island Highway, Pat Bay Highway. HLR Saanich 2006. Many iNaturalist reports for penisula.","","","","Aubrieta deltoidea","Brassicaceae"
"123","saanich","Aurinia saxatilis",1,"Several iNaturalis observations for area. Road face rock cuts Island Highway, Pat Bay Highway.","","","","Aurinia saxatilis","Brassicaceae"
"124","saanich","Avena fatua",1,"Fields and waste places. Most collections at V from Saanichton.","","","","Avena fatua","Poaceae"
"125","saanich","Avena sativa",1,"Occasional escapee from cultivation.","","","","Avena sativa","Poaceae"
"126","saanich","Azolla caroliniana",1,"Pond near Beaver Lake with Lemna minor and Ricciocarpus natans. Priddle 1997. - check voucher at UBC","","","","Azolla caroliniana","Salviniaceae"
"127","saanich","Azolla filiculoides",1,"Several iNaturalist observations Swan Lake 2019-2020. Hartwell photo on eFlora Victoria 2004.","","","","Azolla filiculoides","Salviniaceae"
"128","saanich","Balsamorhiza deltoidea",1,"Open, dry, grassy places; sporadic; Beacon Hill, Victoria, Royal Oak, Langford, and Thetis Lake Park, where it is most common. Hartwell & Donovan Mill Hill.","","","","Balsamorhiza deltoidea","Asteraceae"
"129","saanich","Barbarea orthoceras",1,"Harrison Sidney 1967, Shepard Chatham Island 1991, A&OC Bear Mt Road 1977, Manton Mill Hill 2012., Newcombe Mt McDonald 1920.","","","","Barbarea orthoceras","Brassicaceae"
"130","saanich","Barbarea verna",1,"Tompka Mandarte Island 1963, Marr Hartland Landfill 2007, Long Mt Douglas 1973, Marr Esquimalt: between Tyee Road and Galloping Goose 2007","","","","Barbarea verna","Brassicaceae"
"131","saanich","Barbarea vulgaris",1,"Wet places; common.","","","","Barbarea vulgaris","Brassicaceae"
"132","saanich","Beckmannia syzigachne",1,"Interior. No vouchers for peninsula found at V or CDC Explorer. Several Lomer collections Fraser Valley.","","","","Beckmannia syzigachne","Poaceae"
"133","saanich","Bellardia viscosa",1,"Native of Europe; moist, low ground; sporadic weed.","","","AS","Bellardia viscosa","Orobanchaceae"
"134","saanich","Bellis perennis",1,"Native of Europe; lawns and waste places; common throughout.","","","AS","Bellis perennis","Asteraceae"
"135","saanich","Berberis aquifolium",1,"Woods, thickets, and open exposed slopes; very common throughout the area. B. darwinii Hook. once collected at Saanich Experimental Farm. Escaping? B. darwinii iNaturalist record Konukson Park on Ten Mile Point 2020 - no information on naturalization.","","","AS","Berberis aquifolium","Berberidaceae"
"136","saanich","Berberis nervosa",1,"Open woods and thickets; widely distributed and common throughout in suitable habitats.","","","AS","Berberis nervosa","Berberidaceae"
"137","saanich","Betula papyrifera",1,"Low, wet ground; apparently rare on Vancouver Island; scattered colonies occur in the Lost Lake and Sidney areas.","","","","Betula papyrifera","Betulaceae"
"138","saanich","Betula pendula",1,"AC Blenkinsop Lake 1976.","","","","Betula pendula","Betulaceae"
"139","saanich","Betula pubescens",1,"TCB Goldstream Provincial Park between Langford and the park 1970.","","","","Betula pubescens","Betulaceae"
"140","saanich","Betula pumila",1,"Margins of marshes; lakes and peat bogs; Rithet's Bog and Lost Lake A&O Ceska.","","","","Betula pumila","Betulaceae"
"141","saanich","Bidens amplissima",1,"JP Todd Creek 2014, McCoy Colwood lake, Langford Lake, Glen Lake, Florence Lake 2012, Elk Lake, Beaver Lake, Rithet's Bog, Blenkinsop Lake, Colqiitz River, Cedar Hill Golf Course, Bow Pond, Swan Lake, Panama Flats.","","","","Bidens amplissima","Asteraceae"
"142","saanich","Bidens cernua",1,"Wet ground; widespread throughout.","","","AS","Bidens cernua","Asteraceae"
"143","saanich","Blitum capitatum",1,"Native of Eurasia; occasional; disturbed soil and waste places; Victoria and Cedar Hill.","","","","Blitum capitatum","Amaranthaceae"
"144","saanich","Boechera pendulocarpa",1,"A. holboellii synonymous with several Boechera segregates. No records for area found.","","","","Boechera pendulocarpa","Brassicaceae"
"145","saanich","Boechera stricta",1,"Cooke View Royal 1934.","","","","Boechera stricta","Brassicaceae"
"146","saanich","Bolboschoenus maritimus ssp. paludosus",1,"Salt marshes; Sidney, Island View Beach, and Little Lagoon.","","","","Bolboschoenus maritimus paludosus","Cyperaceae"
"147","saanich","Borago officinalis",1,"Native of Europe; occasionally cultivated and found as a weed in Saanich, Victoria and Oak Bay.","","","","Borago officinalis","Boraginaceae"
"148","saanich","Botrypus virginianus",1,"Woods and damp open places; rare; Cadboro Bay, Florence Lake, Esquimalt, and Goldstream areas.","","","","Botrypus virginianus","Ophioglossaceae"
"149","saanich","Boykinia occidentalis",1,"Damp, shady woods and along streams; sporadic; most abundant at Goldstream.","","","","Boykinia occidentalis","Saxifragaceae"
"150","saanich","Brasenia schreberi",1,"Margins of shallow lakes; sporadic; Saanich and the Highland district. TCB Glen Lake 1989.","","","","Brasenia schreberi","Cabombaceae"
"151","saanich","Brassica juncea",1,"Native of Europe; locally established as a weed.","","","","Brassica juncea","Brassicaceae"
"152","saanich","Brassica nigra",1,"Native of Europe; roadsides and waste ground; sporadic throughout.","","","","Brassica nigra","Brassicaceae"
"153","saanich","Brassica rapa",1,"Native of Europe; widely escaped in waste ground throughout.","","","","Brassica rapa","Brassicaceae"
"154","saanich","Briza maxima",1,"Englestoff Discovery Island 2004. FL roadside Cadboro Bay 2009.","","","","Briza maxima","Poaceae"
"155","saanich","Brodiaea coronaria",1,"Dry, open, grassy slopes and rocky outcrops","","","","Brodiaea coronaria","Asparagaceae"
"156","saanich","Brodiaea rosea var. rosea",1,"Soper Mill Hill, Langford 1969. Mund Langford iNaturalist report 2019. Johnson Mt McDonald, Langford iNaturalist report 2020. Beange John Dean Park iNaturalist report 2020.","","","","Brodiaea coronaria rosea","Asparagaceae"
"157","saanich","Bromus commutatus",1,"Occasional waste places.","","","","Bromus commutatus","Poaceae"
"158","saanich","Bromus diandrus",1,"Common weed in open and waste places; Uplands, Esquimalt, John Dean, and Thetis Lake Parks. Ssp. rigidus in CDC Explorer.","","","","Bromus diandrus","Poaceae"
