"","area","Family","TaxonName","iNatTaxon","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon"
"57","sji","Araceae","Lemna turionifera","Lemna turionifera","Egg Lake and pond at Cattle point San Juan Island, Zika 2007. Also Orcas and Matia.","","","","Lemna turionifera"
"58","sji","Araceae","Lysichiton americanus","Lysichiton americanus","Damp valley bottoms and shaded fens, in Humic Gleyed soils; common.","","","","Lysichiton americanus"
"59","sji","Araceae","Spirodela polyrrhiza","Spirodela polyrhiza","Shallow, boggy lakes; Blakely, San Juan and Orcas Islands.","","","","Spirodela polyrhiza"
"60","sji","Araceae","Wolffia borealis","Wolffia borealis","Egg Lake, Zika 1999. Pond, northeast side of Mitchell Bay Road San Juan Island Zika 2016.","","","","Wolffia borealis"
"61","sji","Araceae","Wolffia columbiana","Wolffia columbiana","Zika collections Orcas and San Juan 2007, 2016.","","","","Wolffia columbiana"
"62","sji","Araliaceae","Hedera helix","Hedera helix","Often planted and commonly spreading.","","","","Hedera helix"
"63","sji","Araliaceae","Hedera hibernica","Hedera hibernica","Introduced and widespread. Reported as H. helix ssp. hibernica","","","","Hedera hibernica"
"64","sji","Araliaceae","Oplopanax horridus","Oplopanax horridus","Forestry introduction in stream valleys near Cascade lake, Orcas; for a time established there but no longer present.","","","","Oplopanax horridus"
"65","sji","Aristolochiaceae","Asarum caudatum","Asarum caudatum","Mature coniferous or mixed forest; mesic, humid sites, often in ravines, rare on Orcas and San Juan.","","","","Asarum caudatum"
"66","sji","Asparagaceae","Asparagus officinalis","Asparagus officinalis","Occasional weed; strand and roadsides, mostly on Lopez Island.","","","","Asparagus officinalis"
"67","sji","Asparagaceae","Brodiaea coronaria","Brodiaea coronaria","Locally abundant; dry meadows.","","","","Brodiaea coronaria"
"68","sji","Asparagaceae","Brodiaea rosea var. rosea","Brodiaea coronaria rosea","Frye San Juan 1904, Foster 1904, Rigg 1908.","","","","Brodiaea coronaria rosea"
"69","sji","Asparagaceae","Camassia leichtlinii ssp. suksdorfii","Camassia leichtlinii suksdorfii","Meadows throughout; abundant.","","","","Camassia leichtlinii suksdorfii"
"70","sji","Asparagaceae","Camassia quamash ssp. maxima","Camassia quamash maxima","Locally common on Mt Dallas;scattered but widespread elsewhere.","","","","Camassia quamash maxima"
"71","sji","Asparagaceae","Hyacinthoides hispanica","Hyacinthoides hispanica","Introduced garden species; excaping and occasionally persisting in residential waste places.","","reports of Hyacinthoides hispanica likely refer to Hyacinthoides × massartiana; see remarks from QC: ""Commonly naturalized in the LM and is a persistent relic of cult in SGI. Both H. hispanica and H. non-scripta are cultivated in BC but I have never seen them naturalized.""; PD & AM also report Hyacinthoides × massartiana","AS, QC","Hyacinthoides hispanica"
"72","sji","Asparagaceae","Maianthemum dilatatum","Maianthemum dilatatum","Fairly common, although local; valleys, bluffs and woods.","","","","Maianthemum dilatatum"
"73","sji","Asparagaceae","Maianthemum racemosum ssp. amplexicaule","Maianthemum racemosum amplexicaule","Rare; Sucia and Lopez Islands. Moist woods.","","","","Maianthemum racemosum amplexicaule"
"74","sji","Asparagaceae","Maianthemum stellatum","Maianthemum stellatum","Locally common in low, moist, partly shaded sites with fertile soil. Dense colonies located at Davis Head, Lopez Island, the southend of Cascade Lake, Cattle Point and elsewhere.","","","","Maianthemum stellatum"
"75","sji","Asparagaceae","Muscari armeniacum","Muscari armeniacum","Escaped along roadsides and other ruderal areas as well as persisting in abandoned gardens. Zika and Atkinson San Juan collections. A&S1993 report M .botryoides. Several iNaturalist observations for area.","","","","Muscari armeniacum"
"76","sji","Asparagaceae","Triteleia grandiflora","Triteleia grandiflora","var. howellii principally on San Juan Island in Mt Dallas-Cady Mountain district; scattered on prairies to the south and rare on Orcas Island.","","","","Triteleia grandiflora"
"77","sji","Asparagaceae","Triteleia hyacinthina","Triteleia hyacinthina","Fairly common on dry, grassy prairies; San Juan Island, middle elevations on Mt Constitution.","","","","Triteleia hyacinthina"
"78","sji","Aspleniaceae","Asplenium trichomanes","Asplenium trichomanes","Rare; shaded, wet rock crevices; Mt. Constitution, Mt. Dallas and Willow Island. Zika Turtleback, Orcas 2021.","","","","Asplenium trichomanes"
"79","sji","Asteraceae","Achillea millefolium","Achillea millefolium","Sandy beaches, dry roadsides and meadows throughout.","","","","Achillea millefolium"
"80","sji","Asteraceae","Adenocaulon bicolor","Adenocaulon bicolor","Abundant; deep woods.","","","","Adenocaulon bicolor"
"81","sji","Asteraceae","Agoseris grandiflora var. leptophylla","Agoseris grandiflora leptophylla","Fairly common throughout on prairies, locally common on Mt Constitution.","","","","Agoseris grandiflora leptophylla"
"82","sji","Asteraceae","Agoseris heterophylla","Agoseris heterophylla","Occasional in less disturbed meadows; San Juan to Stuart.","","","","Agoseris heterophylla"
"83","sji","Asteraceae","Ambrosia chamissonis","Ambrosia chamissonis","Common on strand throughout. Some collections at WTU recorded as Franseria bipinnatifida Nutt.","","","","Ambrosia chamissonis"
"84","sji","Asteraceae","Anaphalis margaritacea","Anaphalis margaritacea","Abundant; widespread roadsides and meadows.","","","","Anaphalis margaritacea"
"85","sji","Asteraceae","Anisocarpus madioides","Anisocarpus madioides","Common throughout; dry, open Douglas-fir woodlands, usually near salt water.","","","","Anisocarpus madioides"
"86","sji","Asteraceae","Antennaria microphylla","Antennaria microphylla","Local; Mt Constitution; stony ground. Reported as A. rosea in WPofSJI","","","","Antennaria microphylla"
"87","sji","Asteraceae","Antennaria racemosa","Antennaria racemosa","Summit of Mt Constitution Frye 1904.","","","","Antennaria racemosa"
"88","sji","Asteraceae","Anthemis arvensis","Anthemis arvensis","Occasional in towns.","","","","Anthemis arvensis"
"89","sji","Asteraceae","Anthemis cotula","Anthemis cotula","Ruderal sites, variably occasional to locally common in towns.","","","","Anthemis cotula"
"90","sji","Asteraceae","Arctium minus","Arctium minus","Occasional in waste places.","","","","Arctium minus"
"91","sji","Asteraceae","Artemisia absinthium","Artemisia absinthium","Occasional adventive on sandy soils, San Juan.","","","","Artemisia absinthium"
"92","sji","Asteraceae","Artemisia campestris var. scouleriana","Artemisia campestris pacifica","Locally common; maritime rock outcrops, gravelly moderatly disturbed prairies.","","","","Artemisia campestris pacifica"
"93","sji","Asteraceae","Artemisia suksdorfii","Artemisia suksdorfii","Fairly common; glacial outwash bluffs and beaches.","","","","Artemisia suksdorfii"
"94","sji","Asteraceae","Artemisia tilesii","Artemisia tilesii","Localized but well represented on high, rocky ridges of Mt Constitution.","","","","Artemisia tilesii"
"95","sji","Asteraceae","Artemisia vulgaris","Artemisia vulgaris","Hedgerows and waste places; occasional.","","","","Artemisia vulgaris"
"96","sji","Asteraceae","Bellis perennis","Bellis perennis","Common lawn weed.","","","","Bellis perennis"
"97","sji","Asteraceae","Bidens beckii","Bidens beckii","NE shore of Killebrew Lake Zika 2005","","","","Bidens beckii"
"98","sji","Asteraceae","Calendula officinalis","Calendula officinalis","Adventive in gravelly alley, Friday Harbour. Zika 1999. Represented by herbarium collections but not considered established.","","","","Calendula officinalis"
"99","sji","Asteraceae","Carduus nutans","Carduus nutans","Zika 2001 uncommon; adventive on brushy slope N end of First Street, Friday Harbour, San Juan. Collected from same area Kibbe 1908.","","","","Carduus nutans"
"100","sji","Asteraceae","Centaurea × pratensis","Centaurea nigrescens","Towns and roadsides; widespread mostly on Lopez but well established and increasing on San Juan.","not in FPNW2","","","Centaurea nigrescens"
"101","sji","Asteraceae","Centaurea cyanus","Centaurea cyanus","Occasional escape, chefly Friday Harbour.","","","","Centaurea cyanus"
"102","sji","Asteraceae","Centaurea diffusa","Centaurea diffusa","Dry, grazed fields; formerly present north San Juan.","","","","Centaurea diffusa"
"103","sji","Asteraceae","Centaurea gerstlaueri","Centaurea gerstlaueri","Near Roche Harbour Peck 1923, Zika 2002. Zika Killebrew Lake Road and Eastsound, Orcas 2005.","","","","Centaurea gerstlaueri"
"104","sji","Asteraceae","Centaurea jacea","Centaurea jacea","Peck Roche Harbour date? Several collections Cindy Roche in Roche Harbour area. Atkinson English Camp, San Juan 1992.","","","","Centaurea jacea"
"105","sji","Asteraceae","Centaurea melitensis","Centaurea melitensis","PZ Sucia Island 2020. Hardwick Cypress Island just outside area 2016.","","","","Centaurea melitensis"
"106","sji","Asteraceae","Centaurea montana","Centaurea montana","Occasional garden escape; persistant; chiefly San Juan.","","","","Centaurea montana"
"107","sji","Asteraceae","Centaurea stoebe","Centaurea stoebe","Locally common Friday Harbour; occasional elsewhere. Earliest collection Peck, Shaw Island 1923. Olga, Orcas Tolle 2019 iNaturalist observation. DeVito Cattle Point, San Juan 2020 iNaturalist observation.","","","","Centaurea stoebe"
"108","sji","Asteraceae","Centaurea varnensis","Centaurea varnensis","Zika Cattle Point 2007. Atkinson Friday Harbour 1992. Hybrid of C. diffusa x C. stoebe subsp. micranthos.","","","","Centaurea varnensis"
"109","sji","Asteraceae","Chondrilla juncea","Chondrilla juncea","Historically present on Orcas; weedy fields.","","","","Chondrilla juncea"
"110","sji","Asteraceae","Cichorium intybus","Cichorium intybus","Common.","","","","Cichorium intybus"
"111","sji","Asteraceae","Cirsium arvense","Cirsium arvense","Aggressive, abundant weed.","","","","Cirsium arvense"
"112","sji","Asteraceae","Cirsium brevistylum","Cirsium brevistylum","Common; forest margines, cut-over areas and roadsides.","","","","Cirsium brevistylum"
"113","sji","Asteraceae","Cirsium vulgare","Cirsium vulgare","Waste places; common throughout.","","","","Cirsium vulgare"
"114","sji","Asteraceae","Conyza canadensis","Erigeron canadensis","Sun baked, sandy or gravelly soils; weedy; occasional.","","","","Erigeron canadensis"
"115","sji","Asteraceae","Coreopsis lanceolata","Coreopsis lanceolata","San Juan Islands National Wildlife Refuge and Wilderness Area. Skull Island. 40 foot high island with many Juniperus trees, abundant Camassia leichtlinii and Plectritis congesta. Numerous bedrock outcrops with ledges. Locally frequent in open grass at top of island. Hahn 2008. Reported as Coreopsis grandiflora Hogg ex Sweet × Coreopsis lanceolata L.","","","","Coreopsis lanceolata"
"116","sji","Asteraceae","Cotula coronopifolia","Cotula coronopifolia","Brackish marshes; occasional.","","","","Cotula coronopifolia"
"117","sji","Asteraceae","Crepis capillaris","Crepis capillaris","Abundant; roadsides, vacant lots and meadows.","","","","Crepis capillaris"
"118","sji","Asteraceae","Crepis nicaeensis","Crepis nicaeensis","Roadsides and gardens; occasional.","","","","Crepis nicaeensis"
"119","sji","Asteraceae","Crocidium multicaule","Crocidium multicaule","Rare; rocky outcrops, bluffs and strand. Collected by Lyall Orcas 1858. C. pugetnse St.John type specimen from Whidby Island 1897.","","","","Crocidium multicaule"
"120","sji","Asteraceae","Erigeron compositus","Erigeron compositus","Rare and local near the summit of Mt Constitution on steep[ rocky cliffs. HJ obs 1984.","","","","Erigeron compositus"
"121","sji","Asteraceae","Erigeron philadelphicus","Erigeron philadelphicus","Peck San Juan, Friday Harbour roadside 1923.","","","","Erigeron philadelphicus"
"122","sji","Asteraceae","Erigeron speciosus","Erigeron speciosus","Rare; known from Lyall's 1858 collection on steep, rocky cliffs near the summit of Mt Constitution.","","","","Erigeron speciosus"
"123","sji","Asteraceae","Eriophyllum lanatum var. leucophyllum","Eriophyllum lanatum leucophyllum","Common; open, rocky sites or gravelly outwash meadows.","","","","Eriophyllum lanatum leucophyllum"
"124","sji","Asteraceae","Eurybia merita","Eurybia merita","Rare in summit area of Mt Constitution; steep, rocky cliffs and talus. Reported as Aster sibiricus var mertius","","","","Eurybia merita"
"125","sji","Asteraceae","Eurybia radulina","Eurybia radulina","Beattie Orcas 1909.","","","","Eurybia radulina"
"126","sji","Asteraceae","Filago arvensis","Filago arvensis","Gravelly meadows with prior grazing. Locally abundant around Cattle Point and American Camp.","","","","Filago arvensis"
"127","sji","Asteraceae","Filago pyramidata","Filago pyramidata","F. germanica reported. Moist, open places and fields. Comp. F. pyramidata","","","","Filago pyramidata"
"128","sji","Asteraceae","Gamochaeta ustulata","Gamochaeta ustulata","Common; waste areas, forest margins and meadows.","","","","Gamochaeta ustulata"
"129","sji","Asteraceae","Gnaphalium palustre","Gnaphalium palustre","Vernal pools, puddles and other damp, open places; common.","","","","Gnaphalium palustre"
"130","sji","Asteraceae","Gnaphalium uliginosum","Gnaphalium uliginosum","Open ruderal sites, especially lawns or cut-over areas.","","","","Gnaphalium uliginosum"
"131","sji","Asteraceae","Grindelia hirsutula","Grindelia hirsutula","Common throughout.","","","","Grindelia hirsutula"
"132","sji","Asteraceae","Grindelia integrifolia","Grindelia integrifolia","Coastal bluffs, beaches, salt marshes and meadows to high elevation meadows on Mt Constitution.","","","","Grindelia integrifolia"
"133","sji","Asteraceae","Grindelia squarrosa","Grindelia squarrosa","Shaded rocky talus and cliffs, local on Mt Constitution.","","","","Grindelia squarrosa"
"134","sji","Asteraceae","Hemizonella minima","Hemizonella minima","Henderson 1892 Mt Constitution, Giblin McConnell Island 2006. Also reported from Waldron.","","","","Hemizonella minima"
"135","sji","Asteraceae","Hieracium albiflorum","Hieracium albiflorum","Common; dry, open coniferous forest and margins.","","","","Hieracium albiflorum"
"136","sji","Asteraceae","Hieracium flagellare","Pilosella flagellaris","Zika Mt Baker Rd. near airstrip Orcas 2003.","","","","Pilosella flagellaris"
"137","sji","Asteraceae","Hieracium scouleri","Hieracium scouleri","Meadows and forest edges; known from historic report in Yellow-Wasp group. DT 1956. reported as H. albertinium Farr.","","","","Hieracium scouleri"
"138","sji","Asteraceae","Hieracium stoloniflorum","Pilosella stoloniflora","Atkinson gravelly roadside Friday Harbour, San Juan 1984.","","","","Pilosella stoloniflora"
"139","sji","Asteraceae","Hypochaeris glabra","Hypochaeris glabra","Locally abundant; sandy meadows; most common on San Juan.","","","","Hypochaeris glabra"
"140","sji","Asteraceae","Hypochaeris radicata","Hypochaeris radicata","Abundant; disturbed sites and meadows.","","","","Hypochaeris radicata"
"141","sji","Asteraceae","Jacobaea maritima","Jacobaea maritima","Zika Wild plants on cliff face 10 feet above ground level; full sun, with Sonchus, Orcas Ferry landing 2003.","","","","Jacobaea maritima"
"142","sji","Asteraceae","Jacobaea vulgaris","Jacobaea vulgaris","Spreading along forest margins and in cut-over areas.","","","","Jacobaea vulgaris"
"143","sji","Asteraceae","Jaumea carnosa","Jaumea carnosa","Salt marshes; fairly common, forming dense colonies.","","","","Jaumea carnosa"
"144","sji","Asteraceae","Lactuca ludoviciana","Lactuca ludoviciana","Along banks at False Bay, San Juan. Denton 1974.","","","","Lactuca ludoviciana"
"145","sji","Asteraceae","Lactuca serriola","Lactuca serriola","Common to abundant; hard-packed, sun-baked soils.","","","","Lactuca serriola"
"146","sji","Asteraceae","Lapsana communis","Lapsana communis","Aggressive weed, common.","","","","Lapsana communis"
"147","sji","Asteraceae","Leontodon autumnalis","Scorzoneroides autumnalis","Occasional on San Juan, chiefly near American Camp.","","","","Scorzoneroides autumnalis"
"148","sji","Asteraceae","Leontodon saxatilis","Leontodon saxatilis","Vernal pools and damp, open ruderal sites; widespread but irregular.","","","","Leontodon saxatilis"
"149","sji","Asteraceae","Leucanthemum maximum","Leucanthemum maximum","Cultivated and sometimes escaping and persisting.in Eagle Cove area.","","","","Leucanthemum maximum"
"150","sji","Asteraceae","Leucanthemum vulgare","Leucanthemum vulgare","Abundant and escaping; common in roadside vegetation.","","","","Leucanthemum vulgare"
"151","sji","Asteraceae","Logfia minima","Logfia minima","PZ 2007 Cattle Point Road, San Juan. Dry roadsides bordering cattle pasture, with Centaurea x psammogena, Daucus carota, Hypericum perforatum, Cirsium vulgare. Dunwddie 2018 Skull Island.","","","","Logfia minima"
"152","sji","Asteraceae","Madia exigua","Madia exigua","Fairly common; sloping grass prairies and rocky outcrops.","","","","Madia exigua"
"153","sji","Asteraceae","Madia glomerata","Madia glomerata","Roadsides to meadows; ocasional.","","","","Madia glomerata"
"154","sji","Asteraceae","Madia gracilis","Madia gracilis","Fairly common and widespread, dry upland meadows.","","","","Madia gracilis"
"155","sji","Asteraceae","Madia sativa","Madia sativa","Gravelly roadsides to strand; occasional.","","","","Madia sativa"
"156","sji","Asteraceae","Matricaria discoidea","Matricaria discoidea","Sandy roadsides, waste ground or gravel pits.","","","","Matricaria discoidea"
"157","sji","Asteraceae","Mauranthemum paludosum","Mauranthemum paludosum","Atkinson gravel roadside Friday Harbour, San Juan 1992.","","","","Mauranthemum paludosum"
"158","sji","Asteraceae","Microseris bigelovii","Microseris bigelovii","Vernally moist depressions or seeps on dunes or coastal bluff. Peck 1923 Shaw and San Juan. Not recently located.","","","","Microseris bigelovii"
"159","sji","Asteraceae","Mycelis muralis","Mycelis muralis","Abundant; woods.","","","","Mycelis muralis"
"160","sji","Asteraceae","Packera indecora","Packera indecora","Mt Constitution Riggs 1908, Henderson 1892. Summit Lake, sphagnum bogs and lake edges. One site on San Juan. Collections at WTU labeled indecora. Kibbe collection 1908 at WWB labeled P.pauciflora (Pursh) Á. Löve & D. Löve","","","","Packera indecora"
"161","sji","Asteraceae","Packera macounii","Packera macounii","Locally common, Mt Constitution; rocky slopes and dry forest margin; also Blakely, Brown, Shaw and San Juan.","","","","Packera macounii"
"162","sji","Asteraceae","Petasites frigidus var. palmatus","Petasites frigidus palmatus","Rare; single site Friday Harbour along roadside just east of ferry landing. Moist shady, rocky road cut, north-northeasterly exposure, with Myosotis arvensis and Anchusa officinalis.","","","","Petasites frigidus palmatus"
"163","sji","Asteraceae","Pseudognaphalium stramineum","Pseudognaphalium stramineum","Dry forest margins and cut-over areas; occasional.","","","","Pseudognaphalium stramineum"
