Family,Taxon,HJ_comment
Asteraceae,Psilocarphus elatior,"Peck Friday Harbour, San Juan 1923."
Asteraceae,Solidago lepida var. lepida,"Fairly common; roadsides, fields and strand."
Asteraceae,Solidago simplex var. simplex,Rocky talus high on Mt Constitution; local. Reported as S. spathulata DC. var. s.
Asteraceae,Sonchus arvensis ssp. uliginosus,"Widespread but uncommon; landward edges of salt marshes and other low, wet sites."
Asteraceae,Sonchus asper,Common weed; waste places throughout.
Asteraceae,Symphyotrichum bracteolatum,Wet open places or ditches; often in thickeds; common.
Asteraceae,Symphyotrichum chilense,"Moist, open places and ditches; rare on San Juan. Atkinson 1992 Symphyotrichum hallii (A. Gray) G.L. Nesom restricted location."
Asteraceae,Symphyotrichum spathulatum,"Gregg Friday Harbor, 2 mi S of Limekiln Light, San Juan Island 1962 voucher at FMNH"
Asteraceae,Uropappus lindleyi,"dry, rocky edge of forest and meadow; rare; known from historic reports in Wasp-Yellow group. DT 1956"
Athyriaceae,Athyrium distentifolium ssp. americanum,"Rare, wet rock seeps, upper elevations, Mt Constitution. Originally collected by Pope 1904."
Berberidaceae,Achlys triphylla,"iNaturalist report from Rocky Bay, San Juan 2019. Atkinson & Sharpe dedicated searches have not located this species on the San Juan Islands. A. californica known from Whidbey Island 2015."
Boraginaceae,Amsinckia lycopsoides,"Peck Cattle Point, San Juan 1923."
Boraginaceae,Amsinckia menziesii,"Dry meadows, coastal strand and waste places; common throughout. Expect A. spectabilis on strand."
Boraginaceae,Amsinckia spectabilis,Marschner Flattop Island 2006. Note to expect on strand in A. menziesii text.
Boraginaceae,Amsinckia tessellata,"Dry, open places; rare; San Juan."
Boraginaceae,Myosotis scorpioides,"Wet places, in thickets, along ponds or lakes, occasional on larger islands."
Boraginaceae,Nemophila parviflora var. parviflora,"Damp, shady woods, especially Alder or mixed composition; var. austiniae at a few places on Orcas in dry meadows."
Boraginaceae,Plagiobothrys cusickii,"San Juan, Shaw, Lopez. Recent records Denton and Atinson."
Boraginaceae,Plagiobothrys figuratus,Vernally moist depressions in meadows; rare in the Yellow-Wasp group.
Boraginaceae,Plagiobothrys hispidulus,"Zika Spencer Spit, Lopez Island 2000."
Boraginaceae,Plagiobothrys leptocladus,Walker Jones Island vernally wet area 2018
Brassicaceae,Cakile edentula,Uncommon on strand; mostly San Juan and Lopez but occurs throughout.
Brassicaceae,Cakile maritima,Strands. Colonizing the area from Strait of Juan de Fuca and outer coast where more common. Widespread on San Juans.
Brassicaceae,Cardamine occulta,"McCutchen iNaturalist observaion Three Corners Lake Rd, San Juan 2021."
Brassicaceae,Conringia orientalis,"Wet, open places; occasional."
Brassicaceae,Descurainia pinnata ssp. brachycarpa,Peck Shaw Island 1923. Reported on CPNWH as Descurainia incisa (Engelm. ex A. Gray) Britton ssp. incisa
Brassicaceae,Draba nemorosa,"D. stenoloba reported historic record for Wasp-Yellow Island group, grassy open bluffs. Peck Friday Harbour 1923. Dodd & Tusler report from Coon Island."
Brassicaceae,Lepidium ramosissimum,Peck Friday Harbour 1923.
Brassicaceae,Lepidium virginicum,"Strand, rocky coastal bluffs, less often sandy, upland meadows."
Brassicaceae,Rorippa palustris,Rotting logs in lakes or boggy edge; rare. Peck1923 Sportsmans Lake.
Brassicaceae,Thysanocarpus curvipes,"Open, gravelly slopes, rare. No records on Floristic Atlas of the San Juan Islands."
Cannabaceae,Humulus lupulus var. lupulus,Peck roadside Friday Harbour 1923.
Caprifoliaceae,Symphoricarpos albus,"Abundant; dry, exposed slopes to shady woods and roadsides."
Caprifoliaceae,Symphoricarpos mollis var. hesperius,Moist mixed forest edge and adjacent gravelly slopes; rare; Mt Dallas-Cady Mt and higher elevation on Orcas.
Caryophyllaceae,Arenaria paludicola,"Northwest Stuart Island in grass on airfield 1985. Not relocated in searches 1992, 1995. =Mauranthemum paludosum (Poir.) Vogt & Oberpr. This species is not considered naturalized in the flora."
Caryophyllaceae,Arenaria serpyllifolia,"Dry, gravelly meadows, occasionally open coniferous woods, common."
Caryophyllaceae,Cerastium brachypodum,"Dry meadows, occasional. Refered to C. semidecandrum in A&S 1993."
Caryophyllaceae,Dianthus barbatus,"Zika Friday Harbour 2001, presumably spread from cultivation, steep weedy bank, full sun, with Festuca arundinacea, Vicia sativa, V. villosa."
Caryophyllaceae,Holosteum umbellatum,"Grassy waste ground, Fairgrounds, Argyle Road, Friday Harbor, San Juan Zika 2001."
Caryophyllaceae,Sabulina rubella,"Giblin Blind Island, Frye Friday Harbour 1905 reported as Minuatia r."
Caryophyllaceae,Silene scouleri,"Meadows and dry, open coniferous forest; substantial colony at Iceberg Point, rare on San Juan."
Caryophyllaceae,Silene vulgaris,Occasional roadsides and waste places.
Caryophyllaceae,Spergularia diandra,"Sandy or gravelly, often hard-packed waste soils. CPNWH shows no nearby locations. CDC Explorer no records. Exclude?"
Caryophyllaceae,Spergularia macrotheca,"Common, salt marshes gravelly meadows and rocky costal bluffs."
Caryophyllaceae,Stellaria borealis ssp. sitchana,Edges of swamps and other wet places; often in heavy shade. Reported as S. bongardiana.
Caryophyllaceae,Stellaria longipes,"Rare; known from a single wet meadow station near Cold Springs, Mt Constitution. Also Naas collections Agate Beach, Lopez 1994. Lawrence Stuart Island 1904."
Convolvulaceae,Calystegia silvatica,"PZ Friday Harbour vacant weedy lot, full sun 2002."
Convolvulaceae,Cuscuta epithymum,"Rare; known from Peck's 1923 collection in a meadow southeast of Roche Harbour, San Juan."
Cornaceae,Cornus canadensis,"Moist, mossy coniferous woods near Summit lake, Orcas; rare. Reported as C. unalaschkensis Ledeb. (possible?)"
Cornaceae,Cornus nuttallii,Scattered and rare on larger islands in mixed Alder-Fir forests; most common in the northern tier.
Crassulaceae,Sedum stenopetalum,"Martin 1940 near Friday Harbour. Dunkle 1919 Friday Harbour, Baker 1941 Argyle Lagoon,"
Cyperaceae,Carex aperta,Rare; wet sites and seeps.
Cyperaceae,Carex aquatilis var. dives,"Lake margins and sedge fens; common throughout, particularly on Orcas Island."
Cyperaceae,Carex athrostachya,"Wet meadows, occasional. MFD Eagle Point, San Juan 1974"
Cyperaceae,Carex deweyana,"Moist coniferous and deciduous woodlands, exceedingly common."
Cyperaceae,Carex hassei,"Higgenbothem American amp, San Juan1981. Reported as Carex garberi Fernald."
Cyperaceae,Carex kelloggii var. impressa,Rare; salt marshes and seeps along shorelines..
Cyperaceae,Carex kelloggii var. limnophila,"Rare, salt marshes and seeps along shoreline."
Cyperaceae,Carex pellita,Reported as C. lasiocarpa occasional on Orcas sphagnum bogs and fens.
Cyperaceae,Carex preslii,"Henderson Eastsound, Orcas 1892. Only low elevation record in Salish Basin."
Cyperaceae,Carex stipata,"Scattered and uncommon; moist spots in alder woodlands,seeps and pond borders."
Cyperaceae,Carex viridula,"Sportsman Lake, Egg Lake San Juan. Lakes at summit Mt Constitution."
Cystopteridaceae,Gymnocarpium disjunctum,"Deep, moist coniferous woods; reported by G. Sharpe from Patos island."
Dryopteridaceae,Dryopteris carthusiana,Ball Stuart Island 1978. Jones Island. Slater Sucia Island 1972.
Dryopteridaceae,Polystichum imbricans,Dunwiddie San Juan Island 2021.
Euphorbiaceae,Euphorbia characias ssp. wulfenii,Zika Roche Harbour 2018. Several iNaturalist reports San Juan 2018-2020.
Fabaceae,Lathyrus polyphyllus,"Open woods and moist, shadeed slopes near salt water; known from old records in the Wasp-Yellow group. No current records CPNWH."
Fabaceae,Lathyrus pratensis,"Open woods and moist, shadeed slopes near salt water; known from old records in the Wasp-Yellow group."
Fabaceae,Lupinus albicaulis,"Open, glacial outwash soils;localized at Argyle, San Juan and nearby. Possibly adventive in our area. Johansen 1946."
Fabaceae,Securigera varia,Roadsides and towns; occasional.
Fabaceae,Trifolium cyathiferum,"Sandy, open places; rare knwn only from an old collection on San Juan. Record not found CPNWH."
Fabaceae,Trifolium gracilentum,Grassy bluffs and meadows; rare; only old report from Yellow-Wasp group.
Fabaceae,Vicia americana,Very common throughout along forest margins and thickets
Fabaceae,Vicia benghalensis,"Johansen two sites several miles apart SW of Friday Harbour, San Juan 1946."
Fagaceae,Quercus garryana,"Dry, rocky sites, often near salt water; most common on Orcas and San Juan Islands but found throughout."
Gentianaceae,Gentianella amarella,"Boggy meadows, usually where disturbed; rare; Orcas, San Juan and Lopez. Henderson 1892 East Sound."
Gentianaceae,Zeltnera muehlenbergii,"Damp meadows and ditches; occasional on San Juan, Errata of FofPNW says re-id Centaurium pulchellum."
Geraniaceae,Erodium cicutarium,Open sites throughout; common.
Geraniaceae,Geranium purpureum,Martinez Orcas iNaturalist report 2018. No herbarium records for area found.
Grossulariaceae,Ribes lobbii,"Cattle Point, San Juan iNaturalist report 2020."
Haloragaceae,Myriophyllum spicatum,Report of M. sibiricum Komarov = M. spicatum var exalbescens. Common to abundant especially on Orcas. Note AC 1986 posits that this is a native species. M. spicatum var s. also reported lakes and ponds; occasional.
Iridaceae,Olsynium douglasii,"Moist meadows; occasional. var. douglasii Lopez and San Juan. Iceberg Point, San Juan Denton."
Isoetaceae,Isoetes tenella,"Aquatic, reported from Spencer Lake, Blakely Island (J.R. Slater, T.C. Frye, R. Phillips) Reported as I. echinospora var. braunii"
Juncaceae,Juncus articulatus,Fairly common ditches and other wet places.
Juncaceae,Juncus balticus,"Widespread throughout the archipeligo, coastal marshes to bogs near the summit of Mt Constitution; very common. Also reported as J. lesueurii Boland.dunes near American Camp, San Juan."
Juncaceae,Juncus conglomeratus,Wet or boggy soils; infrequent.
Juncaceae,Juncus effusus ssp. effusus,"Abundant throughout; farm fields, ditches, disturbed woodlands."
Juncaceae,Juncus effusus ssp. pacificus,"Abundant throughout; farm fields, ditches, disturbed woodlands."
Juncaceae,Juncus gerardii,Uncommon; salt to brackish marshes. Chiefly along archipelego's southern edge Henry Island to Lopez Island.
Juncaceae,Juncus nevadensis,"Sandy lake edge; rare along cascade Lake, Orcas."
Juncaceae,Luzula campestris,Camp Little Patos Island 1982.
Juncaginaceae,Triglochin concinna var. concinna,Salt or brackish marshes; uncommon but widespread. AC has a collection at UBC from Lopez.
Lamiaceae,Lamiastrum galeobdolon,"Wright Eagle Cove Beach, San Juan iNaturalist reports 2019-2020."
Lamiaceae,Lamium purpureum,"Waste places, often in tilled soils or gardens; common."
Lamiaceae,Mentha spicata,"Low, wet places; occasional on larger islands."
Lamiaceae,Stachys pratensis,"Zike Friday Harbour mowed waste ground, full sun 2001. Synonym? Not in Washington checklist."
Liliaceae,Fritillaria camschatcensis,"Rare; grassy bulffs by sea; originally colledcted by Capt. Archibald Menzies on Orcas Island 1792. Recently reported from Bald Hill, San Juan Island and Orcas Island. Formerly present near Cattle Point."
Malvaceae,Malva moschata,Occasional in ruderal sites on larger islands.
Melanthiaceae,Veratrum viride,iNaturalist report Cady Mountain 2020
Montiaceae,Claytonia exigua ssp. exigua,"Common, open places. Strand, moist meadows or outcrops."
Montiaceae,Lewisia columbiana,"Friday Harbour Marine Laboratory grounds. West across cove from main lab grounds.E facing slope. With moss covered rocks under Arbutus menziesii and Pseudotsuga menziesii. Abundant, growing with Plectritis congesta. Gage 1997. Planted?"
Onagraceae,Epilobium hallianum,"E. ciliatum var glandulosum often common from higher elevation wetlands on Mt Constitution and low elevation fresh or salt-water marshes and ditches. SA Eastsound Marsh, mosit soils, with Boisduvalia stricta. date?"
Onagraceae,Epilobium hornemannii ssp. hornemannii,Henderson 1892 Mt Constitution report E. hornmanii var. lactiflorum = E. lactiflorum Haussskn.
Onagraceae,Gayophytum diffusum,Green Sentinal Island 2006. Roche Harbour Suksdorf 1899.
Onagraceae,Gayophytum humile,"Martin sand dunes Cattle Point, San Juan 1961."
Orchidaceae,Corallorhiza maculata var. occidentalis,Dry to moist shady coniferous forests; common throughout.
Orchidaceae,Epipactis gigantea,"Creso Kanaka Bay, San Juan 1961. Voucher at PSM."
Orchidaceae,Liparis loeselii,Rare; sphagnum bogs on west lobe of orcas Island. HJ collection at V
Orobanchaceae,Castilleja hispida,"Widespread but erratic; semi-open rocky slopes, open meadows, occasionally forest margins."
Papaveraceae,Dicentra formosa,"Shady, moist stream valleys on Mt Constitution; also San Juan where itt is suspected to be a cultivation escape."
Pinaceae,Pinus contorta var. contorta,"Common to abundant; dry, sandy areas to moist woods and boggy lake shores."
Plantaginaceae,Cymbalaria muralis,"Escaping cultivation from rock gardens. Roche Harbour Atkinson 1983, Zika 2001."
Plantaginaceae,Digitalis purpurea,"Common to abundant; wooded roadside, disturbed and cut over forest."
Plantaginaceae,Gratiola ebracteata,"Low, wet places; rare; recent San Juan report - no details."
Plantaginaceae,Hippuris montana,"Sphagnum mats; local at Summit Lake, Mt Constitution, Orcas."
Plantaginaceae,Linaria dalmatica,"Open, sandy soils; occasional on San Juan."
Poaceae,Achnatherum nelsonii ssp. nelsonii,Sporadically occuring on hilly prairies. (=Rapp coll of Stipa occidentails on Flora of SJ web site?)
Poaceae,Achnatherum occidentale,"Moran State Park, south side of Mount Constitution, open slopes around roadside viewpoint. P. Rapp 1981."
Poaceae,Aira caryophyllea,Abundant throughout on rocky or sandy soils.
Poaceae,Alopecurus aequalis,Locally common on the muddy fringes of farm ponds and small lakes.; particularly on San Juan Island.
Poaceae,Alopecurus carolinianus,"Orcas Island, Eastsound, S side of road just E of Buck County Park, near Orcas Power & Light offices. Habitat:Semishaded ditch and vernally moist area, dried puddles; with Rorippa curvisiliqua and Epilobiu m;. S. Atkinson"
Poaceae,Apera interrupta,Zika Jones Island 2014.
Poaceae,Bromus inermis,Sporadic weed of fields and roadsides.
Poaceae,Bromus sitchensis var. aleutensis,Open rocky meadows and gravelly prairies; rather common. Var. sitchensis Trin. Reported
Poaceae,Bromus sitchensis var. carinatus,"Fairly common perenial of dry, grassy meadows."
Poaceae,Cinna latifolia,"Peck Trout lake, San Juan 1923. Occasional, riparian habitats. ?? Not included in Floristic Atlas of SJI or A&S1993."
Poaceae,Deschampsia cespitosa ssp. beringensis,"Local in salt marshes and low, wet places; uncommon."
Poaceae,Echinochloa crus-galli,Occasional weed of lots and roadsides.
Poaceae,Elymus canadensis var. canadensis,"Beattie Friday Harbour, San Juan 1909."
Poaceae,Elymus glaucus,"Abundantperenial of open, grassy hillsides and transitional woodlands."
Poaceae,Festuca roemeri,"Floberg, Boulder Island off Lopez Island. Open grassy 4 acre (?) island with rock/cliff shores. Only trees are several dozen stunted Pseudotsuga menziesii. Upland meadows on Mt Constitution, rare on upper elevation sloope elsewhere."
Poaceae,Festuca saximontana var. saximontana,"Gage and Rodman Summit of Mount Constitution, Moran State Park, Orcas Island 1992."
Poaceae,Festuca valesiaca,"Widespread but thinly distributed; rocky benchland and dry meadows. Festuca ovina used to be interpreted very broadly in North America, including almost any fine-leaved fescue that lacked rhizomes. Consequently, much of the information reported for F. ovina, and many of the specimens identified as such, belong to other species."
Poaceae,Hordeum jubatum ssp. jubatum,Uncommon; mostly in satt marshes but sometimes at waste places.
Poaceae,Hordeum marinum,"Fields anf roadsides, sometimes saline sites;occasional. Reported as H. geniculatum"
Poaceae,Hordeum murinum ssp. leporinum,Fairly common weed of vacant lots and roadsides. Sometimes in saline soil.
Poaceae,Hordeum murinum ssp. murinum,see H. m. ssp leporinum
Poaceae,Melica smithii,"San Juan Islands National Historic Park, San Juan.. Kopper 1999."
Poaceae,Panicum miliaceum ssp. ruderale,Zika Friday Harbour crack in sidewalk 1999.
Poaceae,Poa bulbosa,"Dry, gravelly disturbed sites; fairly common."
Poaceae,Poa macrantha,"Saline soils; rare, known only from literature records. Reported as Poa douglasii ssp macrantha."
Poaceae,Puccinellia maritima,Occasional in salt marshes.
Poaceae,Setaria viridis,Gardens and roadsides; occasional.
Poaceae,Triticum aestivum,Occasionally persisting in old fields and escaping to roadsides.
Poaceae,Vulpia microstachys,Weedy and common throughout.
Polemoniaceae,Polemonium pulcherrimum,"Steep rocky cliffs and talus on Mt Constitution, also at Iceberg Point, Lopez. Top of Mt Erie on Fidalgo."
Polygonaceae,Fallopia sachalinensis,"Roadside, occasional."
Polygonaceae,Persicaria lapathifolia,Gardens and cultivated soils; occasional.
Polygonaceae,Polygonum fowleri,"Strand, salt marshes, common throughout."
Polygonaceae,Rumex maritimus,"Brackish marshes, occsional on northern tier of the islands. HJ Waldron Island.1983. Walker Sucia 2018"
Polypodiaceae,Polypodium hesperium,"Giblin Blind Island 2005, Grabel Lopez 1974, Gotschall Mt Constitution, Orcas 1971. Many additional collections for San Juans on CPNWH."
Portulacaceae,Portulaca oleracea,"Renee Pear Point Rd, San Juan 2020 iNaturalist report."
Potamogetonaceae,Potamogeton alpinus,"Orcas, common in Cascade Lake, less so in others."
Potamogetonaceae,Stuckenia filiformis,Shallow water. Zika Cascade Lake 1999. Zika near False Bay 2016. Atkinson Turn Pt Rd 1992.
Primulaceae,Dodecatheon pulchellum var. macrocarpum,"Grassy meadows where moist in spring, often on coastal bluffs up to higher elevations on Mt Constittion."
Pteridaceae,Adiantum aleuticum,Locally common shady stream valleys and waterfalls. Mt. Constitution and vicinity; scarce elsewhere.
Ranunculaceae,Clematis ligusticifolia,"Slater Roche Harbour, San Juan 1972."
Ranunculaceae,Ranunculus aquatilis,"Widespread, lakes and ponds Orcas and San Juan."
Ranunculaceae,Ranunculus sceleratus,"Salt or brackish marshes;. Known from Richardson, Blakely, Lopez, Stuart and Sucia."
Rosaceae,Crataegus laevigata,Introoduced 1920s and well established Crane Island. Zika 2003.
Rosaceae,Luetkea pectinata,"Kibbe Mt Constitution, Orcas 1908."
Rosaceae,Potentilla anserina ssp. pacifica,"Collections Sucia, Orcas and San Juan. Wet meadows, salt marshes. Not included in A&S1993"
Rosaceae,Potentilla gracilis var. gracilis,Moist meadows; rare; known from historic records on San Juan.
Rosaceae,Poteridium annuum,S. minor = Poterium sanguisorba L. reported for area.; dry sandy or rocky soil.
Rosaceae,Rosa gymnocarpa,"Dry or moist, shaded woodland, common."
Rosaceae,Rosa nutkana,"Exposed sites, edges."
Rosaceae,Rosa pisocarpa,"Along ponds or lakes, hedgerows or meadows, fairly common on larger islands."
Rosaceae,Rosa woodsii,Slater Sucia Island 1974.
Rosaceae,Rubus armeniacus,Question if can be separated from bifrons-discolor. Several collections throughout.
Rosaceae,Rubus vestitus,Habegger Yellow Island edge of dry meadow. date?Is this Sharpe & Atkinson's R. macrophyllus ?
Rubiaceae,Galium mollugo,Peck Friday Harbour 1923.
Salicaceae,Salix lasiandra,Riparian to aquatic; common.
Santalaceae,Arceuthobium campylopodum,"Mt Constitution: Foster 1907, Roos 1910 moved to tsugens by Ledger. Sunquist 1963. = A. tsugense ?"
Santalaceae,Arceuthobium tsugense,"Locally common on Mt Constitution, where attacking Pinus contorta. Reported from San Juan by Baker and others. iNaturalist observation Turtleback Trail on Pinus contorta, Orcas 2021."
Sapindaceae,Acer negundo,"Slater Friday Harbour, San Juan 1972."
Sapindaceae,Aesculus hippocastanum,"Zika Roche Harbour 2001. Gardens upslope, limestone ledges by the sea, escaped from gardens upslope, well established on limestone ledges by the sea, with Stellaria media, Erodium cicutarium, Cerastium semidecandrum."
Saxifragaceae,Tiarella trifoliata var. laciniata,"Mature coniferous forest, most commonly on Orcas and Blakely."
Saxifragaceae,Tiarella trifoliata var. trifoliata,"Common in mossy, shaded coniferous woods, someties in mixed or deciduous forest."
Selaginellaceae,Selaginella densa,Grable South shore on rocky grass-covered slope exposed to wind Rum Island 1971. reported as S. scopulorum Maxon. = S. d. var. s. Questionable - only low elevation record in Salish Basin area.
Solanaceae,Solanum nigrum,"Historical report on Yellow, no voucher."
Solanaceae,Solanum physalifolium var. nitidibaccatum,"Common weed of gardens, sandy meadows. Denton Cattle Point, San Juan 1974. Peck Cattle Point 1923."
Solanaceae,Solanum rostratum,"Waste places; once naturalized in the Yellow group, apparently no longer present."
Ulmaceae,Ulmus alata,"Zika San Juan 1999, Zika Crow Valley Rd, Orcas 2003, Zika Lopez roadside thickets 2003"
Urticaceae,Urtica dioica,"Low, wet places and in disturbed woodlands; often where soil is fertile; abundant."
Zosteraceae,Phyllospadix scouleri,Fairly common intertidal species; rocky bottoms
Zosteraceae,Phyllospadix serrulatus,Rare maritime species of the intertidal zone; collected along the southern edge of the chain Zika 2016.
Zosteraceae,Phyllospadix torreyi,"Status unknown; collected near Eagle Cove, San Juan Island. Reported from the southern edge of San Juan; range imperfectly known. Zika near False Bay 2016. Nobel Deadman Bay, San Juan iNaturalist report 2019."
Zosteraceae,Zostera japonica,"Zostera japonica and Z. nana reported Friday Harbour Marine Lab. Both synonymous w/ Nz. j. Zostera nana rare collected at Crescent Bay, Orcas Island."
Zosteraceae,Zostera marina,"Locally common intertidal species of protected, shallow bays."
