Scientific,Group,Date,Zone,Zone_Description,Latitude,Longitude,Source,Curator_Notes
Branta canadensis,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cathartes aura,Birds,2010-05-22,0,sky,48.94234231,-123.5119255,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,This is the only bird species that was uniquely observed outside of any specific ecological community during the 2010 Bioblitz. It has been mapped to shoreline/woodland habitat where they typically occur.
Vireo cassinii,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Vireo cassinii,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Vireo gilvus,Birds,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Vireo gilvus,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Vireo gilvus,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Vireo huttoni,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Zonotrichia leucophrys,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cardellina pusilla,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cardellina pusilla,Birds,2010-05-22,9,Douglas-fir - salmon berry,48.94563536,-123.5162925,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Catharus ustulatus,Birds,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Catharus ustulatus,Birds,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Catharus ustulatus,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Catharus ustulatus,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cepphus columba,Birds,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Certhia americana,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Certhia americana,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Certhia americana,Birds,2010-05-22,10,baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Colaptes auratus,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Contopus cooperi,Birds,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Corvus brachyrhynchos,Birds,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Corvus corax,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Corvus corax,Birds,2010-05-22,10,baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Dryobates villosus,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Dryocopus pileatus,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Dryocopus pileatus,Birds,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Empidonax difficilis,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Empidonax difficilis,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Empidonax difficilis,Birds,2010-05-22,7,Douglas-fir / arbutus - Oregon grape,48.94473341,-123.5108315,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Empidonax difficilis,Birds,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Haemorhous mexicanus,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Haemorhous mexicanus,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Haemorhous mexicanus,Birds,2010-05-22,9,Douglas-fir - salmon berry,48.94563536,-123.5162925,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Haemorhous mexicanus,Birds,2010-05-22,10,baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Haliaeetus leucocephalus,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Junco hyemalis,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Junco hyemalis,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Junco hyemalis,Birds,2010-05-22,7,Douglas-fir / arbutus - Oregon grape,48.94473341,-123.5108315,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Larus glaucescens,Birds,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Leiothlypis celata,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Leiothlypis celata,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Lophodytes cucullatus,Birds,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Loxia curvirostra,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Loxia curvirostra,Birds,2010-05-22,8,Douglas-fir - sword fern (grazed),48.94517734,-123.5119473,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Melospiza melodia,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Melospiza melodia,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Melospiza melodia,Birds,2010-05-22,10,baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Melospiza melodia,Birds,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Molothrus ater,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Patagioenas fasciata,Birds,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Patagioenas fasciata,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Phalacrocorax auritus,Birds,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Pipilo maculatus,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Pipilo maculatus,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Piranga ludoviciana,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Poecile rufescens,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Poecile rufescens,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Poecile rufescens,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Poecile rufescens,Birds,2010-05-22,7,Douglas-fir / arbutus - Oregon grape,48.94473341,-123.5108315,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Regulus satrapa,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Selasphorus rufus,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Selasphorus rufus,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Selasphorus rufus,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Selasphorus rufus,Birds,2010-05-22,10,baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Setophaga coronata,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Setophaga nigrescens,Birds,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Setophaga townsendi,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Sitta canadensis,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Sitta canadensis,Birds,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Sitta canadensis,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Sphyrapicus ruber,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Sphyrapicus ruber,Birds,2010-05-22,4,Douglas-fir sword fern,48.94348025,-123.5125266,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Spinus pinus,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Spinus pinus,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Spinus tristis,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Spizella passerina,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Spizella passerina,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Tachycineta thalassina,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Tachycineta thalassina,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Thryomanes bewickii,Birds,2010-05-22,7,Douglas-fir / arbutus - Oregon grape,48.94473341,-123.5108315,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Troglodytes aedon,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Troglodytes aedon,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Turdus migratorius,Birds,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Turdus migratorius,Birds,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Turdus migratorius,Birds,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Turdus migratorius,Birds,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Turdus migratorius,Birds,2010-05-22,7,Douglas-fir / arbutus - Oregon grape,48.94473341,-123.5108315,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Turdus migratorius,Birds,2010-05-22,10,baldhip rose - beach pea,48.94338045,-123.5097264,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Turdus migratorius,Birds,2010-05-22,11,pond,48.94361488,-123.5116161,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Anthopleura elegantissima,Cnidarians,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Aurelia labiata,Cnidarians,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Metridium senile,Cnidarians,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Mitrocoma cellularia,Cnidarians,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Urticina crassicornis,Cnidarians,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Urticina crassicornis,Cnidarians,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Amphipoda,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Balanus glandula,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Cancer magister,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Cancer productus,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Crangon sp.,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Hemigrapsus nudus,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Heptacarpus sp.,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Oregonia gracilis,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Pagurus sp.,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Pugettia producta,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Semibalanus cariosus,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Telmessus cheiragonus,Crustaceans,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Pleurobrachia bachei,Ctenophores,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Pisaster brevispinus,Echinoderms,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Pisaster ochraceus,Echinoderms,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Cucumaria miniata,Echinoderms,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Dermasterias imbricata,Echinoderms,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Leathesia marina,Echinoderms,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Apodichthys flavidus,Fish,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Citharichthys stigmaeus,Fish,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Enophrys bison,Fish,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Oligocottus maculosus,Fish,2010-05-22,12,intertidal,48.94286604,-123.5096513,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,Zone 12 is not clearly designated in map however the taxa reported make it clear that this was an intertidal survey
Bovista plumbea,Fungi,2010-05-22,1,pasture / grounds,48.94471706,-123.5131164,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Agrocybe praecox,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Amanita pantherina,Fungi,2010-05-22,2,Douglas-fir - arbutus,48.94248665,-123.5120439,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Amanita pantherina,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Chrysomphalina chrysophylla,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Cryptoporus volvatus,Fungi,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Entoloma sericeum,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Fomes fomentarius,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Fomitopsis pinicola,Fungi,2010-05-22,3,Douglas-fir - salal,48.94288128,-123.5116576,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Ganoderma applanatum,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Geastrum quadrifidum,Fungi,2010-05-22,6,Douglas-fir - salal (grazed),48.94586904,-123.5137497,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
Hebeloma crustuliniforme,Fungi,2010-05-22,5,western redcedar / red alder - salmonberry,48.94402296,-123.5126318,Hunterston Farm Stewardship Report: A Review of the 2010 BioBlitz,
